wav_filename,wav_filesize,transcript
common_voice_br_18035108.wav,92204,dedennet on gant al levr mañ
common_voice_br_18770237.wav,110636,ingalomp an traoù
common_voice_br_18035105.wav,92204,ur bern traoù zo ganin da zebriñ
common_voice_br_18900757.wav,111404,disfiz o doa evel te ha me
common_voice_br_19126912.wav,115244,me 'm eus eñ gwelet
common_voice_br_18143084.wav,157484,hemañ eo da hini
common_voice_br_19352124.wav,95276,plaen ha kompez
common_voice_br_18728547.wav,86828,petra a ra an dud amañ
common_voice_br_18900754.wav,167468,ur sikour talvoudus e vefe evito
common_voice_br_18151128.wav,126764,piv en deus kemeret perzh
common_voice_br_18169586.wav,234284,n'haller ket dont a benn eus netra pa vezer nec'het evel se
common_voice_br_17961853.wav,157484,petra eo an tram tren
common_voice_br_17337747.wav,136748,glav a vo hiziv a soñj deoc'h
common_voice_br_17363451.wav,94508,hennezh wenn
common_voice_br_17363453.wav,115244,penaos ha pelecʼh e cʼhaller bezañ stummet
common_voice_br_17337748.wav,175148,ha koulz eo cʼhoazh da saveteiñ ar brezhoneg
common_voice_br_17961854.wav,218924,daoust ha kevredidi alamagn a chomo he cʼhevredidi da viken
common_voice_br_18504342.wav,102188,en ur gêr
common_voice_br_17363452.wav,149804,n'on ket sur em eus lazhet ar gouloù a raok mont er maez
common_voice_br_17332504.wav,86828,lârit un dra bennak
common_voice_br_17332505.wav,99884,labourat a ra ho kwreg
common_voice_br_17332503.wav,88364,deus digwener
common_voice_br_17983200.wav,59948,saozneg
common_voice_br_17349069.wav,170540,ha bez’ ez eus nemedennoù
common_voice_br_17983198.wav,197420,pelecʼh emañ ar roadennoù diavaez
common_voice_br_17983197.wav,81452,fall put
common_voice_br_19809934.wav,98348,gwelet em eus ar c'hi o treuziñ an hent
common_voice_br_17337749.wav,138284,kudennoù kalon am eus
common_voice_br_19773260.wav,93740,ne glemmint ket  grint
common_voice_br_18169425.wav,90668,ma pesketfec'h
common_voice_br_17349070.wav,122924,ez ti
common_voice_br_17349068.wav,139052,eus peseurt liv
common_voice_br_18169426.wav,67628,sterniet
common_voice_br_20084187.wav,85292,un den didro on
common_voice_br_18169440.wav,75308,en em blijout a rit amañ
common_voice_br_18169431.wav,103724,an ti bras melenañ
common_voice_br_17969318.wav,103724,naon/sec'hed am eus
