wav_filename,wav_filesize,transcript
common_voice_et_21291588.wav,299564,möödunud sajandil valitses eestis mitukümmend aastat periood kus keskkonnamürkide tõttu ei pesitsenud siin ühtegi merikotka paari
common_voice_et_21784373.wav,193580,need koerad on loomult kaitsvad hästi treenitavad ja muidugi armastavad nad vees olla
common_voice_et_21800284.wav,271148,meeleparandus kuulub kristlase elu juurde sest jumala järgija teab milline peaks olema tema elu ning ta püüdleb täiuslikkuse poole
common_voice_et_21754109.wav,295724,sellele et eraldi nimekirjaga väljatulek lõppeb erakonnast välja heitmisega viitas keskerakonna juht jüri ratas ka esmaspäevasel partei juhatuse kirglikul kogunemisel
common_voice_et_21790660.wav,282668,kodanikupalk garanteerib turvavõrgu kõikidele kodanikele tagades samal ajal praegusest oluliselt atraktiivsema ettevõtluskeskkonna
common_voice_et_21747032.wav,291884,võib kindel olla et sellisel viisil haripunkti jõudmine pakub kordades suuremat ja kestvamat naudingut
common_voice_et_21883827.wav,104492,mida sa sealt läbi vead ei ole enam nende asi
common_voice_et_21845621.wav,271148,tsiviilhagi tagamiseks arestiti sepling horuženkolr ära võetud ehted kaks mobiiltelefoni viiul ja käekell
common_voice_et_21834288.wav,167468,just need linnapea väited tekitavad küsimusi
common_voice_et_21852309.wav,203564,piknikumenüü peaks olema lihtne et liiga suur askeldamine seltskonnal hoogu maha ei võtaks
common_voice_et_21879829.wav,318764,lisaks on müller teinud ülestähendusi ka surijate suhtumise kohta kirikusse ja usku ning läbisaamise kohta püha vaimu kiriku pastoriga
common_voice_et_21747898.wav,134444,suitsetamine ja alkohoolitsemine on saatanast
common_voice_et_21778113.wav,253484,juunikuus lubas bashar taas muutusi
common_voice_et_21792828.wav,164396,talvel võib aga ushguli jääda mitmeks kuuks isolatsiooni
common_voice_et_21785025.wav,177258,no selline margus metstaki tüüpi vend mida just väga tihti ei kohta
common_voice_et_21863860.wav,241196,töötamise andmed sisestatakse arvutisse ning tulevikus on vajalik info pensioni määramiseks elektrooniliselt olemas
common_voice_et_21807956.wav,102188,doris aiapaneelid horisontaalne vahedega
common_voice_et_20819097.wav,276524,konservatiivide kõrged liikmed olid väidetavalt seadnud nick timothy ja fiona hilli lahkumise tingimuseks may peaministriks jäämisele
common_voice_et_21730734.wav,314350,vladimir putin täidab eneselegi teadmata jossif stalini kunagist plaani kuid tema unistus on tuua arktika koridor maailma kaubanduspildile ja võistelda edukalt suessi kanaliga
common_voice_et_21747789.wav,228908,arstid võtsid ringkaitsesse süüdistades patsienti sõnakuulmatuses ja ravirežiimi eiramises
common_voice_et_21754984.wav,228908,elron teatas oma kodulehel et kiltsi rakke jaama vahel juhtus õnnetus ning hetkel rong seisab
common_voice_et_21794129.wav,318764,eesti üks paremaid käsipallureid mait patrail alustas augustis oma kuuendat hooaega maailma tugevaimas saksamaa kõrgliigas
common_voice_et_20881215.wav,271148,veebruari lõpus kõrgemat kaart käiv päike ja pikenev päev muudavad kodumaa sünnipäeva helgeks ja lootusrikkaks
common_voice_et_22224065.wav,140588,eesti välisministeerium on kinnitanud nende kinnipidamist
common_voice_et_21796051.wav,257324,ja kas kahe riigi keskuste vahelist rongiühendust enne ei tekigi
common_voice_et_21736133.wav,129068,alati enne krahhi on sedasi
common_voice_et_21771997.wav,122924,teda peaks otsima minema ja püüdma selle küsimusega maadlemises aidata
common_voice_et_19501981.wav,215084,ma olen tänulik et mul on sõbranna kes mind usaldab ja koju ootab
common_voice_et_21872518.wav,275756,kõik kolm koera hakkasid mehe nägu limpsima justkui mõistes et midagi on korrast ära
common_voice_et_21795789.wav,314924,välisminister tõdes et eesti india suhteid pärsib pikaleveninud laevakaitsjate juhtum
common_voice_et_21736126.wav,217388,vaid abikaasa oli alguses mures oma naise turvalisuse pärast kuid usaldab teda
common_voice_et_21792109.wav,163628,muidugi on ka mõned iseloomuomadused mida kandideerijailt oodatakse
common_voice_et_21773342.wav,307244,erakonna eestseisus arutas läbi ja kinnitas kohalike valimiste kampaania rahastamise põhimõtted mille kohaselt saab iga nimekiri erakonna eelarvest rahalist toetust oma ideede ja inimeste tutvustamiseks
common_voice_et_21905982.wav,180524,seda seepärast et bakteritele on meelepärane just niiske keskkond
common_voice_et_21848324.wav,284204,et infonet oli paraku ühe mehe projekt millel puudus laiem võrgustik tulebki klubi kinni panna
common_voice_et_21824234.wav,248108,mida enam te olukorra pärast pinges olete seda enam ka teie laps reageerib
common_voice_et_21792111.wav,248108,nendel startuppidel on võimalus teha midagi murrangulist muuta viisi kuidas me mõtleme teeme ja loome avalikke teenuseid
common_voice_et_21783527.wav,244268,tänavune eurovisioni lauluvõistlus saab peagi lõpu ning finaalvõistluse eel piilume pisut ka suurvõistluse tagatubadesse
common_voice_et_21857120.wav,145964,su abikaasa või partner kannab oma kõhus beebit
common_voice_et_22196638.wav,238124,tulemas on armulauaga jumalateenistus kus külla tulevad lasteaia ja pühapäevakooli lapsed
common_voice_et_21773338.wav,286508,kes tahab koogiretseptis tavalise kõrvitsa muskaadiga asendada võib kõrvitsakogust veidi suurendada sest muskaat ei aja nii palju vedelikku välja kui tavaline kõrvits
common_voice_et_21783529.wav,134444,kui eksite metsa ja nälg on kallal sööge parem konni ja tigusid
common_voice_et_21775703.wav,276524,samuti loobus firma ümberpakendamisest ja siltide vahetusest sest sellega oleks kaasnenud ebamõistlikult suured kulud
