wav_filename,wav_filesize,transcript
common_voice_nl_18441136.wav,272684,ze had de bank beschadigd met haar skateboard
common_voice_nl_19691757.wav,143660,in onze buurt kent iedereen elkaar
common_voice_nl_19966492.wav,108332,waar laat jij je onderhoud doen
common_voice_nl_17694848.wav,107564,mijn toetsenbord zit vol stof
common_voice_nl_17699535.wav,131372,de aboriginals zijn de oorspronkelijke bewoners van australië
common_voice_nl_17700297.wav,218924,hij ligt met zijn armen gekruist op de zetel
common_voice_nl_19442483.wav,90668,zeven plus vier is elf
common_voice_nl_20177910.wav,102956,ik denk dat ik gevolgd word
common_voice_nl_21571581.wav,125228,de tampons zijn op
common_voice_nl_17696892.wav,92204,ine lag in de strandstoel
common_voice_nl_19031796.wav,263468,het voeren van brood aan eenden is eigenlijk ongezond voor de beesten
common_voice_nl_21431804.wav,130604,marijke kent olivier nu al meer dan twee jaar
common_voice_nl_18294089.wav,232748,de bomen worden eerst gekapt worden dan in de zagerij tot planken verzaagt om uiteindelijk gebruikt te worden in meubels
common_voice_nl_17695742.wav,96044,parket moet je stofzuigen tegels moet je dweilen
common_voice_nl_17706390.wav,85292,heb je de tafel gedekt
common_voice_nl_17700547.wav,232748,na het lezen van vele beoordelingen had ze eindelijk haar oog laten vallen op een laptop met een qwerty toetsenbord
common_voice_nl_17703134.wav,181292,ze hadden hun gevel bordeauxrood geschilderd
common_voice_nl_18993986.wav,182828,de aarde draait in ongeveer driehonderdvijfenzestig dagen rond de zon
common_voice_nl_17703135.wav,165164,ze gaat morgen voor de allereerste keer naar school
common_voice_nl_17694673.wav,115244,chemische reacties zijn niet altijd voorspelbaar
common_voice_nl_20229048.wav,134444,voor mij een burger met frieten alstublieft
common_voice_nl_17874113.wav,92204,ze wou weer de heldin uithangen
common_voice_nl_20229046.wav,182828,alle wegen leiden naar rome
common_voice_nl_21791563.wav,168236,de loods loodst het vrachtschip tussen de zandbanken door
common_voice_nl_17695750.wav,142124,btw is de afkorting voor belasting op toevoegde waarde
common_voice_nl_20056417.wav,142124,zij heeft evenveel vrienden als vriendinnen
common_voice_nl_18993989.wav,80684,ik haat verraders
common_voice_nl_20056419.wav,134444,het raam gaat naar buiten open
common_voice_nl_22348889.wav,46124,ja
common_voice_nl_17702888.wav,165164,eet jij een hamburger met mes en vork of met je handen
common_voice_nl_17696340.wav,101420,ken je deze mensen
common_voice_nl_17696333.wav,90668,trek het je niet aan
common_voice_nl_17695748.wav,115244,hoeveel verschillende woorden zou het nederlands bevatten
common_voice_nl_17702890.wav,140588,iedere avond ligt ze met een dekentje in de zetel
common_voice_nl_22320401.wav,91436,vier
common_voice_nl_22320402.wav,91436,één
common_voice_nl_22348878.wav,71468,zes
common_voice_nl_17697570.wav,102188,de sirenes van de ziekenwagen klonken door de straten
common_voice_nl_17697571.wav,73004,zij is in de tweede helft ingevallen
common_voice_nl_17699283.wav,126764,zijn oom is soldaat in het leger
common_voice_nl_17699287.wav,134444,spiegeltje spiegeltje aan de wand wie is de mooiste van het land
common_voice_nl_17693566.wav,98348,de regenpijp lekt weer
common_voice_nl_17706524.wav,202028,als de hond blaft weet ik dat er een kat in de tuin zit
common_voice_nl_21175359.wav,188204,je kan die kaarsjes aansteken voor de gezelligheid
common_voice_nl_17696279.wav,126764,bij de staatsgreep hebben ze de oude president afgezet
common_voice_nl_17693567.wav,132908,met knikkende knieën liep ik het kantoor binnen
common_voice_nl_17921000.wav,92204,de kroonjuwelen van de koningin zijn gestolen
common_voice_nl_17696278.wav,82988,het is vijf voor half acht
common_voice_nl_19383840.wav,250412,hartenjagen is een populair kaartspel
common_voice_nl_17695826.wav,139820,er zijn opnieuw enkele gemeenten gefuseerd
common_voice_nl_17695825.wav,125996,ik loop vaak voor mijn plezier
common_voice_nl_21175362.wav,222764,het was zeer heet deze zomer het werd zelfs een record
common_voice_nl_18760340.wav,122924,hij is een held op sokken
common_voice_nl_17706525.wav,73004,mijn veter is stuk
common_voice_nl_17921001.wav,63788,het is de a van alfa romeo
common_voice_nl_18760341.wav,132908,de toren was van ver te zien
common_voice_nl_18760337.wav,141356,ze zet wel eens de bloemetjes buiten
common_voice_nl_17920999.wav,145964,n va was de grootste partij van vlaanderen in de vorige verkiezingen
common_voice_nl_17696048.wav,157484,madrid en barcelona zijn de grootste steden van spanje
common_voice_nl_17696050.wav,140588,bij volleybal moet de bal over het net voor een punt
common_voice_nl_22195459.wav,68396,drie
