wav_filename,wav_filesize,transcript
common_voice_ab_19904197.wav,132908,нас иусуф иҟны инеит
common_voice_ab_19904205.wav,313388,урҭ зегьы раасҭа иҳаракӡоу рынцәа ицәшәоит ирыдҵоу нарыгӡоит
common_voice_ab_20109750.wav,116012,ахашшаара зегь рыла аллаҳ итәуп
common_voice_ab_19904203.wav,295724,шьаиб амцҳәара идызкылоз уи атәылаҿы зынӡа инымхозшәа иааҟалеит
common_voice_ab_20072628.wav,184364,ҳәарада уаргьы уԥсуеит даргьы ԥсуеит
common_voice_ab_20072499.wav,311084,аиашазы ҳарҭ уара аилкаара змоу насгьы зегь рыла абзиара зҽазҭаз аӡә уакәны уаҳбоит рҳәеит
common_voice_ab_19904199.wav,238124,ҳарҭ ҳаԥсны анышә ҳанафа ашьҭахь еиҭах аԥсы ҳхалоума
common_voice_ab_20072502.wav,213548,рыбжьара шьоукы иуаа бзиақәоуп шьоукгьы ус иҟам
common_voice_ab_20072500.wav,272684,ҳәарада уара унцәа аиааираҵәҟьеи ҳәаа змам арыцҳашьареи ирқәиҭу иоуп
common_voice_ab_19973270.wav,194348,амала ишәиҭаз ашәыҟәқәа рыла шәԥишәарц азы хаз хазы шәишеит
common_voice_ab_20072671.wav,171308,ҳәарада унцәа иахьырхәра иаарласны иҟалоит
common_voice_ab_20072545.wav,268844,аха ҳара урҭ рхаҭақәагьы изхылҵызгьы ҳаҭәашьара иаҵанакит
common_voice_ab_20072632.wav,274988,шәара абри аҩыза аԥҟара шәоур шәахаҵгыл ус ианыҟамла ишәыдшәымкылан ҳәа
common_voice_ab_20072631.wav,245804,уара гаврил ацқьа ила ацхыраара усҭахьан
common_voice_ab_20072498.wav,149804,мамзар зынӡа ииашамыз акы ҟаҳҵон
common_voice_ab_20265964.wav,265004,ажәҩанқәеи адгьыли рыҟны иҟоу зегьы аллаҳ ирҽхәаԥхьыӡ еиҭарҳәоит уи дҳаракӡоуп иҟаиҵо зегьы аҟәыӷара аҵоуп
common_voice_ab_20762706.wav,152108,аҵыхәтәантәи ахынҳәрагьы иара иахь мацароуп
common_voice_ab_20072501.wav,255788,иара шәнызқьҩыла иҟаз иҵегьы аизҳара иаҿыз иуаажәлар цҳаражәҳәаҩыс дырзынаҳашьҭит
common_voice_ab_20072668.wav,167468,уи ида зегьы ақәӡаара рԥеиԥшуп
common_voice_ab_19904194.wav,132908,уара аԥсы иазкны азҵаара урҭоит
common_voice_ab_20072669.wav,238124,умшәан рҳәеит даргьы ҳара луҭ ижәлар рзы ҳаашьҭуп
common_voice_ab_20110394.wav,234284,ҳәарада аллаҳ иҿаԥхьа зегь раасҭа зыхәшьара ҳараку иара зегьы раасҭа ицәшәо иоуп
common_voice_ab_19991497.wav,131372,шәааԥшы ҳәарада ҳаргьы ҳаԥшуп убас ҳәа
common_voice_ab_19993070.wav,157484,арҭ агәы рызҭоуп аха уи ала аиаша рзеилкаауам
common_voice_ab_20265965.wav,203564,урҭ убас рықәҿырҭуеит иабаҟоу адунеиаҿ шәзымҵахырхәақәоз ҳәа
