wav_filename,wav_filesize,transcript
common_voice_cs_22018944.wav,150572,jen anglický trávník a anglický gentleman se denně holí
common_voice_cs_21345894.wav,254252,mladinkého václava vedli poručníci od hradu ke hradu
common_voice_cs_20485786.wav,82988,a nevíme kdo to byl
common_voice_cs_20479891.wav,151340,křeček si však myslí že mzdy dále porostou
common_voice_cs_21654190.wav,182060,ale pak nebude už vůbec žádné práce
common_voice_cs_21795915.wav,131372,karolína vytahuje slueční brýle a nasazuje si je
common_voice_cs_21740252.wav,102188,co chcete
common_voice_cs_20492743.wav,117548,rád chodím do lesa a sbírám houby
common_voice_cs_22152610.wav,192044,pane předsedající zpráva o níž zde hovoříme je dobrá
common_voice_cs_20483655.wav,132908,až jindy
common_voice_cs_20619739.wav,63788,pokusím se
common_voice_cs_21265143.wav,73004,jen mrknout
common_voice_cs_22402318.wav,186668,na vrcholové úrovni však vydržel pouze jedno olympijské období
common_voice_cs_21795918.wav,100652,někdo ne
common_voice_cs_22402319.wav,169004,tématem je otázka řecka po konání referenda
common_voice_cs_20619744.wav,203564,soudní moc vykonávají jménem republiky nezávislé soudy
common_voice_cs_22243691.wav,139820,co představují lidská práva v rusku
common_voice_cs_20485785.wav,103724,konzervy se špatně recyklují
common_voice_cs_22219679.wav,172844,rád bych učinil tři velmi krátké poznámky
common_voice_cs_22402320.wav,163628,šlo o sbor amatérských zpěváků z města mora
common_voice_cs_20963395.wav,118316,nebyla to ani tak diskuse jako monolog
common_voice_cs_20456258.wav,192044,rána kouř
common_voice_cs_20483620.wav,122924,tedy pokud na osmičku bude chodit dost diváků
common_voice_cs_20538634.wav,192812,a končí to až ve dvě v noci
common_voice_cs_22243690.wav,231212,samotné deklarace bez konkrétních akcí jsou prázdná slova
common_voice_cs_20963393.wav,145964,před pár lety jako demonstrační aplikaci detekce obličeje
common_voice_cs_22219678.wav,88364,to má dva důvody
common_voice_cs_22219681.wav,134444,komise však nebyla schopna návrh předložit
common_voice_cs_20483623.wav,122924,tuto chvíli si filip dlouho představoval ve svých snech
common_voice_cs_20456259.wav,217388,děda se za ní belhá jak zpomalenej film
common_voice_cs_22381062.wav,148268,výroba sýra má tradici už od byzantských dob
common_voice_cs_20486889.wav,149804,i k tomu wiki používám
common_voice_cs_20486888.wav,209708,podmínkou výroby elektřiny je otáčivý pohyb rotoru
common_voice_cs_21523231.wav,89900,to bylo tak
common_voice_cs_21523233.wav,126764,oukej rakovina varlat je tvoje
common_voice_cs_21654192.wav,153644,zdvíhnou trochu hlavu tak
common_voice_cs_20486887.wav,148268,vystudoval jsem plzeňskou univerzitu
