wav_filename,wav_filesize,transcript
common_voice_ja_22072759.wav,176684,財布をなくしたので、交番へ行きます。
common_voice_ja_20946865.wav,199724,風が強くなりさえしなければいいですよ！
common_voice_ja_19676248.wav,261932,ぶらぶらと、球場まで十分足らずの道を歩いていく。
common_voice_ja_20184176.wav,198956,彼女は彼を思い切りけとばした。
common_voice_ja_22307742.wav,90668,れい
common_voice_ja_22207708.wav,76076,に
common_voice_ja_20650478.wav,234284,外国語を勉強するのは難しいです。
common_voice_ja_19792531.wav,174380,暑かったので、家へ帰って、シャワーを浴びました。
common_voice_ja_22219505.wav,104492,はち
common_voice_ja_21358328.wav,181292,妹がまだ帰らないので、母は心配しています。
common_voice_ja_19792532.wav,132140,りっぱな大人になりたいです。
common_voice_ja_19701172.wav,119084,父は母を愛している。
common_voice_ja_19984402.wav,117548,必ずやります。
common_voice_ja_19701169.wav,137516,部屋は全く整頓されていなかった。
common_voice_ja_19499629.wav,119084,新しい靴をはいて出かけます。
common_voice_ja_20184174.wav,218924,部屋の中に多くの聴衆がいた。
common_voice_ja_21493990.wav,153644,いろいろありがとうございました。
common_voice_ja_19701171.wav,161324,布に応じて衣服を裁て。
common_voice_ja_20453565.wav,117548,複写機の紙を切らしたよ。
common_voice_ja_20453567.wav,195884,彼女は疲れていたけれども、その仕事を仕上げようとした。
common_voice_ja_20088745.wav,203564,小林さんは青い傘を持っています。
common_voice_ja_22247308.wav,157484,し
common_voice_ja_19701173.wav,208940,父は私の弟を掌中の玉のようにかわいがった。
common_voice_ja_22207709.wav,75308,いいえ
common_voice_ja_20088746.wav,140588,父はまだ帰っていません。
common_voice_ja_22207707.wav,84524,しち
common_voice_ja_20088744.wav,163628,窓口でお金の振り込みをします。
common_voice_ja_20453571.wav,215084,彼女を驚かせようという考えが突然私の頭にひらめいた。
common_voice_ja_20472569.wav,149804,海外で働きたいと思っているんです。
common_voice_ja_22207710.wav,73004,はい
common_voice_ja_20472562.wav,121388,彼女は料理が上手ではない。
common_voice_ja_22325333.wav,67628,ろく
common_voice_ja_20472564.wav,134444,文化は国々によって異なる。
common_voice_ja_20088747.wav,136748,もっと安い服を買います。
common_voice_ja_22325329.wav,65324,ご
common_voice_ja_20453570.wav,79148,風邪は抜けない。
common_voice_ja_22211366.wav,63020,く
common_voice_ja_20472567.wav,113708,ここに物を置いてはいけません。
common_voice_ja_21553711.wav,226604,分別のある人ならそんなことはいわないだろう。
common_voice_ja_21553712.wav,165164,負けたチームはゆっくりと競技場を去った。
common_voice_ja_22306991.wav,79148,さん
common_voice_ja_21553717.wav,157484,辞書を見て、日本語を勉強します。
common_voice_ja_19572004.wav,304940,きょうの夕飯はカレーを作ろうと思います。
common_voice_ja_21553713.wav,149804,台風で電車が遅れました。
common_voice_ja_19572005.wav,290348,暗い部屋で本を読んでいたので、目が疲れました。
common_voice_ja_19572008.wav,219692,風が雪のふきだまりを作った。
common_voice_ja_19572007.wav,178220,彼女は悲惨な死に方をした。
common_voice_ja_19517026.wav,134444,事故原因の究明は、急いでもらいたい。
common_voice_ja_19517024.wav,137516,彼女は風邪を引きやすかった。
common_voice_ja_21409739.wav,84524,風がひどくなってきた。
common_voice_ja_19517025.wav,164396,毎日忙しいので、あまり休むことができません。
common_voice_ja_21409740.wav,119084,祖母は、おおむね機嫌よく、サイコロをころがしている。
common_voice_ja_21409738.wav,180524,本状の持参人は友人の鈴木君です。
common_voice_ja_19517023.wav,144428,父はまだ休んでいる。
common_voice_ja_21409742.wav,159788,彼女は命を懸けて子供を守ろうとした。
common_voice_ja_19537424.wav,67628,物価が上がった。
common_voice_ja_19537425.wav,94508,腹を立てるのもあたりまえだな。
common_voice_ja_19537423.wav,115244,今いる市民が逃げ出すという事態が危惧されます。
common_voice_ja_19537422.wav,107564,父はニューヨークへ旅行することになっています。
