wav_filename,wav_filesize,transcript
common_voice_sah_18880737.wav,191276,онуоха кыыс симиттэн кырыарбыт кыламаннарынан сапсыммахтаан ылла
common_voice_sah_18880800.wav,268844,онтон оҕолор тустарынан кэпсэттилэр сотору соҕус буолан баран дьоно кэллибит диэн эрийдилэр
common_voice_sah_18664889.wav,182828,диэн баран таня дьүөгэтин диэки сандаарыччы көрөн кэбистэ
common_voice_sah_18880796.wav,245804,оһох үрдүнээҕи адарай маска ыйанар бэргэһэҕэ кутуйах бэйэтэ да ыттан киирэрэ уустук
common_voice_sah_18880799.wav,155948,көхсүнэн олорор буолан хайдах аһыырын көрбөппүн
common_voice_sah_18880781.wav,171308,дьоммор тугу эрэ буһарыыһыбын бэйи хортуоска хастыахха
common_voice_sah_18880828.wav,136748,кимиэхэ да кэпсээмэҥ баҕар тыыннаах буолуо
common_voice_sah_18880879.wav,199724,кырдьар диэн кырыыс дииллэрэ кырдьык ээ
common_voice_sah_18597919.wav,263468,диэн ытыы ытыы кыыс көхөҕө ыйаммыт баттаҕын сүөрэ турдаҕына дьоно киирэн көмөлөспүттэр
common_voice_sah_18597920.wav,169004,бүтэрээт «талаҕым эрэ буолларгын табахта аҕал»
common_voice_sah_18880787.wav,134444,хайа доҕоттоор оккутугар тоҕо киирбэккэ олороҕут
common_voice_sah_18872581.wav,215084,эчикийэ суох бу оҕолор иллэрээ күн бөһүөлэккэ баран бараннар бу сибилигин кэлэн олороллор
common_voice_sah_18573803.wav,202028,кырдьык киһи үйэтигэр биирдэ түбэһэр үчүгэй ыт этэ
common_voice_sah_18857917.wav,145964,хаарыан киһи бу күн сириттэн эрдэ күрэммитэ
common_voice_sah_18597916.wav,272684,икки кыыһа кыаммат ыал уолаттарыгар кэргэн тахсан туспа олороллор
common_voice_sah_18573805.wav,303404,саамай дьулайара бу үһү туос маһын барытын томтор аннын диэки тэбэн ыытара дииллэр
common_voice_sah_18857926.wav,184364,онтон абааһы өһөс киһиттэн салҕан кэлин кинини тыыппатах
common_voice_sah_18872639.wav,184364,музыка тохтоотун кытта уонча буолан кинилэри төгүрүйэн кэбистилэр
common_voice_sah_18573802.wav,148268,диэбит уонна ураһа аанын аһан кэбиспит
common_voice_sah_18573806.wav,161324,онтон дьэ харса суох хаспытынан барда
common_voice_sah_18871578.wav,141356,дойду атыыһыттара дуҕа атыылыыр идэлээхтэр эбит
common_voice_sah_18857924.wav,172844,суох суох ити дима паапата маамата хайдах киниэннэрэ буолбуттарый
common_voice_sah_18871580.wav,135212,маама мин наһаа утаттым хаһан дьиэбитигэр барабыт
common_voice_sah_18880739.wav,185900,тохтуоххут ээ билигин баҕас урукку курдук көрөн туран былдьатыам суоҕа
common_voice_sah_18857934.wav,222764,күн уотугар сырдык туочука буолан кылабачыйар самолет саҕахха тиийэн сүттэ
common_voice_sah_18871613.wav,185132,итинник орто дойдуга баара да буолуо диэн санаабат да этэ
common_voice_sah_18857928.wav,222764,хардаҕастарын хаста да кырынан оһоҕун чанчыгар үллэччи кыстаан кэбиспит
common_voice_sah_18872635.wav,176684,суох көрдөрөн бүппүтүм маамаҕын ыйыталаһа кэлбиппит
common_voice_sah_18871616.wav,178220,«аҕам айыы ойууна буолан баран бу куттаах оттоох маһы тоҕо сөбүлээбэтэ»
common_voice_sah_18871579.wav,225068,ити тэлэбиисэргэ кыыллар тустарынан биэриилэргэ да көрдөрөллөрүнэн онно ордук атыырдар муҥнанаахтыыллар
common_voice_sah_18857936.wav,145964,хайа дьыалаҥ хайаста күнүс да аһаабатыҥ дии
common_voice_sah_18597918.wav,198188,сугуннуурун быыһыгар үрэххэ киирэн дулҕа быыһыгар кутуйахтыыра
common_voice_sah_18871581.wav,184364,халлаан сырдыар диэри ыалы сүгүн утуппакка бэйэтин араас баракаастарын оҥоро сылдьыбыт
common_voice_sah_18579545.wav,243500,дорооболоһон баран олорон эрдэҕинэ хайаларын эрэ чаҕаархай куолаһа
common_voice_sah_18858034.wav,222764,хардыытын кыыска тэҥнээн күлсэ күлсэ тэбис тэҥҥэ хааман бардылар
common_voice_sah_18858037.wav,186668,ааннарын баттаппатахтар ханна эрэ чугас тахсыбыттар быһыылаах
common_voice_sah_18880794.wav,280364,уолаттар прокаттан массыына ылан эмээхсини батыстылар эргэ сарай курдук дьиэҕэ кэлэн киирэн хаалла
common_voice_sah_18858064.wav,132908,кини үйэтин тухары соҕотоҕун сылдьыбыт киһи
common_voice_sah_18579544.wav,268844,оҕо бэрээкини тоҕо эрэ үүрэн кэбиспэтэхтэр илии атах буолар үлэһит оҥостубуттар
common_voice_sah_18579552.wav,260396,василий эдэр киһи сотору сотору остуолу тутан олорор уруучукатынан тоҥсуйан ылар төбөтүн быһа илгистэр
common_voice_sah_18857915.wav,142124,тохтуу түһүҥ кэтэһиҥ билигин кэлиэхтэрэ диэн буолла
common_voice_sah_18597917.wav,274988,аһаан бүтүүлэригэр кырдьык оҕонньор эппитинии уулаах хаардаах хараҥа былыт бу барыйан кэлбит
common_voice_sah_18858036.wav,236588,ира эйиэхэ тиматтан эҕэрдэ үһү иккиэммитин сарсын көрсүһүүгэ ыҥырда
common_voice_sah_18579543.wav,261164,онон кытылы батыһа син ат үктэнэн хаамар сирэ баар
common_voice_sah_18579546.wav,163628,сэрии иннигэр биһиги дьоммутугар харчы диэн суоҕун тэҥэ этэ
common_voice_sah_18579568.wav,281900,сотору соҕус саамай улаҕа сытар өлөксөйбүт дьону кэннинэн ат буолан таһырдьа таҕыста
common_voice_sah_18880806.wav,202028,сергей тута айтаны үҥкүүгэ ыҥырбыта уоллаах кыыс аан бастаан үҥкүүгэ киирбиттэрэ
common_voice_sah_18573800.wav,318764,эриэн ырбаахылаах уһун синньигэс уҥуохтаах дьахтар тэлиэгэтин соһон тэйэн эрэрин көрөн
common_voice_sah_18858066.wav,132908,хата бу киэһэ массыына баар эбит
common_voice_sah_18577032.wav,240428,хайдах эрэ эн иннигэр реабилитацияланыахпын наһаа баҕарабын
common_voice_sah_18858035.wav,248108,маннык истиҥ иэйии кэрэҕэ тардыһыы хаһан да кини дууһатын сылаастык кууспатаҕа эбээт
common_voice_sah_18858065.wav,232748,ол да иһин былыр өбүгэлэрбит бу үлүгэрдээх киэҥ сири тайаан олохсуйдахтара буолуо
common_voice_sah_18577426.wav,202028,ол эрээри абааһылара уот алгыһын истибэтэх
common_voice_sah_18579570.wav,276524,сопхуос салалтата эдэр сүрэхтээх бэлэстээх үлэһити биир сыллаах бухгалтердар куурустарыгар үөрэттэрбитэ
common_voice_sah_18577033.wav,234284,хайыахпыный бэйэбэр олох сүрэҕим ыалдьыбат оҕобор эрэ дууһам ыалдьар
common_voice_sah_18579571.wav,182060,сиэтэххинэ субу түүн бу дьиэҕэ эмискэ таарымталанан өлүөҥ
common_voice_sah_18577036.wav,241964,диэн баран дьэҥкир водканы хантас гыннарда кыргыттар сорохторо аһыырҕаппыттыы харахтарын симнилэр
common_voice_sah_18871614.wav,162860,диэн эмиэ уолаттарын санаан былаатын төбөтүнэн хараҕын уутун сотунна
common_voice_sah_18872638.wav,155948,манна түбэспит дьыалатын санаан көрдөҕүнэ олус хараастар
common_voice_sah_18577424.wav,161324,аны биир эмиэ туохха да тэҥнэммэт улуукан үөрүү
common_voice_sah_18577425.wav,188204,диэн ыйытык сүөдэр төбөтүгэр ыйанан хаалан хаалла
common_voice_sah_18858038.wav,175148,сүөдэр кинээс уруутугар бэрт элбэх сүөһүнү сиэбиттэр
common_voice_sah_18767600.wav,255788,диэн кытаанахтык ол эрээри ким эрэ истиэ диэбиттии сибигинэйэн сүһүөхтээн эттэ
common_voice_sah_18577427.wav,230444,оһох кэннинэн хаҥас диэкинэн «абааһыны көрдөөн» тилийэ сүүрбүттэр
common_voice_sah_18767508.wav,310316,би лигин орто халымаҕа тиийэн олорор буолуохтаах
common_voice_sah_18577035.wav,230444,ээ суох баран сынньана түс утуй айсен олох утуйбакка сылдьар диэбитэ
common_voice_sah_18610217.wav,251948,диэбит да оҕонньор хоруйун истибэккэ эрэ атын кымньыылаан кэбиспит
common_voice_sah_18577428.wav,188204,тустубутунан эргэ үүтээн аҥаар эркинин көҥү көтөн таһырдьа тахсан кэлбиттэрэ
common_voice_sah_18767679.wav,233516,күнү быһа аһаан тахсабыт дии мин наһаа уойдум ээ
common_voice_sah_18610216.wav,194348,атыттар харахтарын кырыытынан аһыммыттыы уоран көрөллөр
common_voice_sah_18579569.wav,172844,манна саас эрдэ бөһүөлэктэн чалбах уута халыйан киирээччи
common_voice_sah_18579572.wav,132908,түһүлгэҕэ ураһа да элбэх киһи да элбэх эбит
common_voice_sah_18859258.wav,153644,ол аата үчүгэйдик сылдьар буолан көҥүллээтэхтэрэ
common_voice_sah_18767691.wav,288812,онтон устудьуоннар уопсайдарыгар бииргэ олорор айта үөрэппит уолун булан ыйыталастылар
common_voice_sah_18857922.wav,155948,титирэс буолбут илиитин нина илиитин көхсүгэр уурда
common_voice_sah_18857911.wav,165164,утуйар киһи баар мин зато эрдэ турабын
