wav_filename,wav_filesize,transcript
common_voice_or_22107925.wav,163628,ତାକୁ ଜେଲ ଦେବାକୁ କହିଥିଲେ ।
common_voice_or_21833739.wav,198188,ଏଣିକି ପିତୃଲୋକ ପାଣି ମୁଠାଏ ପାଇବାର ବାଟ କର ।
common_voice_or_21821329.wav,161324,ଆଜି ମଳତୀର ଆଦର ଦେଖେ କିଏ
common_voice_or_21821988.wav,167468,ତେବେ ଆଜି ଏତେ ବ୍ୟାକୁଳ କି ପାଇଁ
common_voice_or_21843277.wav,188204,ପେସ୍କାର ହଜୁର ପହିଲା ନମ୍ବର ମାମଲା ନିମକୀ ପୋଲିଶ ଚାଲାଣି ।
common_voice_or_22259289.wav,122924,ମାଆ ବୁଢ଼ୀ କରଇ ସୁକଇଲାଣ
common_voice_or_21833737.wav,234284,ବାଁ ହାତ ପାପୁଲିରେ ମୁହଁରୁ ପୋଷ ପୋଷ ଝାଳ ପୋଛିପକାଉଅଛନ୍ତି ।
common_voice_or_21833746.wav,199724,କାହାରିକୁ ନ କହି ମୁକ୍ତାର ବାବୁ ଗୁଣିଆକୁ ଡାକିବା ଲାଗି ଏକ କାନିଆ ଆପେ ଧାଇଁଲେ ।
common_voice_or_21842395.wav,241964,ସେ ତିନିହେଁ ଯେଉଁବାଟେ ଯିବାକୁ ଯାହା କରିବାକୁ କହିଲେ ତାହା କଲା ।
common_voice_or_21821331.wav,155948,ତାହେଲେ ଆପଣଙ୍କ ଘର ପାଣିମାଠିଆରୁ ତ ମାଛ ବାହାରୁଥାନ୍ତେ
common_voice_or_21833742.wav,153644,ସେଇଟା ତ ବର ପିଠିରୁ ଦେଣ ।
common_voice_or_21842385.wav,291884,ତେବେ କଣ ଜାଣନ୍ତି ବିଷୟଟା ପଡ଼ିଲେ ଖାଲରେ ପଡୁ ଢିପରେ ପଡୁ ସମସ୍ତେ ଦି'କଥା ମାରିଦିଅନ୍ତି ।
common_voice_or_22259322.wav,94508,ନାଉରି କି ଶୋଇ ଯାଇଛି
common_voice_or_21842388.wav,232748,ସମସ୍ତେ ବାହୁନି ବସିଲେ ବୋହୂମାନଙ୍କ ମୁଣ୍ତରେ ଲୁଗା ନାହିଁ କାନ୍ଦି ଲୋଟି ଯାଉଛନ୍ତି ।
