wav_filename,wav_filesize,transcript
common_voice_ar_19242995.wav,94508,أين المشكلة ؟
common_voice_ar_20452594.wav,261164,لقد تم اختراع الطائرة الورقية قبل ألفَيْ عام
common_voice_ar_21818419.wav,69164,ستة
common_voice_ar_19216700.wav,106028,ألديك قلم ؟
common_voice_ar_20360379.wav,135980,إنها جميلة جداً
common_voice_ar_21718692.wav,73004,أربعة
common_voice_ar_20335209.wav,63788,لماذا تسأل ؟
common_voice_ar_19644854.wav,91436,لم أسمع شيئاً
common_voice_ar_19204574.wav,86828,كم الساعة ؟
common_voice_ar_21340998.wav,142124,كادت أن تتأخر عن المدرسة
common_voice_ar_20897642.wav,132908,هذا أسرع قطار في العالم
common_voice_ar_21696507.wav,59948,إثنان
common_voice_ar_20933525.wav,113708,ها هو العنوان
common_voice_ar_19235572.wav,186668,تقوم أمي بإعداد كعكة لأجل أبي
common_voice_ar_21352497.wav,163628,أين الغسيل ؟
common_voice_ar_20933539.wav,162092,أعرف تلك الفتاة
common_voice_ar_21179395.wav,91436,لم لا ؟
common_voice_ar_21202796.wav,148268,اِصعدوا الباص واحداً تلو الآخر
common_voice_ar_19220070.wav,163628,بيتي بعيد عن هنا
common_voice_ar_22371318.wav,205868,سبعة
common_voice_ar_19219126.wav,232748,ذهبت إلى بيتي
common_voice_ar_21705328.wav,82988,واحد
common_voice_ar_20489288.wav,136748,أريد الذهاب إلى كيوتو
common_voice_ar_20791546.wav,86828,حاول أن يهرب
common_voice_ar_19469251.wav,149804,بقي عازباً طوال حياته
common_voice_ar_19214249.wav,318764,أنا متعب أعتقد أنني سأخلد إلى السرير
common_voice_ar_19214898.wav,103724,الكرز أحمر
common_voice_ar_20404418.wav,133676,يُقال أنها وُلدت في ألمانيا
common_voice_ar_19227038.wav,127532,أستحم كل يوم تقريباً
common_voice_ar_19226926.wav,125228,أردت الذهاب إلى هناك
common_voice_ar_19469249.wav,208940,بالكاد يمكنني المشي
common_voice_ar_20489290.wav,170540,طابت ليلتك أحلاماً سعيدة
common_voice_ar_19871967.wav,80684,سأذهب الآن
common_voice_ar_19871968.wav,86828,من هذان الولدان ؟
common_voice_ar_20404416.wav,74540,بدأ يشعر بالمرض
common_voice_ar_20912781.wav,125228,هل أنت متأكد ؟
common_voice_ar_20455342.wav,134444,نلعب كرة القدم كل سبت
common_voice_ar_21100355.wav,125228,غيّرت الفتاة شكلها
common_voice_ar_20455341.wav,104492,ماذا عنك ؟
common_voice_ar_22014694.wav,252716,نعم
common_voice_ar_22014695.wav,60716,صفر
common_voice_ar_20912782.wav,142124,لا تعجبني هذه الملاحظات
common_voice_ar_21100353.wav,102188,أطفأت المذياع
common_voice_ar_19770045.wav,122924,الخطة الجديدة نجحت
common_voice_ar_20294107.wav,99884,اسمح لي أن أقيس ضغط دمك
common_voice_ar_20844913.wav,86828,لا لست نعساناً
common_voice_ar_19504465.wav,114476,أحتاج مساعدة طبية
common_voice_ar_19504459.wav,172076,إنها ماهرة جداً
common_voice_ar_20294091.wav,76076,كيف حالك الآن ؟
common_voice_ar_19770038.wav,135980,أعيش في الطابق الأرضي
common_voice_ar_19506820.wav,192044,الكل يريد أن يجلس بجانبها
common_voice_ar_19247899.wav,96044,الطفل لا يمشي بعد
common_voice_ar_19247901.wav,122924,أيمكنني أن أطرح بعض الأسئلة ؟
common_voice_ar_20844915.wav,80684,إنه ذكي
common_voice_ar_21180633.wav,298028,قريباً سيأتي اليوم الذي يستطيع فيه البشر السفر إلى كوكب المريخ
common_voice_ar_20962670.wav,142124,تتكاثر الفئران بسرعة
common_voice_ar_19506817.wav,138284,بماذا تحدّق ؟
common_voice_ar_20962672.wav,129068,أخفض الصوت من فضلك
common_voice_ar_19519240.wav,139820,من الأفضل لك أن تذهب
common_voice_ar_19460019.wav,89900,هذا كتاب
common_voice_ar_21835648.wav,61484,نعم
common_voice_ar_21835330.wav,76844,أربعة
common_voice_ar_21180636.wav,182828,هذه الرواية تتكون من ثلاثة أجزاء
common_voice_ar_19460018.wav,119084,سأبقى لعدة أيام فحسب
common_voice_ar_20283536.wav,93740,لا يمكنني فعل ذلك
common_voice_ar_19519239.wav,97580,لنتقابل هنا مرة أخرى في الغد
common_voice_ar_19148679.wav,84524,اشتريت ساعة
common_voice_ar_20283544.wav,119084,قابلته في عدة مناسبات
common_voice_ar_19148677.wav,117548,ألا تشعر بالبرد ؟
common_voice_ar_20527677.wav,100652,عليّ أن أعيد الكتاب قبل السبت
common_voice_ar_20527675.wav,62252,أين تعملين ؟
common_voice_ar_20527673.wav,87596,لا أستطيع أن أقول العكس
common_voice_ar_19533050.wav,102188,لم يعد لدينا سكر
common_voice_ar_19533051.wav,106028,لم أقصد أن أؤذيك
common_voice_ar_19206277.wav,122156,هاتان أُختان
common_voice_ar_19850611.wav,73004,و انت؟
common_voice_ar_19533052.wav,88364,أعرف اسمه
common_voice_ar_19803327.wav,161324,صباح الخير
common_voice_ar_21722377.wav,66860,واحد
common_voice_ar_21722155.wav,57644,ستة
common_voice_ar_19850608.wav,84524,دعني أساعدك
common_voice_ar_19850609.wav,117548,مهما قلت عنه ، اظن انه صادق
common_voice_ar_19206273.wav,197420,وصلت البارحة
common_voice_ar_19382768.wav,90668,الأمل ليس استراتيجية
common_voice_ar_19205348.wav,116012,ساعدني في الطبخ
common_voice_ar_19803328.wav,167468,لا تتدخل فيما لا يعنيك
common_voice_ar_19803329.wav,121388,أتعرف كيف تلعب الشطرنج ؟
common_voice_ar_19382770.wav,80684,إنه يعمل في المصرف
common_voice_ar_19367230.wav,116780,إنه يريدك أن تبقى هنا
common_voice_ar_19367226.wav,108332,لا ، لن تحتاج
common_voice_ar_21722420.wav,74540,نعم
common_voice_ar_19367228.wav,192044,زادت الفرقة الموسيقية عدد الحفلات في جولتها
common_voice_ar_19314633.wav,88364,كيف حال الطقس ؟
common_voice_ar_20038084.wav,75308,ما ميعاد إقلاع طائرتك ؟
common_voice_ar_20058637.wav,70700,إنه وسيم
common_voice_ar_19314631.wav,134444,كنت أمزح فقط
common_voice_ar_19382767.wav,88364,عمّا تبحث ؟
common_voice_ar_20058646.wav,76076,الولد عطشان
common_voice_ar_19465397.wav,104492,سأحضر بعض كؤوس الشرب
common_voice_ar_20791330.wav,90668,آن مشجّعة
common_voice_ar_20791332.wav,122924,عليّ أن أعيد الكتاب قبل السبت
common_voice_ar_20791331.wav,94508,هل تمزحُ معي ؟
common_voice_ar_19465398.wav,106028,إن الله يمهل ولا يهمل
common_voice_ar_21919804.wav,113708,أربعة
common_voice_ar_21919800.wav,134444,ثلاثة
common_voice_ar_21919797.wav,186668,تسعة
common_voice_ar_19465399.wav,129068,هناك الكثير من الكتب في غرفتي
common_voice_ar_19314632.wav,138284,كل ما يحصل ، يحصل لسبب
common_voice_ar_20312016.wav,109868,لديك بعض الكتب
common_voice_ar_19527482.wav,135212,بإمكانك أن تطلب منه المساعدة
common_voice_ar_20268158.wav,84524,و العكس صحيح
common_voice_ar_20311747.wav,99884,ما ذلك ؟
common_voice_ar_20268171.wav,99884,إنه يتيم حرب
common_voice_ar_19375159.wav,96044,القرار النهائي بيد الطلبة
common_voice_ar_20312018.wav,129068,متى وصلت ؟
common_voice_ar_19375157.wav,86828,خذني معك
common_voice_ar_19527480.wav,108332,ما المشكلة ؟
common_voice_ar_20268170.wav,120620,سأرفع عليك قضية
common_voice_ar_19527483.wav,141356,العصافير تطير
common_voice_ar_20755031.wav,319532,لَا يَحْزُنُهُمُ الْفَزَعُ الْأَكْبَرُ وَتَتَلَقَّاهُمُ الْمَلَائِكَةُ هَذَا يَوْمُكُمُ الَّذِي كُنْتُمْ تُوعَدُونَ
common_voice_ar_20755028.wav,116780,أنا حامل في الشهر الرابع
common_voice_ar_20755023.wav,182060,بإمكانك استخدامها في أي وقت
common_voice_ar_22479674.wav,79456,خمسة
common_voice_ar_19375155.wav,225068,بعض أصدقائي يمكنهم تحدث الإنجليزية جيداً
common_voice_ar_20373576.wav,94508,إسمي بوب
common_voice_ar_20373578.wav,121388,أفرش أسناني مرتين في اليوم
common_voice_ar_22479682.wav,78620,ستة
common_voice_ar_20401421.wav,148268,عند دخولي إلى الغرفة كان مستغرقاً في قراءة كتاب
common_voice_ar_20248419.wav,119084,خرجت على المعاش السنة الفائتة
common_voice_ar_20248435.wav,89900,عليك أن تزور طبيباً
common_voice_ar_21739247.wav,90668,أربعة
common_voice_ar_21849032.wav,80684,تسعة
common_voice_ar_21848964.wav,79148,خمسة
common_voice_ar_19219151.wav,140588,بيتك أكبر من بيتي ثلاث مرات
common_voice_ar_22479679.wav,85308,أربعة
common_voice_ar_19219153.wav,115244,كان ذاك أرنوبًا شريرًا
common_voice_ar_20248440.wav,115244,فعل ما طلبت منه تماماً
common_voice_ar_19219148.wav,163628,بلغها أن تعاود الإتصال بي من فضلك
common_voice_ar_19219147.wav,186668,في البداية واجه صعوبة في التأقلم مع بيته الجديد
common_voice_ar_19348896.wav,86828,تعال و اسبح معي
common_voice_ar_19348897.wav,117548,كان هناك حوالي عشرين دولاراً
common_voice_ar_19348894.wav,99884,لا أحتاج إلى مساعدتك
common_voice_ar_19743246.wav,86828,تفاجأت زوجتي
common_voice_ar_19743247.wav,107564,نحن لا نعرف الحقيقة بعد
common_voice_ar_19743248.wav,69164,ماذا تُفضّل ؟
common_voice_ar_19436314.wav,117548,مدريد عاصمة أسبانيا
common_voice_ar_19348895.wav,132908,كان عطشاناً جداً فطلب القليل من الماء
common_voice_ar_19743245.wav,102188,اخي الصغير يشاهد التلفاز
common_voice_ar_19587990.wav,134444,هل يمكنك أن تسبح حقاً ؟
common_voice_ar_19436319.wav,86828,أُدعى جاك
common_voice_ar_19436320.wav,163628,أتذكر أني سمعت هذه الموسيقى في مكان ما من قبل
