wav_filename,wav_filesize,transcript
common_voice_zh-CN_22069600.wav,175916,宋朝末年年间定居粉岭围。
common_voice_zh-CN_22006851.wav,121388,渐渐行动不便
common_voice_zh-CN_18646658.wav,259628,局部干涩的例子包括有口干、眼睛干燥、及阴道干燥。
common_voice_zh-CN_18776118.wav,209708,嘉靖三十八年，登进士第三甲第二名。
common_voice_zh-CN_22120171.wav,186668,他们自称恰哈拉。
common_voice_zh-CN_22115132.wav,99116,二十一年去世。
common_voice_zh-CN_22122243.wav,116780,他主要演出泰米尔语电影。
common_voice_zh-CN_22078227.wav,101420,这一名称一直沿用至今。
common_voice_zh-CN_22144580.wav,215084,福崎町是位于日本兵库县中部的行政区划。
common_voice_zh-CN_18840501.wav,271148,为了惩罚西扎城和塞尔柱的结盟，盟军在抵达后将外城烧毁。
common_voice_zh-CN_22074585.wav,92972,蔡声白。
common_voice_zh-CN_22071732.wav,215852,此原理也广泛应用于家庭之中用于生产软水。
common_voice_zh-CN_19871025.wav,157484,河内盛产黄色无鱼鳞的鳍射鱼。
common_voice_zh-CN_22114629.wav,148268,这样都可以啊
common_voice_zh-CN_22185354.wav,137516,中华人民共和国成立后废置。
common_voice_zh-CN_19599902.wav,209708,下行月台设有厕所。
common_voice_zh-CN_22166660.wav,181292,本片的导演是赵秀贤和梁铉锡。
common_voice_zh-CN_22065062.wav,317996,雷诺在回归的第一年比赛中以第四名的成绩完成了比赛。
common_voice_zh-CN_22079876.wav,120620,光绪八年再中举人。
common_voice_zh-CN_22183525.wav,129068,手洞附近的一个山洞。
common_voice_zh-CN_18983026.wav,142892,戴七宝冠作通身光。
common_voice_zh-CN_22070983.wav,156716,其名称来源于当时图书馆的创始人。
common_voice_zh-CN_21324948.wav,188204,耶尔河畔圣伊莱尔人口变化图示
common_voice_zh-CN_22119370.wav,94508,吉内斯塔。
common_voice_zh-CN_22073283.wav,192812,槽果扁莎为莎草科扁莎属下的一个种。
common_voice_zh-CN_22099496.wav,267308,尽力和武市半平太一起创立土佐勤王党。
common_voice_zh-CN_22111234.wav,85292,卡尔雷尔。
common_voice_zh-CN_22151247.wav,201260,正模标本是多个可能的生物型中的一个。
common_voice_zh-CN_22148960.wav,295724,伍斯特座堂是英格兰伍斯特郡的一座教堂。
common_voice_zh-CN_22074688.wav,279596,最少数百名购不到门票的影迷要求加场。
common_voice_zh-CN_22051730.wav,120620,拉沙尔克。
common_voice_zh-CN_22119712.wav,148268,他也是蚬壳电器创办人翁佑的女婿。
common_voice_zh-CN_22072226.wav,244268,如今该符号已变成一个表示迷因的网络词汇。
common_voice_zh-CN_18987308.wav,129068,厚实的墙壁让旧机内部冬暖夏凉。
common_voice_zh-CN_22103120.wav,245804,光果婆婆纳为车前草科婆婆纳属下的一个种。
common_voice_zh-CN_18832787.wav,199724,滨江县先后隶属于吉林省西北路道和滨江道。
common_voice_zh-CN_18774708.wav,298028,大使馆全年都为各类政治人物和公众举办了许多活动，包括庆祝以色列独立日独立日。
common_voice_zh-CN_22117241.wav,115244,本站主体结构经已完工封顶。
common_voice_zh-CN_18978887.wav,102188,长期信用银行法。
common_voice_zh-CN_22151030.wav,268844,纳塔兰迪亚是巴西米纳斯吉拉斯州的一个市镇。
common_voice_zh-CN_18984455.wav,197420,各级地方政府已经大幅减少健康步道的铺设。
common_voice_zh-CN_18978243.wav,163628,电子浩室是浩室音乐的一个类型。
common_voice_zh-CN_18903199.wav,236588,感冒茶起源于中国岭南一带。
common_voice_zh-CN_22072942.wav,116780,崔明逃到鲁国。
