wav_filename,wav_filesize,transcript
common_voice_ia_20989981.wav,116780,io non pote lassar te ci sol
common_voice_ia_20989982.wav,158252,que significa iste signo
common_voice_ia_20798844.wav,145964,alcun regiones in canada es quasi deserte
common_voice_ia_19251461.wav,132908,como sona mi voce
common_voice_ia_19251460.wav,159788,io ha cambiate de idea
common_voice_ia_19251463.wav,103724,que es tu plan
common_voice_ia_19251464.wav,213548,on pote ancora audir su accento anglese in su discurso registrate
common_voice_ia_20798843.wav,173612,dozenas de autos esseva parcate in le loco de parcamento
common_voice_ia_19865450.wav,131372,romance de cappa e spada
common_voice_ia_20989962.wav,93740,qual es los pro e los contra
common_voice_ia_20798845.wav,115244,io es occupate ora
common_voice_ia_20798842.wav,154412,le policiero investiga in iste caso
common_voice_ia_19865451.wav,114476,samuel me reguarda
common_voice_ia_19865448.wav,231212,grecia es le pais ubi democratia ha essite inventate
common_voice_ia_19844045.wav,109100,io vole tempore
common_voice_ia_20111810.wav,215084,ille ha dicite que ille non lo sapeva
common_voice_ia_19844052.wav,198188,nos non parla jammais con le estranies
common_voice_ia_20111813.wav,119852,tu debe la adjutar
common_voice_ia_19318370.wav,130604,isto es non conventional
common_voice_ia_19844051.wav,231212,ille parla anglese e francese
common_voice_ia_19318366.wav,126764,forsan ille non es juvene
common_voice_ia_20111811.wav,135212,io desira vider peter
common_voice_ia_19844043.wav,177452,veni al centro del citate con nos
common_voice_ia_20111809.wav,158252,ha illo realmente evenite
common_voice_ia_19865452.wav,305708,sitos web pote cargar avisos publicitari e altere contento externe que contine traciatores occulte
common_voice_ia_19844047.wav,63020,domina te
common_voice_ia_19844056.wav,70700,io sta ben
common_voice_ia_20463896.wav,230444,quante tempore prende le autobus del aeroporto pro attinger le aeroporto
common_voice_ia_20463897.wav,176684,le septimana passate illa habeva un filia brillante
common_voice_ia_20111812.wav,139820,qui rumpeva isto
common_voice_ia_19318369.wav,94508,retorna a laborar
common_voice_ia_19844044.wav,88364,prende solo un
common_voice_ia_21502781.wav,149804,tu me manca terribilemente
common_voice_ia_20463912.wav,236588,esque tote tu companiones de classe arriva sempre al lection a tempore
common_voice_ia_19318368.wav,148268,totes ha ascoltate le problema del pullo e del ovo
common_voice_ia_19844057.wav,182060,io pensa que io habeva facite ben
common_voice_ia_19318367.wav,107564,tom reposa
common_voice_ia_20463910.wav,234284,ora ecce un historia super un puera japonese nominate haru chan
common_voice_ia_20463895.wav,129068,tracta alteres como tu vole esser tractate
common_voice_ia_21502732.wav,188204,nos debe tener un diario cata die
common_voice_ia_20463909.wav,76844,non ha tu frigido
common_voice_ia_20463911.wav,148268,le rocchetta es in orbita circa le luna
common_voice_ia_21502780.wav,195884,io non ha del toto le desiro de burlar
common_voice_ia_20346707.wav,130604,io ha tante ideas
common_voice_ia_21502833.wav,176684,ille tentava recuperar le tempore perdite
common_voice_ia_20346710.wav,132140,felice pascha
common_voice_ia_21502947.wav,169004,lo importante es que nos es insimul
common_voice_ia_20463894.wav,184364,ille ama facer un montania de un grano de sablo
common_voice_ia_20346726.wav,125228,nos non es american
common_voice_ia_20346724.wav,89900,escappa
common_voice_ia_20346709.wav,187436,honest ahmed non convinceva le disveloppatores
common_voice_ia_21502897.wav,138284,io vadeva al schola heri
common_voice_ia_21502783.wav,94508,io vole iste
common_voice_ia_20346742.wav,157484,transmitter poteres a un persona
common_voice_ia_20346741.wav,241964,il ha nulle exita in iste parte del autostrata per le construction del strata
common_voice_ia_20346727.wav,162860,io ha laborate in un mina de carbon
common_voice_ia_19865449.wav,129068,io insenia chinese
common_voice_ia_20894779.wav,208940,le moneta non cresce in le arbores sape tu
common_voice_ia_20894780.wav,109868,de qui es iste auto
common_voice_ia_20894767.wav,149036,ma nemo les pagara
common_voice_ia_20894770.wav,85292,belle costume
common_voice_ia_20346706.wav,261164,le granatas flash explode con un alte bang e causa disorientation
common_voice_ia_20894769.wav,184364,le festa esseva mortalmente enoiose
common_voice_ia_20346744.wav,116780,io comprende le idea
common_voice_ia_20346743.wav,230444,pro comprender le le parolas del prudentias
common_voice_ia_20346708.wav,132140,illes era assassinate
common_voice_ia_20894771.wav,139820,como descende io al trainos
common_voice_ia_20894781.wav,174380,familia es plus importante que amicos
common_voice_ia_20894784.wav,199724,sami es sedite in le angulo toto sol
common_voice_ia_19370671.wav,106796,primavera es mi saison favorite
common_voice_ia_19370674.wav,181292,in arabia saudi le aqua es plus costose que le oleo
common_voice_ia_20894774.wav,172076,que parla tu melio francese o anglese
common_voice_ia_20894777.wav,199724,iste cravata non va ben con mi costume
common_voice_ia_20894776.wav,313388,ille percurreva rapidemente le pagina pro trovar le parola que ille cercava
common_voice_ia_20346730.wav,97580,que ben
common_voice_ia_19370673.wav,126764,io trova iste ferry boat enoiante
common_voice_ia_20894785.wav,192044,io me senti disturbate per le triste novas
common_voice_ia_19370672.wav,232748,galileo galilei ha essite le primo homine qui observava neptuno per su telescopio
common_voice_ia_20894786.wav,145964,es melior donar que prender
common_voice_ia_20894782.wav,160556,illa plorava durante tote le nocte
common_voice_ia_19370670.wav,89132,ha io facite illo
common_voice_ia_19370682.wav,70700,ille deveniva cec
