wav_filename,wav_filesize,transcript
common_voice_vi_22493635.wav,195884,như mẹ chúng ta
common_voice_vi_22493637.wav,119084,chữ đức chữ tâm
common_voice_vi_21824030.wav,251948,ở cái nơi rừng thiêng nước độc này
common_voice_vi_22493631.wav,311084,chứ tình trạng hoảng loạn như vậy sẽ rất nguy hiểm
common_voice_vi_21824046.wav,125228,không không không sao đâu
common_voice_vi_21824045.wav,159788,hoặc là có thể là nhờ kuman
common_voice_vi_22381114.wav,113708,và đêm nay nến thắp sáng lên rồi
common_voice_vi_22381111.wav,145964,sắp tới bốn mươi chín ngày của con bé kia
common_voice_vi_22381113.wav,80684,văn hay chữ tốt
common_voice_vi_21882308.wav,144428,trích dẫn từ báo chí
common_voice_vi_21838514.wav,130604,mày đừng tránh tao được không
common_voice_vi_21838512.wav,153644,thầm lặng hy sinh
common_voice_vi_22195136.wav,111404,như chú rất thích
common_voice_vi_22195134.wav,111404,để cho em học
common_voice_vi_21882264.wav,129836,đi đâu sao mày biết tao đi chơi
common_voice_vi_21838516.wav,175148,sau tiếng sấm trời bắt đầu đổ mưa rào rào
common_voice_vi_22195138.wav,172844,ngay lập tức trong đầu của trinh nảy ra một ý nghĩ
common_voice_vi_21882265.wav,101420,nên mỗi lần đi đâu về muộn một chút
common_voice_vi_21861996.wav,179756,lối viễn vọng chờ rong gót tim
common_voice_vi_21861999.wav,144428,sâu mắt đợi chờ
common_voice_vi_21861995.wav,193580,vậy nó có liên quan gì đến con gái tôi chứ
common_voice_vi_22381112.wav,140588,nhưng do có nhiều chuyện nên bán nhà đó để mua nơi khác
common_voice_vi_22427363.wav,82988,em liền gọi to
common_voice_vi_21838518.wav,102188,đưa tình về với mộng
common_voice_vi_22427361.wav,99884,chẳng ai bảo ai tự giác đi về
common_voice_vi_21882266.wav,99116,nhà mới của em ở trong xóm
common_voice_vi_22427360.wav,225068,thì vẫn không hiện tượng gì tiếp tục xảy đến
common_voice_vi_21882263.wav,98348,nô en vui vẻ
common_voice_vi_22427387.wav,71468,chân tay bủn rủn
common_voice_vi_22195137.wav,132908,dạ vâng thế để em gặp anh sau vậy
common_voice_vi_21964750.wav,144428,dần dà học xong
common_voice_vi_21964746.wav,186668,những câu chuyện hay những bức ảnh được chúng tôi khoe lại
common_voice_vi_22427362.wav,80684,quyết tâm chiến thắng
common_voice_vi_22427384.wav,94508,cũng không còn cách nào khác
common_voice_vi_21861994.wav,173612,đứng trước bàn thờ trinh vui sướng nói
common_voice_vi_21965271.wav,156716,thảo đứng sững lại không chạy trốn em nữa
common_voice_vi_21861997.wav,185900,không tao xin mày tao sợ
common_voice_vi_21964749.wav,155180,em yên tâm là kẻ đó sẽ không làm phiền
common_voice_vi_22427385.wav,129068,khuôn mặt thanh tú không có chút gì của dân nhà xe
common_voice_vi_21964747.wav,157484,bố em thắc mắc nói
common_voice_vi_21965268.wav,125228,giai đoạn cuối đời
common_voice_vi_22195135.wav,176684,những lời cuối cùng mà quân nói khiến cho trinh cảm thấy lo lắng
common_voice_vi_21964744.wav,181292,bố nó thì không tin chuyện ma quỷ
common_voice_vi_22427386.wav,102188,và mắt của cô chăm chú một cách khó hiểu
common_voice_vi_21965267.wav,212780,hà sợ quá giật lùi lại phía sau suýt ngã ngửa ra đất
common_voice_vi_22427359.wav,171308,lúc cháu giật mình tỉnh dậy thì cháu còn bị rét run
common_voice_vi_22214604.wav,96044,ngày ấy vào mùa thu
common_voice_vi_22214603.wav,117548,để tâm trí đem hoà cùng sách vở
common_voice_vi_22209926.wav,80684,ngày thơ đi mất
common_voice_vi_22209929.wav,102188,nó giúp chứ có phải đâu
common_voice_vi_22214607.wav,119084,người người thì đang tấp nập đi lại
common_voice_vi_22209924.wav,163628,nếu mà qua bốn mươi chín ngày
common_voice_vi_22008971.wav,162092,thì trinh nói là muốn về nhà
common_voice_vi_22209933.wav,138284,em chả hiểu mẹ nói có nghĩa là gì
common_voice_vi_22214606.wav,119084,giờ đi sang bản bên phía ta
common_voice_vi_21965272.wav,128300,em ngỡ như chiêm bao
common_voice_vi_22008972.wav,150572,mẹ em liền kéo tay em rồi nói
common_voice_vi_22008969.wav,150572,con bé nhà anh chị
common_voice_vi_22008970.wav,195884,và chỉ ăn với chơi và tiêu thôi
common_voice_vi_21838513.wav,111404,thiện tai thiện tai
common_voice_vi_22214605.wav,165164,trong phòng lúc này lửa trên thành ngọn nến đang cháy
common_voice_vi_22028481.wav,121388,ông nội nó suốt ngày phàn nàn rằng
common_voice_vi_22028288.wav,143660,tuyển tập thơ về các loại động vật cho bé mầm non
common_voice_vi_22028472.wav,91436,hạ liền nói tiếp
common_voice_vi_22028283.wav,135980,sao mày nói dù chuyện gì cũng xảy ra
common_voice_vi_22028467.wav,142892,vừa khấn xong thì điện thoại của trinh đổ chuông
common_voice_vi_22028266.wav,89132,nghe vè nói ngược
common_voice_vi_22028463.wav,117548,bát hương của bố vừa bốc cháy
common_voice_vi_22028601.wav,125996,thật thà ăn cháo láo nháo ăn cơm
common_voice_vi_22028619.wav,118316,hơi nuối tiếc bởi hôm nay
common_voice_vi_22028458.wav,86828,bánh kẹo mới
common_voice_vi_22028597.wav,79916,lời cảm ơn
common_voice_vi_21833241.wav,85292,kịch nghệ
common_voice_vi_22028584.wav,80684,cô ta
common_voice_vi_22028578.wav,101420,lòng sao vương vấn
common_voice_vi_21833245.wav,180524,mấy người cứ tin thầy cúng rồi mất mạng lại trách nhau
common_voice_vi_22028260.wav,135212,trước cuộc nói chuyện của mình với nhi
common_voice_vi_22028608.wav,82988,cảm ơn con
common_voice_vi_22028610.wav,108332,giờ phải nhìn mới thấy thôi
common_voice_vi_22008973.wav,168236,thì chắc chắn con gái nhà cô sẽ gặp vận lớn
common_voice_vi_22028275.wav,109868,mùa giao mùa lặng thinh
common_voice_vi_21833253.wav,200492,nhớ bác nói láo cây xoài em không ra quả thật
common_voice_vi_21833214.wav,175148,dứt lời trinh vội bỏ ra ngoài quên lấy cả tiền
common_voice_vi_21833244.wav,183596,nó bắt hồn anh chàng ấy định biến anh ta thành một cặp đôi
common_voice_vi_21833276.wav,150572,chắc là hợp nên nó bắt theo hầu nó đấy
common_voice_vi_22028599.wav,102956,anh ta là một người khác
common_voice_vi_21833262.wav,225836,thế còn chuyện cầu xin tình cảm với anh chàng khi thị sao
common_voice_vi_21833278.wav,122924,cô cười thật tươi
common_voice_vi_21833263.wav,156716,thì cũng chưa bao giờ phát nhanh được như vậy
common_voice_vi_21833213.wav,109100,buồn thế chứ
common_voice_vi_21833280.wav,162860,tay làm hàm nhai tay quai miệng trễ
common_voice_vi_21833242.wav,116012,ở bên trong trinh tự hỏi
common_voice_vi_21833290.wav,158252,để bác sĩ về tận nhà cũng chỉ là uống thuốc
common_voice_vi_21833314.wav,149036,cuộc đời con người ai cũng phải chết
common_voice_vi_21833329.wav,170540,và cảnh đời là sa mạc vô liêu
common_voice_vi_21833259.wav,169004,bố em liền cười bảo với chú
common_voice_vi_21833328.wav,185132,quay lại sau cậu bạn nhìn chinh rồi nói
common_voice_vi_22028613.wav,80684,kẻ bất tài
common_voice_vi_21833323.wav,128300,chỉ một ước mơ thôi
common_voice_vi_21833289.wav,126764,vì lâu lắm mới có người lên đấy
common_voice_vi_21833251.wav,160556,trước khi đi ra khỏi cửa trinh có nghe bác sĩ nói
common_voice_vi_21833315.wav,122156,cô ngượng ngùng nhìn phong
common_voice_vi_21833277.wav,166700,còn cái thảo nó ở đâu mẹ không nhìn thấy gì cả
common_voice_vi_21833310.wav,157484,sau đó họ đốn chặt những cái cây to lớn
common_voice_vi_21833331.wav,160556,hoặc là sẽ quanh quẩn bên xác
common_voice_vi_21833349.wav,134444,muôn vàng tấc đất
common_voice_vi_21833347.wav,167468,vần vũ mây che đèn cao áp chập chờn
common_voice_vi_21833346.wav,104492,bởi đối với cô
common_voice_vi_21833348.wav,148268,quân đã bị kumanthong của mình tác động
common_voice_vi_21833254.wav,110636,thả hổ về rừng
common_voice_vi_22028624.wav,83756,cô nào
common_voice_vi_21833326.wav,211244,đừng nghe đời của ông ta nói ông ta là kẻ xấu đấy
common_voice_vi_21833255.wav,155948,được rồi anh nghỉ ngơi rồi sẽ nhớ
common_voice_vi_21833288.wav,209708,đứa thì chết đứa thì điên dại nó còn làm được
common_voice_vi_21833252.wav,96044,nếu nhà có phúc
common_voice_vi_21833313.wav,137516,không nhìn vào mắt sầu
common_voice_vi_22402296.wav,92204,thuyền to sóng cả
