wav_filename,wav_filesize,transcript
common_voice_dv_18585714.wav,263468,ފައިސަލް ބޯޖަހައިލައިފައި ޗިޓް ފާރިޝާއާ ޙަވާލުކޮށްފައި ވަޞިއްޔަތުގެ ލިޔުން ހިފައިގެން ދާން ތެދުވި
common_voice_dv_21129984.wav,249644,މުދައްރިސް އެހާ ފަސޭހަ ސުވާލެއް ކުރުމުން ދޮންތުއްތު ރަނގަޅު ޖަވާބުދޭނެ ކަަމަށް މުދައްރިސް ހީފުޅު ކުރެއްވި
common_voice_dv_18585310.wav,113708,އަޅުގަނޑުވެސް ދާކަށް ބޭނުމެއްނުވި
common_voice_dv_18582989.wav,119084,މިހެން ބުނެ ނިއާލް ފޯނުބޭއްވި
common_voice_dv_18646003.wav,266540,އެއީ ޞަހްޔޫނީންގެ ޒަމާންވީ ރޭވުމެއްގެ ދަށުން މެދުނުކެނޑި ކުރިއަށްވާ ޕްރޮގްރާމެއް
common_voice_dv_18715505.wav,163628,ނަސީބު ދެރަކަމުން ސީމާއަށް ލިބިފައިވަނި އެންމެ ދަރިއެއް
common_voice_dv_18591608.wav,167468,ޓަރީގެ ދޮރު ހުޅުވައި ކޮއްޕާލެވުނީ އަތުގައި ހުރި ބާރެއް ލައިފަ
common_voice_dv_18586837.wav,145964,އޮޕަރޭޝަން ކުރިތާ އެއް އަހަރު ވީއިރު އަހަރެން ހުރީ މުޅިން ރަނގަޅު ވެފަ
common_voice_dv_18585419.wav,165164,ސްކޫލާމެދު ހިތްހަމަނުޖެހިގެން ބައެއްކުދިންވަނީ ސްކޫލުން ވަކިވެފަ
common_voice_dv_21317213.wav,155948,ސްޓްރެޓެޖިކް ޕްލޭން ހަދާދޭނެ ފަރާތެއް ހޯދުން
common_voice_dv_20602219.wav,134444,ނަޝްފާ އެ ބުނީ ވެސް ތެދެއް
common_voice_dv_21107736.wav,132908,އެއީ ދިވެހި ތާރީޚާޢި މެދު ނިކަން ޝައުގުވެރިކަން ހުންނަ ކުއްޖެއް
common_voice_dv_18585514.wav,163628,ނަމަވެސް ޝީޢީ މަޛްހަބުގައި އެއީ ހުއްދަ ކަމެއް
common_voice_dv_18585516.wav,159788,ބައެއްދުވަސް ދުވަހު މުޅި ދުވަސް ވެސް އެކަމުގައި ހޭދަކުރޭ
common_voice_dv_21107738.wav,82988,މަންމަ ޙައިރާންވި
common_voice_dv_18585420.wav,199724,އާދޭހެވެ ބޭކާރު ވާހަކަދެއްކުމަކީ ވަރަށް ނުރައްކާތެރިކަމެއް
common_voice_dv_18586843.wav,136748,އޭނާގެ ނޭވާ އަވަސްވެފައިވާކަން އަކުމަލްއަށް ފާހަގަވި
common_voice_dv_18715504.wav,149804,އޭނަގެ އަނގަވަނީ ބައްދަވެފަ
common_voice_dv_21314312.wav,215084,ޒާތެއްގެ އަޑެއް އިވުމާއެކު އޭނާ ސިހިއްޖެ
common_voice_dv_21301045.wav,215084,ފަަންސަވިސް ވާނެ ކަމެއް ވެސް ނޭނގެ
common_voice_dv_18591607.wav,142124,އެ އަޑު ދިޔައީ ފަހަރަކަށް ވުރެ ފަހަރެއް ބާރުވަމުން
common_voice_dv_20602222.wav,134444,ވިން ޑީސަލް އާއި ދީޕިކާ ގުޅޭތަ؟
common_voice_dv_18585489.wav,213548,އަދި ތިމާ ކުރާ މަސައްކަތްތަކަށް ބުރޫއަރައި އެ މަސައްކަތް ހުއްޓި ވައިބަރަށް ސަމާލުކަން ދެވެ
common_voice_dv_21109493.wav,163628,ބަށިކޯޓު އަދި ވޮލީކޯޓުގެ މަސައްކަތް ކުރުމަށް
common_voice_dv_21301046.wav,140588,ހަމައެހެންމެ އަހަރެން ބާކީކޮށްލި ވެސް
common_voice_dv_18585487.wav,167468,ހަނދާނުގައި އެނބުރެން މިފެށީ މަދުރަސީ ދައުރުގެ މަންޒަރެއް
common_voice_dv_21317332.wav,247340,އިނބަގެ މުއްސަނދި ކަމުގެ ސަބަބުން އެތަރިތަކާ އިނބަވަނީ ވަކިން ކައިރިއެއްގައެއް ނޫން
common_voice_dv_20086423.wav,161324,މާދަމާ ހެނދުނުގެ ފުލައިޓުން ބަޝީރު އެނބުރި މާލެ ދާން ވަނީ ހަމަޖެހިފަ
common_voice_dv_21130259.wav,142124,ނަމަވެސް މިފަހަރު އަޑު އިވުނީ ގިފިލީ ފާރުމަތިން
common_voice_dv_21109494.wav,240428,ގެއާ ޖެހިގެން އޮތް ހަނިގޯޅިގަނޑުގައި ހިޔަންޏެއް ފަދައިން ހުއްޓި ހުރީ އިސްކޮޅުންދިގު ބިޔަ ފިރިހެނެއް
common_voice_dv_18599342.wav,202028,މުސައްނިފު ހާރޑީއަކީ ކުރިން ބީބީސީގެ މުރާސިލެއް
common_voice_dv_20740191.wav,138284,އެންމެން ދިޔައީ އަޑުން އަޑު ނަގާ ރޮމުން
common_voice_dv_20740189.wav,153644,އޭރުވެސް އެ ތުންފަތުގައި ނުފިލާ ހިނިތުންވުމެއް ވި
common_voice_dv_20740188.wav,276524,އެހެނަސް ޑެލްޓާއަށް ނޯޓެއް ލިޔެ މޭޒުމަތީގައި ބާއްވާފައި އަހަރެން ސްކޫލަށް މިއައީ މިޔަދު ކުރަންޖެހޭ ބޮޑު ކަމެއް އޮތީތީ
common_voice_dv_21109492.wav,188204,އެވަރުގެކަމެއް މީޝާ ނުކުރާނެކަމަށް ސާރާ ދިޔައީ ބުނަމުން
common_voice_dv_18593304.wav,176684,އެކައުންޓިންގ ސޮފްޓްވެއަރ އަޕްގްރޭޑް ކުރުން
common_voice_dv_18593307.wav,134444,ވާހަކަ މިހިސާބަށް ދާއިރަށް މާޖިދު އެތަނަށް އަތުވެއްޖެ
common_voice_dv_18586328.wav,180524,އެތާނގައި ތިބި އެހެން މުދައްރިސުން ވެސް ހަމަހިމޭނުން ތިއްބެވި
common_voice_dv_18599339.wav,169004,އައިޓީ ހާޑްވެއަރ ސަޕްލައިކޮށްދޭން ފަރާތެއް ހޯދުމަށް
common_voice_dv_18584749.wav,152108,އަހަރެން ދިޔައިރު ރިޒާނާ ހުރީ ގޭ ދޮރުމަތީ
common_voice_dv_20086419.wav,176684,މި ގޮތަށް ނުޙައްޤުން ގިނައިން ބޭނުން ކުރާތީ ފެންނަނީ ފިކުރީ މުދަލު
common_voice_dv_21130260.wav,148268,ރިސޯޓަކުން ފަރިއްކޮޅު ހަމަޖައްސައިދޭނެ ފަރާތެއް ހޯދަން
common_voice_dv_18586329.wav,317228,ކައުސާހިބާ ޞައްލަﷲ ޢަލައިހި ވަސައްލަމަގެ ޞަޙާބީންނަކީ މާތްﷲ އެދިވޮޑިގެންވާ ގޮތުގެ ޢަމަލީ ނަމޫނާތަކެއް
common_voice_dv_20086421.wav,126764,ހަމަ އެކަނީ މަރިޔަމްފުޅުގެ އެދުމުގެ މަތިން
common_voice_dv_18586330.wav,253484,ރަސްގެފާނުން އަމަލީ ގޮތުން ހަނގުރާމައެއްގައި ބައިވެރިވެވަޑައި ނުގަންނަވާތާ ދިހަ އަހަރަށް ވުރެ ގިނަވެއްޖެ
common_voice_dv_18584751.wav,172844,ކޮޓަރި ތެރޭގައިވަނީ މަޑު އަލިކަމެއް
common_voice_dv_21130262.wav,318764,އޭނާއާ އެގޮތަށް ބައްދަލުކޮށް ވާހަކަ ދައްކައިނުލެވޭތާ އެއް ދުވަސް ވިޔަސް އަހަރެންގެ ހިތް އާދަޔާ ޚިލާފަށް ނުތަނަވަސްވެ
common_voice_dv_18622881.wav,190508,ތެޅެމުން ފޮޅެމުން ފާޚާނާއިން ނިކުތްއިރު ހަގަޑި ތިރީސް ފަހެއް ވެއްޖެ
common_voice_dv_18622204.wav,169004,ސްޓޯރޭޖް ކޮންޓެއިނަރއެއް ހަދައިދޭނެ ފަރާތެއް ހޯދަން
common_voice_dv_18622878.wav,172844,އެހެނަސް އޭނަ ބޭނުންވީ ސުލްހަވެރި ދާއިމީ ހައްލެއް
common_voice_dv_18622875.wav,126764,މުސާރައާއެކު ޗުއްޓީ ލިބުން ހިމެނޭ ގޮތުން
common_voice_dv_18586332.wav,276524,އައިޝާގެ ހުއްދައާއެކު އެލީޝާ ފުރަތަމަ ފަހަރަށް އެގެއަށް ގެނައި ދުވަސްވެގެން ދިޔައީ ވަރަށް ވެސް އުފާވެރި ދުވަހަކަށް
common_voice_dv_18622203.wav,184364,ބޮންޑްގެ ރޯލަށް އިދްރީސެއް ނޫން، ޖެމީ ބެލްތަ؟
common_voice_dv_18622884.wav,69164,ބަސް ޑްރައިވަރ
common_voice_dv_18622207.wav,178988,ބައެއް ތަކެތި ހަދައިގެން ފޯރުކޮށްދޭނެ ފަރާތެއް ހޯދަން
common_voice_dv_18587173.wav,249644,ބަލަ ހުންނަންވީކީ ނޫން އަންނަންވީ އާމިނާ ބާރުބާރަށް އެހެން ބުނީ އަތުން އައުމަށް އިޝާރާތްކުރަމުން
common_voice_dv_18599281.wav,102188,ޑެލިވަރީ އެސިސްޓެންޓެއް ބޭނުންވެއްޖެ
common_voice_dv_18587171.wav,202028,ސީ ޑޮޓް ކޮމްގައި ޝާޢިޢުކޮށްފައިވާ ޚަބަރަކުން ނަގާފައިވާ މަޢުލޫމާތެއް
common_voice_dv_18587174.wav,157484,އާދިލްގެ ވާހަކަތަކުން އަހަރެން އިތުރަށް މާޔޫސްކުރުވި
common_voice_dv_18580873.wav,213548,އެކަމަކު ދިރިހުރި އިންސާނެއްގެ މަރުގެ ޚަބަރު އިވުނު އެއީ ފުރަތަމަ ފަހަރު
common_voice_dv_18584747.wav,240428,ފިރިހެން ކުދިން އަހަންނާ މައްލަވަކުރަން އަންނަނީ އެހެންވެގެން ކަމަކަށް އަހަންނަކަށް ގަބޫލެއް ނުކުރެވެ
common_voice_dv_18599278.wav,134444,ކޮންސަލްޓެންސީ ފާމެއް ހޯދުމަށް
common_voice_dv_18585448.wav,109868,މީހުން އަބަދުވެސް ބުނާ ވާހަކައެއް އޮންނާނެ
common_voice_dv_18586258.wav,169004,މި ޔުނީފޯމުގެ އެންމެ އެތެރެއިން ލާން ޖެހެނީ ހުދު ގަމީހެއް
common_voice_dv_18585449.wav,132908,ދިރިއުޅުމަކީ އޭގެ ޒާތުގައި އެއްވެސް އެއްޗެއް ނޫން
common_voice_dv_18586260.wav,149804,ތިންގަޑިއިރުގެ ދިގު ދަތުރެއް ނިމި ލޫޝާއަށް މާލެ ދެވިއްޖެ
common_voice_dv_18586261.wav,199724,އަހަރެންނާ ދޭތެރޭ ޝައްކުވަނީތަ؟ ކުއްލިއަކަށް ޒައިހާގެ މޫޑު ބަދަލުވި
common_voice_dv_18587170.wav,226604,ކޮންމެވެސް މުހިންމު ކަމެއް ޖެހުނީމާ ނޫނީ މިހައި ހެދުނަކާ ޒުހާ ފޯނެއް ނުކުރާނެ
common_voice_dv_18580869.wav,175148,ހިނގަމުން ހިނގަމުން ދިޔައީ އެކި ގެތަށް ބަލަމުން
common_voice_dv_18622206.wav,142124,އަބަދުވެސް އިލްހާމް ނިހާދެކެ ފޫހިވެ
common_voice_dv_18585446.wav,145964,މިސާލެއްގެ ގޮތުން ބޮޑުއައްޕަނަކީ އަޅުގަނޑުމެން މިކިޔާ ބޯކިބަލު
common_voice_dv_18599279.wav,199724,މާޒް ގެއަށް ދަންދެންވެސް އައިކާ ހުރީ ޔޫޝައުއާއި ބައްދަލު ނުކުރަން ނިންމައިގެން
common_voice_dv_18587876.wav,255788,ހަމައެއާއެކު ފުރަތަމަ ރައުޔުގެ ޢިލްމުވެރިންގެ ވިދާޅުވުން ރައްކާތެރިކަން ބޮޑުކަމަށްވެސް ފެނެ
common_voice_dv_18580625.wav,140588,އަދަބީ ޖަމުއްޔާތައް ހިންގަވައިފަ
common_voice_dv_18580872.wav,121388,ޓިނު ސަޕްލައިކޮށްދޭނެ ފަރާތެއް ހޯދުމަށް
common_voice_dv_18580620.wav,134444,ފެނުގެ ނިޒާމު ޤާއިމުކުރުން
common_voice_dv_18587874.wav,188204,ހަތަރު ފަރާތްމެ އޮތީ ކަޅުވިލާތަކުން ބައްދާލައިފަ
common_voice_dv_18587878.wav,288044,އެރޭ ގަޑިން ހަތް ޖެހިއިރު ނާސިހާގެ އާއިލާ ދިރިއުޅެމުންދިޔަ ކުޑަ އެޕަރޓްމަންޓްއޮތީ ޒުބީންގެ އެކުވެރިން އައިސް ފުރާލާފަ
common_voice_dv_18592891.wav,309548,އޭރު ތިން ރޭމަތިން ހުސް ދަތުރެއް ކުރަން ޖެހިގެން އައިސްފައިވާ ރުޅިގަނޑު މުޅިން ފިލައިގެން ހިނގައްޖެ
common_voice_dv_19504234.wav,136748,އިޔާން އެހެން އަހުމުން ސަމާ އޭނާއަށް ދިއްކޮށްލީ ފޯނެއް
common_voice_dv_19504236.wav,203564,އެ ދުވަސްވަރު ރީތީގެ މުބާރާތުން މާމައަށް ވަނީ ވަނަވެސް ލިބިފަ
common_voice_dv_18580621.wav,140588,ނަމަވެސް ދޮރުފަތް ހުރީ ތަޅުލާފަ
common_voice_dv_18598909.wav,198188,އިންފޮރމޭޝަން ކޮމިއުނިކޭޝަން ޓެކްނޮލޮޖީ ކޮންސަލްޓަންޓް
common_voice_dv_18592894.wav,195884,މާރިޔާ އެ ގުޅަނީ އޭނާއާމެދު ކަންބޮޑުވާތީކަން އޭނާއަށް އެނގެ
common_voice_dv_18592892.wav,252716,ހަޤީޤީ މިނިވަންކަން ލިބުނުކަމަށް އަހަންނަށް ދެކެވުނީ ސްކޫލްދައުރު ނިމުމުން
common_voice_dv_19504235.wav,107564,ޓޯކަން ދޫކުރާ ގަޑި ބަދަލުވުން
common_voice_dv_18598911.wav,180524,އޭނާ އޭނާގެ މައިންބަފައިންނާ ދެކޮޅަށް އެއްވެސް ކަމެއް ކުރާކަށް ބޭނުމެއް ނުވާނެ
common_voice_dv_18598913.wav,236588,އަހަރެންގެ އިންތިޒާރުގައި ޝާމް ހުރިތަން ފެނުމުން ބީރައްޓެހިކަން ފިލައި ތަނަށް ދިރޭ ގޮތްވެއްޖެ
