wav_filename,wav_filesize,transcript
common_voice_rm-sursilv_20777323.wav,136748,el ei ella buglia tochen schanugl
common_voice_rm-sursilv_20572075.wav,185900,la creaziun da valur daventa pli e pli impurtonta
common_voice_rm-sursilv_20113937.wav,142124,cun el havein nus piars in bien concarstgaun
common_voice_rm-sursilv_20113935.wav,215084,il meinafatschenta dalla uniun dallas pendicularas grischunas ei cuntents
common_voice_rm-sursilv_20560790.wav,161324,la avertura ei gia stada extraordinaria
common_voice_rm-sursilv_21400083.wav,136748,els ein stai cartents
common_voice_rm-sursilv_20113934.wav,185900,las consequenzas sto il pur che cultivescha quellas plauncas purtar
common_voice_rm-sursilv_20567880.wav,208940,il cussegl da scola e la cumissiun da baghegiar daventan organs communals
common_voice_rm-sursilv_20777322.wav,180524,sulettamein la plaunca teissa maunca empau
common_voice_rm-sursilv_20568248.wav,166700,ella seregorda buca pli da siu emprem di da scola
common_voice_rm-sursilv_20572077.wav,218156,lescha e profets vegnan buc annullai tras quella cumplenida
common_voice_rm-sursilv_20692059.wav,212780,ella raquenti bugen e cun entusiassem praulas
common_voice_rm-sursilv_20567881.wav,205868,pader benedetg ha fatg il priedi e benediu ils stabiliments
common_voice_rm-sursilv_20560792.wav,247340,niev cassier dall’uniun da pomicultura surselva ei sigisbert deplazes da glion
common_voice_rm-sursilv_20560791.wav,242732,e quei ch’ei aunc adina actual ei manevrar cun sugas nuvs e carabiners
common_voice_rm-sursilv_20578791.wav,256556,pren immediat naven tiu maun da miu tgil
common_voice_rm-sursilv_20777324.wav,136748,ei dat buc ina obligaziun da cumprar
common_voice_rm-sursilv_20578793.wav,254252,igl ei stau sco sch’in aunghel embratschass mei
common_voice_rm-sursilv_20568251.wav,281900,duei la porta alpina era daventar ina ovra tecnica admirabla dallas proximas generaziuns
common_voice_rm-sursilv_20560788.wav,319532,sco mintg’onn ein ils affons reparti sin famiglias ell’entira surselva
common_voice_rm-sursilv_21400080.wav,217388,ei seigi gleiti tir campester ed el stoppi schubergiar la buis
common_voice_rm-sursilv_20568254.wav,264236,da niev ella suprastonza dalla cumissiun da tgira duei mario lombris da mustér entrar
common_voice_rm-sursilv_20583249.wav,209708,in brat dils indrezs fa senn survescha agl intent e gida a spargnar cuosts
common_voice_rm-sursilv_20583251.wav,103724,il tschaffen ei impressiunonts
common_voice_rm-sursilv_20572073.wav,168236,perplexs da tonta noblezia surprendenta
common_voice_rm-sursilv_20578795.wav,216620,ses sentiments curdavan dad in extrem en l’auter
common_voice_rm-sursilv_20113936.wav,228140,suenter la radunonza communala ha richard hug entschiet a rimnar suttascripziuns encunter il project
common_voice_rm-sursilv_20583252.wav,192044,il provediment electric ei in affar ualti cumplex
common_voice_rm-sursilv_20572076.wav,211244,il viadi dil grischun ell’argovia ei succedius senza gronds incaps
common_voice_rm-sursilv_20568200.wav,196652,ei dependi da differents facturs schebein in credit vegni concedius ni buc
common_voice_rm-sursilv_20578797.wav,229676,che quei ei dapli che mo ina hipotesa muossa il suandont cass
common_voice_rm-sursilv_20566886.wav,159788,la figura la pli enconuschenta senumna «poker»
common_voice_rm-sursilv_20568247.wav,207404,buc adina ha quel che havess giu la sligiaziun era saviu perschuader ses cumpogns
common_voice_rm-sursilv_20568252.wav,145196,ein talas relaziuns da lavur insumma responsablas
common_voice_rm-sursilv_20578792.wav,235820,en claustra ei el daventaus patrun casa
common_voice_rm-sursilv_20567022.wav,225068,ei havevi paucs plazs libers ed aschia seigien ellas sesidas sper el
common_voice_rm-sursilv_20583250.wav,153644,il sulegl fuva gia d’uriala ius da rendiu
common_voice_rm-sursilv_20568250.wav,135212,lein engraziar als sogns per quei interessant relasch
common_voice_rm-sursilv_20567020.wav,92972,oz duess quei esser auter
common_voice_rm-sursilv_20568203.wav,165932,esser moderatur ni commentader seigi ina professiun grondiusa
common_voice_rm-sursilv_20566888.wav,88364,sempel ei quei buc
common_voice_rm-sursilv_21400082.wav,155948,el meina el ord il cuvel e sesa si
common_voice_rm-sursilv_20567662.wav,81452,anzi
common_voice_rm-sursilv_20567820.wav,151340,la sonda mon jeu a concert ella fermata a falera
common_voice_rm-sursilv_20567937.wav,172076,uonn ha la vischnaunca da trun astgau far viseta als songaglies
common_voice_rm-sursilv_20568240.wav,112172,tgi ei la cuolpa che nus essan buca rehs
common_voice_rm-sursilv_20567186.wav,273452,rudolf seeli bertschi era buc in um dalla canera el schazegiava plitost la ruasseivladad
common_voice_rm-sursilv_20583253.wav,92204,vus veis raschun
common_voice_rm-sursilv_20567232.wav,156716,la cunscienzia pretenda sias unfrendas
common_voice_rm-sursilv_20568063.wav,141356,umens giuvens ni forsa era maridai
common_voice_rm-sursilv_20567932.wav,188972,luvrau pitiu has onns e dis has meritau il sogn parvis
common_voice_rm-sursilv_21400078.wav,202028,jeu vi buca murir jeu vi magliar vinavon capuns cun uettas»
common_voice_rm-sursilv_20565963.wav,206636,all’entschatta vegnan treis referents ad introducir la sera
common_voice_rm-sursilv_20567939.wav,216620,tenor cunvegnientscha ha el che fuva dil liechtenstein zuar retschiert il dretg da burgheis
common_voice_rm-sursilv_20567664.wav,167468,era ella populaziun fan ins patratgs pertuccont il rumantsch grischun
common_voice_rm-sursilv_20568066.wav,251948,entras la reorganisaziun dil spital ei la sminuaziun dils letgs per part gia succedida
common_voice_rm-sursilv_20566127.wav,276524,perschuadi era vossas conburgheisas e vos conburgheis dils gronds avantatgs d’ina scola bilingua
common_voice_rm-sursilv_20567759.wav,115244,mo ins stuess far endamen quei a negin
common_voice_rm-sursilv_20565967.wav,106796,ei quei tut
common_voice_rm-sursilv_20568201.wav,175148,igl ieli senoda perquei sin la surfatscha dall’aua e formescha ina cozza
common_voice_rm-sursilv_20567756.wav,211244,igl ei ina fuorma da cultura romontscha vivida tenor interess individuals
common_voice_rm-sursilv_20567598.wav,182060,era ha el refusau certas renfatschas en quei connex
common_voice_rm-sursilv_20568082.wav,188972,quei che pertucca il turissem spitgein nus la collaboraziun da trun turissem
common_voice_rm-sursilv_20566129.wav,159788,malaveglia hagi era il sistem da bullar dau
common_voice_rm-sursilv_20567930.wav,215852,era quellas ein stadas suttamessas ils davos decennis a cuntinuadas midadas
common_voice_rm-sursilv_20577839.wav,267308,sia antecessura surpren ina nova funcziun ella branscha turistica a zug
common_voice_rm-sursilv_20565879.wav,205868,il politicher pensiunau daventa denton buca frustraus e peters
common_voice_rm-sursilv_20566984.wav,175148,lezs han tschentau differentas cundiziuns
common_voice_rm-sursilv_20567229.wav,168236,tgei ch’ei seigi ha la dunna vuliu saver
common_voice_rm-sursilv_20577850.wav,145964,viers notg han els lu bandunau la disco
common_voice_rm-sursilv_20567931.wav,221996,cun aissa han sis participonts demonstrau al publicum ils segls aults ell’aria
common_voice_rm-sursilv_20577840.wav,238124,sonda sera ha quella franc pli gronda uniun da sursaissa salvau sia radunonza generala
common_voice_rm-sursilv_20567757.wav,168236,igl arranschament ei vegnius sustenius finanzialmein da plirs sponsurs
common_voice_rm-sursilv_20577849.wav,274988,quasi adina schabegian las disgrazias deplorablas cun skiunzs ordvart las pistas segiradas
common_voice_rm-sursilv_20566004.wav,162860,aschia era breil e sursaissa
common_voice_rm-sursilv_20566091.wav,238124,il plaid problem deriva dil grec e vul atgnamein gir fierer ni tschentar davon
common_voice_rm-sursilv_20102800.wav,116780,telefonescha a mengia
common_voice_rm-sursilv_20568226.wav,185132,plinavon hallas da commerci e d’agricultura che han stuiu ceder
common_voice_rm-sursilv_20577730.wav,161324,buc auter fuva ei tier il presidi dil cussegl pign
common_voice_rm-sursilv_20102802.wav,130604,ils motivs ein differents
common_voice_rm-sursilv_20577729.wav,165164,e co ins ha per part rimnau suttascripziuns ei fatg da dilletants
common_voice_rm-sursilv_20577851.wav,251948,cheu han ils foresters saviu retrer las plontinas per la regiuvinaziun da lur uauls
common_voice_rm-sursilv_20577728.wav,238124,tuttina fatschentan problems mundials sco uiara e fomaz els
common_voice_rm-sursilv_20567594.wav,239660,igl interess per l’exposiziun a sachseln demuossa denton in tec in auter trend
common_voice_rm-sursilv_20102799.wav,159788,la cultura da vin ei dapi in temps en moda
common_voice_rm-sursilv_20102803.wav,109868,in bragia
common_voice_rm-sursilv_20692016.wav,211244,a tuts donaturs in sincer engraziament
common_voice_rm-sursilv_20572028.wav,104492,semplamein aschia
common_voice_rm-sursilv_20565803.wav,231980,la crusch cotschna grischuna meina sis centers d’ergoterapia el cantun grischun
common_voice_rm-sursilv_20572029.wav,147500,hai smaccau bufatg silla falla e tedlau
common_voice_rm-sursilv_20572031.wav,195116,ils affons ston seconcentrar ins senta denton lur plascher da giugar
common_voice_rm-sursilv_20572032.wav,145196,ina vusch dil tuttafatg conforma a sia natira
common_voice_rm-sursilv_20565839.wav,208940,il viadi dil grischun ella argovia ei succedius senza gronds incaps
common_voice_rm-sursilv_20571568.wav,149804,co duei quei funcziunar concretamein
common_voice_rm-sursilv_20571569.wav,230444,quei sch’il potenzial da scaldar cun lenna vegness nezegiaus optimal
common_voice_rm-sursilv_20577842.wav,194348,lu havein nus era la scolaziun ed educaziun che cuostan enorm bia
common_voice_rm-sursilv_20571643.wav,199724,tuts tschun artists han formau in moviment avantgardist da lur temps
common_voice_rm-sursilv_20594546.wav,173612,il hotel cucagna a mustér ei sut nova direcziun
common_voice_rm-sursilv_20571570.wav,309548,el veva ina buna plema ed ha publicau zacontas lavurs da cuntegn culturhistoric local
common_voice_rm-sursilv_20571572.wav,218156,entochen igl atun vegnent duein las zonas vegnir marcadas
common_voice_rm-sursilv_20577841.wav,149804,ella emprema jamna da settember duess quei esser il cass
common_voice_rm-sursilv_20571640.wav,138284,ei tuna meinsvart schizun euforic
common_voice_rm-sursilv_20571571.wav,205100,la sutgera ei vegnida reconstruida el liug existent
common_voice_rm-sursilv_20612854.wav,141356,mo tuttina eisi stau nuot da far
common_voice_rm-sursilv_20571639.wav,175148,vincent augustin vegn a s’exprimer en caussa
common_voice_rm-sursilv_20572030.wav,159020,ins vegn a far in inventari dalla infrastructura avon maun
common_voice_rm-sursilv_20612971.wav,179756,a degen vegn la tenda gronda da concert a muncar
common_voice_rm-sursilv_20613172.wav,236588,la finamira sociala ei da menar l’agricultura ord sia crisa d’existenza
common_voice_rm-sursilv_20102801.wav,145964,quei leu vess lez saviu schar esser
common_voice_rm-sursilv_20594545.wav,182828,quei ei bunamein ina sfida mirar co ils giuvenils reageschan
common_voice_rm-sursilv_20567954.wav,171308,el center dils products presentai ei la jamna da pista stada
common_voice_rm-sursilv_20634793.wav,201260,la posta electronica funcziuna buca senza el
common_voice_rm-sursilv_20634795.wav,197420,ils effects economics d’ina plazza da golf ein fetg positivs
common_voice_rm-sursilv_20571638.wav,288812,daveras in grond e reh arcun che meritass da vegnir fatgs accessibels alla publicitad
common_voice_rm-sursilv_20571642.wav,188204,mo ina veta da mariu e bab plascheva ad el in quex
common_voice_rm-sursilv_20613173.wav,135980,ei va per ina buna caussa
common_voice_rm-sursilv_20567770.wav,231980,quei diember da skiunzs documentescha la popularitad dalla cuorsa a cuolm sura
common_voice_rm-sursilv_20568114.wav,203564,mo inaga ch’ina purschida ei naven va ei buca tgunsch da refar ella
common_voice_rm-sursilv_20567774.wav,198188,cheutier s’audan acupressura chiropratica nutriment e moviment
common_voice_rm-sursilv_20613169.wav,246572,flexibla ei barbara duque denton mo cun ina buna planisaziun da temps e termins
common_voice_rm-sursilv_20567568.wav,139052,nua ch’ei vegn buca semnau crescha nuot
common_voice_rm-sursilv_21812818.wav,311084,prescripziuns muntien bein ina directiva mo sligien aunc ditg buca tut ils problems
common_voice_rm-sursilv_20567566.wav,105260,has schon giu solver
common_voice_rm-sursilv_20567570.wav,173612,ina metoda da tgira natirala che anfla adina dapli adherents
common_voice_rm-sursilv_20567771.wav,185900,aunc duas jamnas avon il viadi en corea eri sina stauncla e fleivla
common_voice_rm-sursilv_21833226.wav,130604,ins vesa mo las siluettas
common_voice_rm-sursilv_20634796.wav,241964,sil sectur dalla branscha da baghegiar sederasa ina nova tecnica per plattas da betun
common_voice_rm-sursilv_21833311.wav,120620,va per agid alex
common_voice_rm-sursilv_21812979.wav,205100,ad enqualin ei igl emprem gi da recrut vegnius en memoria
common_voice_rm-sursilv_20612852.wav,140588,miu bab ei pli ferms ch’il tiu
common_voice_rm-sursilv_21833305.wav,158252,la quotidiana ei sefermada ella foppa
common_voice_rm-sursilv_20567565.wav,129068,quei cunti taglia nuot
common_voice_rm-sursilv_21833037.wav,103724,e
common_voice_rm-sursilv_20569088.wav,148268,e quels utschals fan momentan bialaura
common_voice_rm-sursilv_21833012.wav,240428,mo entochen campliun eis ei halt in toccun e lu aunc en tala malaura
common_voice_rm-sursilv_21827014.wav,216620,«gratulaziun ti eis stada grondiusa» di el e surri
common_voice_rm-sursilv_20568107.wav,133676,la finamira ei era cheu il brat cultural
common_voice_rm-sursilv_20568105.wav,165164,baselgia veglia bandunada tgi fa da tei persenn
common_voice_rm-sursilv_21833002.wav,195116,cun paucs pass sun jeu pia staus avon la porta scumandada
common_voice_rm-sursilv_20569090.wav,140588,da tuttas sorts peiver freda ei
common_voice_rm-sursilv_20613171.wav,141356,in auter favorit ei ronaldo
common_voice_rm-sursilv_20567773.wav,109868,igl ei in toc divertent
common_voice_rm-sursilv_20568261.wav,85292,il tren ha retard
common_voice_rm-sursilv_21826737.wav,245036,en vesta da tut quei han las autoritads pia buca targlinau ditg
common_voice_rm-sursilv_20569241.wav,193580,dapi tschun onns lavura ella egl uestgiu da paulo alfonso
common_voice_rm-sursilv_20569352.wav,179756,quei ei per nus pli representativ ch’ina retscherca casuala
common_voice_rm-sursilv_20569354.wav,153644,la concurrenza ei vegnida surdada dacuort
common_voice_rm-sursilv_21813034.wav,200492,permiez las palius e tras igl uaul dad ogna
common_voice_rm-sursilv_20569715.wav,159020,tier la magistraglia ha ei dau pintgas mutaziuns
common_voice_rm-sursilv_21833047.wav,252716,l’entschatta settember ei il document «dominus iesus» vegnius publicaus
common_voice_rm-sursilv_20560835.wav,151340,mo prest dev’ei turbulenzas
common_voice_rm-sursilv_20570233.wav,159788,la plievgia ei setenida anavos tochen la dumengia suentermiezgi
common_voice_rm-sursilv_20569355.wav,146732,ed il gat sin tetg casa vegn spuentaus
common_voice_rm-sursilv_20560797.wav,254252,vus veis impundiu a moda exemplarica vies temps liber per ina biala caussa
common_voice_rm-sursilv_20560793.wav,217388,ei drova leutier denton era adina aunc ina purziun cletg
common_voice_rm-sursilv_21833169.wav,185132,en cuort vegn plasch culs maletgs ord il laboratori
common_voice_rm-sursilv_20560832.wav,169004,november ei il meins dallas ustrias serradas
common_voice_rm-sursilv_20560833.wav,246572,finalmein anfla el il tgierp dall’hirundella morts ella neiv
common_voice_rm-sursilv_20560836.wav,251180,avon dertgira nauscha cul scroc smalediu el fiug perpeten cun el
common_voice_rm-sursilv_20577299.wav,132140,ella ei serendida egl asil
common_voice_rm-sursilv_20569285.wav,114476,o nuot jeu vesel nuot
common_voice_rm-sursilv_20569353.wav,181292,questa sera fan els ina introducziun el giug da troccas
common_voice_rm-sursilv_20577300.wav,235052,davos ils mirs segirs dalla ambassada seigien ils guardians lu seperstgisai
common_voice_rm-sursilv_20577056.wav,284204,la suprastonza dil chor fuorman giacun christoffel rita camenisch wellinger ed erwin sac
common_voice_rm-sursilv_20569237.wav,182060,senza ina solia faulda sco fatgas ora cul fier
common_voice_rm-sursilv_20560837.wav,182828,il latg pil caschiel d’alp vegn pli e pli scarts
common_voice_rm-sursilv_20569240.wav,206636,gl’ei puspei vegniu cantau da buna luna e bunamein senza esser staunchels
common_voice_rm-sursilv_20560794.wav,176684,la nova attracziun da flem ha giu effects secundars
common_voice_rm-sursilv_20577054.wav,246572,amiez la punt sesanfla il cunfin denter duas grondas vischnauncas
common_voice_rm-sursilv_20577301.wav,308012,tenor l’inquisiziun ein ils collavuraturs dalla squadra da siglientar seteni vid las prescripziuns
