wav_filename,wav_filesize,transcript
common_voice_ky_18391692.wav,142124,бардыгы мурдагыдай эле болот
common_voice_ky_19921397.wav,171308,сот иштери болгондон кийин иштин жайы ачык жарыяланат
common_voice_ky_20042780.wav,192812,экинчи айда жакшы түшүнүшүп сюжетти кеңири эле чагылдыра баштадым
common_voice_ky_19563612.wav,132908,бул мыйзамга каршы келет — деди амантуров
common_voice_ky_17589356.wav,128300,эртең дагы башка бирөө бул маселе менен алектенет
common_voice_ky_18516738.wav,179756,мэрия мектепти даяр турдө кабыл алган — деди кулматов
common_voice_ky_18160877.wav,172844,бирок ошол сол тарабы иштебей жатат
common_voice_ky_19922641.wav,165164,орус же башка улутундагы адам болсо түшүнмөкмүн — дейт аманбаева
common_voice_ky_17830306.wav,214316,жыйынтыгында сот коргоочу тараптын өтүнүчүн четке какты
common_voice_ky_17936429.wav,109868,нурболоттун энесин таба албай койдук
common_voice_ky_19563615.wav,122924,ал ай сайын жаңыланып турат
common_voice_ky_19864889.wav,133676,учурда депутат убактылуу абакта кармалууда
common_voice_ky_17454364.wav,267308,бул чырдын арты менен темир сариев отставкага кеткен
common_voice_ky_17830308.wav,144428,эч ким жок көрдүңөрбү
common_voice_ky_18150123.wav,153644,пульт менен башкарылган машина жоодардын бешинчи эмгеги
common_voice_ky_18150122.wav,165164,украина жана батыш өлкөлөрү крымдагы референдумду таанышкан эмес
common_voice_ky_19864890.wav,161324,аныкталган факт эч кандай тинтүү жүргүзүлбөгөнүн көрсөтүп турат
common_voice_ky_17963636.wav,117548,далер да ушундай окуяга туш болгон
common_voice_ky_17629702.wav,172844,көлдүн түбү туздан турат
common_voice_ky_17629703.wav,311084,ирак аскерлери мосулга өтө жакын жерге келип калышты
common_voice_ky_18455115.wav,107564,интернеттен заказ кылып койсоң өздөрү алып келип беришет
common_voice_ky_18455199.wav,121388,атамбаев дагы бир жолу кийинки мөөнөткө калбай турганын кайталады
common_voice_ky_17963648.wav,172844,көңүл буруңуздар прокурордук айыптоонун текстине гана
common_voice_ky_18189627.wav,153644,бул тарых музейинде жыл ичинде чыккан экинчи өрт чыгуу
common_voice_ky_17411985.wav,111404,бул биздин конституциялык укугубуз
common_voice_ky_17411988.wav,153644,мен отурган жердин жанынан кичинекей диктофон табылды
common_voice_ky_17435649.wav,140588,ал москвада колго түшүрүлгөн
common_voice_ky_18189628.wav,115244,силерди бүт өлкө көрүп жатпайбы — деди акаев
common_voice_ky_17357951.wav,221228,маморгандын алдында коомдук фонд түзүү — бул туурабы
common_voice_ky_17411987.wav,184364,учурда киришип жаткан сайтым коммерциялык сайт болуп эсептелинет
common_voice_ky_17435650.wav,142124,ага жооп күн батареялары болушу мүмкүн
common_voice_ky_17357949.wav,249644,азыр менин аң сезимимде элестүү президент жашап жатат
common_voice_ky_17890714.wav,155948,мен муну жазган эмесмин
common_voice_ky_18189643.wav,99884,жергиликтүү тургундар аябай меймандос
common_voice_ky_17435653.wav,161324,анан мен ал дарбазаны ичинен ачканымды айттыңыз
common_voice_ky_17357950.wav,140588,бул жылыбыз дагы тарыхый жыл болду
common_voice_ky_17890713.wav,176684,ал ичип келгенде өзүн орой алып жүрчү
common_voice_ky_17890712.wav,198188,рожер менен болгон матчты менин кыялым деп айтса болот
common_voice_ky_18443057.wav,225068,жкккбб азырынча айдоочуларга штраф салбоого макул болду
common_voice_ky_18444601.wav,155948,эми анын кызы расмий түрдө мамлекеттик бала бакчада кезекте турат
common_voice_ky_18448388.wav,112940,эки мүттөн соң ал дагы бир гол киргизди
common_voice_ky_18454383.wav,77612,бир жерине ошну жазса болмок да
common_voice_ky_18444801.wav,169004,аны башкалар сыяктуу эле башкалкага жеткирип келишкен
common_voice_ky_17436477.wav,169004,алардын өздөрүнүн жаңы ойлору пайда болот
common_voice_ky_18140660.wav,88364,ал көп нерсени укту
common_voice_ky_17436478.wav,117548,азырынча камералар сыноо тартибинде иштеп жатат
common_voice_ky_17436475.wav,125228,текшерүүгө эч ким келбейт
common_voice_ky_18140658.wav,149804,биринчи эле чабуул атаандаштын дарбазасын алууга жеткирди
common_voice_ky_17413558.wav,176684,сууга бышкан жумуртканы бир корозго бирден жегизебиз
common_voice_ky_18140659.wav,117548,аны менен эксперттер алектенишет
common_voice_ky_17436474.wav,213548,бирок ошол эле күнү кечинде бизге дагы беш окуучу кайрылган
common_voice_ky_17413561.wav,180524,кыштак памир тракты деп аталган көлдүн чыгыш жээгинде жайгашкан
common_voice_ky_18140656.wav,142124,негизи коалициялык көпчүлүк жакшыраак иштеши керек эле
common_voice_ky_19563802.wav,149804,түзүүчүсү — дмитрий жданов
common_voice_ky_17413559.wav,188204,бизди өлкөдөн чыгарбай интернетибизди тартып алышабы
common_voice_ky_17413565.wav,169004,жүргүнчү ташыган учактын алдыңкы бөлүгүнөн өрт чыкты
common_voice_ky_19563804.wav,178988,чиркөөнүн эшиги бардык каалоочулар үчүн ачык жана кирүү акысыз
common_voice_ky_19563801.wav,152108,акш долларын төлөп берген
common_voice_ky_19563805.wav,138284,биздин эч кандай дооматыбыз жок болчу
common_voice_ky_19729047.wav,202028,документтери толук эмес көйгөйлөрү бар жашоочулар гана калган
common_voice_ky_19570355.wav,244268,сабырова материалда цитата эмес чечмелөө болгон деп түшүндүрдү
common_voice_ky_18771751.wav,217388,исаков өзү козголгон кылмыш ишин таптакыр чектен чыгуу деп атаган
common_voice_ky_18771754.wav,132908,ар кандай балакет менин үстүмө минип алган
common_voice_ky_19570359.wav,169004,себеби аларды убактылуу окутканга алып келдик
common_voice_ky_18771753.wav,195884,ал ошондой эле эльвира усманованы тааный турганын четке кагууда
common_voice_ky_19570363.wav,161324,тергөө абагында оорукана дарыгерлер бар
common_voice_ky_19921713.wav,142124,анын айтымында алар курултайды уюштурууну талкуулашкан
common_voice_ky_19922384.wav,142124,жол тандабасты кураштырууга анын үч ай убакыты кеткен
common_voice_ky_19922029.wav,167468,оштуктар сезондук матчтардын бардыгында утулуу ызасын тартышууда
common_voice_ky_18771752.wav,157484,мындай эреже көп өлкөлөрдө эчак жоюлган
common_voice_ky_17629877.wav,238124,ал өзүн саясий мотивдер менен камакка алынды деп эсептейт
common_voice_ky_17629876.wav,222764,биз сунуштайбыз ал эми туристтер өздөрү бааларга ылайык тандашат
common_voice_ky_19922337.wav,140588,укмк бул маалыматты тастыктады
common_voice_ky_17629874.wav,222764,хенце төрт адамдын өмүрүн сактап калды  — деп билдирди наполис
common_voice_ky_17794621.wav,199724,эми болсо коңшу жашаган эженин баласын багып жүрөм
