wav_filename,wav_filesize,transcript
common_voice_mt_21921959.wav,195116,jekk hemm problema hemm problema u wieħed irid jara kif se jirranġaha
common_voice_mt_21404518.wav,152108,madam speaker jien qed nagħmel appell minn qalbi
common_voice_mt_21533507.wav,146732,niftakruh ix xogħol b'nofs ġimgħa
common_voice_mt_21182005.wav,188204,it tlieta filgħodu ser tiġi ċċelebrata quddiesa fil bażilika ta' san pietru
common_voice_mt_21239953.wav,169772,inti ġej minn familja kattolika oqgħod attent xi tgħid
common_voice_mt_21404519.wav,125228,it tieni mistoqsija hija din
common_voice_mt_21293932.wav,163628,dawn huma ideat żbaljati
common_voice_mt_21181960.wav,152108,għalhekk irrid infakkar x'għamilna
common_voice_mt_21293935.wav,194348,x'se jbiddel mill politika li qiegħda ġġib dawn ir riżultati
common_voice_mt_21346276.wav,113708,għalfejn qed jgħixu
common_voice_mt_21239952.wav,105260,lanqas warden ma jista' jagħmilha
common_voice_mt_21525440.wav,165164,insista li dak li jemmen fih jgħidu mingħajr biża'
common_voice_mt_21204499.wav,186668,kienet diskussjoni prattika franka u mingħajr kantunieri
common_voice_mt_21293936.wav,284204,min ippubblikahom jidher li daħal fl arkivji diġitali tal personalitajiet mingħajr permess
common_voice_mt_21346277.wav,194348,konfront ieħor interessanti kien dak bejn kirkop united u fgura united
common_voice_mt_21293933.wav,202028,pisani rebaħ il finali segwit minn farrugia u delia
common_voice_mt_21204496.wav,221228,nies b'birthmark ħafna drabi jkollhom problemi psikoloġiċi
common_voice_mt_21369434.wav,165164,inti taħdem l enemalta jiena ma naħdimx
common_voice_mt_21174734.wav,195884,l employer għandu l flus u jista' jiftaħ kawża meta jrid
common_voice_mt_21369433.wav,205868,ladarba inti ċittadin malti qed ngħidu li din hija illegali
common_voice_mt_21404521.wav,215084,qal li din hija kwistjoni li għadha qed tinkwieta lill oppożizzjoni
common_voice_mt_21369432.wav,113708,amerikan
common_voice_mt_21369431.wav,149804,lanqas inti m'inti imħallef
common_voice_mt_21181959.wav,142124,din politika jew teatrin
common_voice_mt_21330670.wav,192044,hekk ġara f'tibdiliet profondi tal kostituzzjoni
common_voice_mt_21330672.wav,230444,l akkużi jittrattaw perjodu ta' għaxar snin sas sena li għaddiet
common_voice_mt_21189206.wav,109868,ngħaddu għal stqarrijiet ministerjali
common_voice_mt_21174738.wav,106028,issa hawnhekk ġej l intopp
common_voice_mt_21790954.wav,176684,it tweġiba tiegħu kienet li tweġiba tingħata f'seduta oħra
common_voice_mt_21174742.wav,171308,jgħid li l maltin il ħin kollu jitolbuh ikanta  mamma
common_voice_mt_21194608.wav,117548,jekk għandi nikkumenta bħala chairman
common_voice_mt_21194723.wav,140588,jien kollox milli niftakar qed nitkellem
common_voice_mt_21194602.wav,134444,importanti li x xagħar ikun nadif u niexef
common_voice_mt_21525464.wav,144428,l għalliema tagħna x'direzzjoni se jkunu qegħdin jagħtu f'dan il framework
common_voice_mt_21189207.wav,155948,fosthom kien hawn rappreżentant tal għaqda tal persuni neqsin mid dawl
common_voice_mt_21330671.wav,249644,f'londra bħalissa qed jitlaqqa' summit ta' kumpaniji fil qasam tat teknoloġija
common_voice_mt_21185289.wav,236588,dan wara li tintemm id diskussjoni fil parlament fil ġranet li ġejjin
common_voice_mt_21174600.wav,165164,l inizjattivi fin naħa tal motorsport ukoll ma kenux neqsin
common_voice_mt_21174599.wav,167468,xtaqt nagħmel aċċenn ukoll għall għoti tal mediċini b'xejn
common_voice_mt_21189204.wav,130604,il ħaddiema tagħna kapaċi jagħmlu kollox
common_voice_mt_21171874.wav,178988,komplejna nwieżnu lil dawk li għandhom bżonn il wens u s sedqa
common_voice_mt_21174597.wav,148268,dan wara li abbozz ta' liġi ġie approvat mill parlament
common_voice_mt_21394328.wav,213548,żewġ maħbubin kienu qed jinnamraw bil messaġġi ftit qabel ma kellhom jiltaqgħu
common_voice_mt_21185291.wav,236588,dan mingħajr ma jiġu esklużi l ispeċi tradizzjonali bħall awrat u l ispnott
common_voice_mt_21174602.wav,203564,kumpaniji li jirraportaw b'munita li mhix l ewro ġew konvertiti għall ewro
common_voice_mt_21180679.wav,152108,kif beda l interess tiegħek fl atletika
common_voice_mt_21394331.wav,171308,kellkom tgħidulna wkoll għalfejn qegħdin tneħħu kull klawsola
common_voice_mt_21180677.wav,218924,il pulizija qed tfittex żewġ persuni b'rabta ma' dan id delitt
common_voice_mt_21180681.wav,221228,jiena spjegajt lill komunitajiet maltin li dan il kunsill huwa importanti
common_voice_mt_21368120.wav,255788,isaac kien akkumpanjat mill kowċ tiegħu u missieru alex bezzina
common_voice_mt_21180678.wav,153644,inti staqsejt ukoll jekk iltqajtx mas sajjieda
common_voice_mt_21194601.wav,171308,fl opinjoni tiegħi dak huwa l aktar fattur determinanti
common_voice_mt_21326672.wav,167468,din in naħa tal kamra ma taħdimx b'dak il mod
common_voice_mt_21185287.wav,244268,dan huwa proġett importanti u se nitkellem fuqu aktar ' il quddiem
common_voice_mt_21326671.wav,113708,nibqa' niftakar kull kelma
common_voice_mt_21394322.wav,180524,imma fil preżent dak il mudell m'għadux il mudell predominanti
common_voice_mt_21324265.wav,148268,ħalli nagħtikom eżempju ċar għalfejn qed ngħid hekk
common_voice_mt_21324264.wav,215084,allura għaliex meta jogħġobkom tgħidu hekk u meta ma jogħġobkomx ma tgħidux hekk
common_voice_mt_21324267.wav,102188,din kienet għażla tal gvern
common_voice_mt_21324263.wav,182828,b'hekk it tielet post se jiġi deċiż nhar is sibt li ġej
common_voice_mt_21180680.wav,194348,bħalissa hemm żewġ applikazzjonijiet quddiem il planning authority
common_voice_mt_21327271.wav,167468,jekk fl affermattiv jista' jgħid jekk isirx użu minnhom
common_voice_mt_21326669.wav,236588,x'tip ta' liċenzja toħroġ transport malta għal dawk li huma attendants
common_voice_mt_21327273.wav,102188,bħal qabel x'jiġifieri
common_voice_mt_21174601.wav,115244,dan il każ ġara f'ambjent magħluq
common_voice_mt_21327269.wav,117548,dejjem kien tiegħi d dawl
common_voice_mt_21327270.wav,99884,x'ngħiduhomlu
common_voice_mt_21368117.wav,236588,għandna first aid stocks li tant ikun hemm bżonnhom f'każ ta' emerġenza
common_voice_mt_21185290.wav,298028,saħansitra jgħidulek li f'għodwa ta' ġurnata partikolari raw nugrufun jiksi lill marsa
common_voice_mt_21178133.wav,142124,f'każ li d dipartiment jaħdem fuqhom meta se jsiru
common_voice_mt_21171875.wav,195884,ikolli medja ta' tnejn jew tliet telefonati kuljum
common_voice_mt_21189203.wav,155948,jien wisq nibża' li l oppożizzjoni m'għandhiex pjan fis saħħa
common_voice_mt_21326670.wav,265004,lil hinn mill atletika għandek xi delizzji oħra fil ħajja
common_voice_mt_21327272.wav,129068,ħadna ħsieb lil min għandu l aktar bżonn
common_voice_mt_21185292.wav,182828,kawża tal argument is sewwieq sofra wkoll xi ġrieħi
common_voice_mt_21171873.wav,240428,minkejja dan kollu aħna bqajna nkunu xhieda ta' dan l isfreġju ambjentali
common_voice_mt_21178137.wav,130604,it tfajla waqfet ħesrem u daret
common_voice_mt_21178132.wav,192044,x'għandu miskin dak il kelb
common_voice_mt_21236912.wav,290348,kien jiġri li minflok konna negħrqu fl ilma konna negħrqu fl għaraq
common_voice_mt_21178135.wav,122924,ma nistax niċħadlek id dritt li tinsisti
common_voice_mt_21236916.wav,195884,hekk hu fil fatt dan kien esperiment li rnexxa ħafna
common_voice_mt_21236921.wav,190508,iżda qatt ħsibt li t tiżjin tal milied jista' jkun ta' periklu
common_voice_mt_21372564.wav,199724,jista' l ministru jgħid x'ġie diskuss matul dik il laqgħa
common_voice_mt_21372568.wav,172844,semmejt ukoll l uniformijiet u l inizjattivi sportivi
