wav_filename,wav_filesize,transcript
common_voice_ka_21375204.wav,145964,მას შემდეგ დაიწყო აქტიური იატაკქვეშა ბრძოლა
common_voice_ka_21360499.wav,291884,თუმცა ამას რამდენიმე მომხრე ჰყავდა ხმათა უმრავლესობით ხუანა კვლავ ტორდესილასში დარჩა
common_voice_ka_21806164.wav,130604,იკვებება მოლუსკებით კიბოსნაირებით თევზებით
common_voice_ka_21359244.wav,182828,ნაწარმოების დედააზრი რუსეთის სამთავროთა გაერთიანების იდეაა
common_voice_ka_21360496.wav,303404,ერთსართულიანი ნახევრად მიწური სახლები ნაგებია ქვის მშრალი წყობით გადახურვა ბანური იყო
common_voice_ka_21357388.wav,144428,მონაწილეობას იღებდა მეორე სამნიტურ ომში
common_voice_ka_21359243.wav,145964,ლორდ ჯონმა ამის შემდეგ ისიც შაშხანით მოკლა
common_voice_ka_21356174.wav,102188,ბერლინის სკოლის სტილში
common_voice_ka_21806161.wav,171308,მოქმედებს სამი ცემენტის ქარხანა თურქმენეთში
common_voice_ka_21360498.wav,272684,ავსტრია და შვეიცარია ავტომატურად თამაშობდნენ როგორც მასპინძელი ქვეყნების ნაკრებები
common_voice_ka_21359242.wav,202028,გიორგი შარვაშიძე დასაფლავებულია ლიხნის ტაძარში
common_voice_ka_21359241.wav,144428,ძირითადად იკვებება თოვლის წყლით
common_voice_ka_21357389.wav,234284,ზონაში პირველი ასეთი დაჯგუფება ტერიტორიის შესწავლისა და ანომალური ადგილების აღრიცხვის მიზნით იქნა გაგზავნილი
common_voice_ka_21375205.wav,122924,ეს სახელი ერქვა ერთ ერთ გემს
common_voice_ka_21360495.wav,272684,ერთ ერთი მნიშვნელობაა სათავსი სადაც მდიდარი ოჯახების ქალიშვილები ცხოვრობენ
common_voice_ka_21366084.wav,236588,იგი დარწმუნებულია რომ ვაჟი ქვაში მის პორტრეტს კვეთს
common_voice_ka_21366086.wav,234284,მნიშვნელოვანი სახელმძღვანელო ფორმებია ნავთობისა და გაზის საბადოების დაზვერვისას
common_voice_ka_21931005.wav,219692,ტურისტები ძირითადად ჩამოდიან კანადიდან და დასავლეთ ევროპიდან
common_voice_ka_21357390.wav,290348,რკინის ხანა ბოლო პრინციპული პერიოდია წინაისტორიულ საზოგადოებათა კლასიფიცირების სისტემაში რომელსაც წინ ბრინჯაოს ხანა უძღოდა
common_voice_ka_21375202.wav,171308,შიგადაშიგ მოჩანს ფიქალი
common_voice_ka_21357391.wav,79148,ამ მოვლენის შემდეგ
common_voice_ka_21365370.wav,134444,პატარ პატარა ჯოგებად ცხოვრობს
common_voice_ka_21806165.wav,217388,აბრამსი დაუკავშირდა მირანდას და ორი თვის განმავლობაში ისინი მუშაობდნენ აღნიშნული სცენის თანმხლებ მელოდიაზე
common_voice_ka_21357739.wav,238124,დღეისათვის მონასტერი რუმინელი პილიგრიმების ერთ ერთი მთავარი მოსალოცი ადგილია
common_voice_ka_21365371.wav,234284,სოფელი ნუკრიანი ექვემდებარება საქართველოს საპატრიარქოს ბოდბის ეპარქიას
common_voice_ka_21931008.wav,121388,ეგეოსის ზღვის პორტი
common_voice_ka_21366088.wav,155948,ეს ამ წიგნის რიგით მეხუთე ეკრანიზაციაა
common_voice_ka_21365372.wav,195884,გოკიო მდებარეობს ისტორიულ ჯავახეთში
common_voice_ka_21357741.wav,172844,ჯერარდი აგრეთვე ცნობილია როგორც ფილმების მუსიკის ავტორი
common_voice_ka_21357740.wav,222764,კონგრესებს შორის ფედერაციის საქმიანობას ხელმძღვანელობს აღმასრულებელი კომიტეტი
common_voice_ka_21365373.wav,207404,სასაუბრო დონეზე ფლობს ესპანურ პორტუგალიურ და ინგლისურ ენებს
common_voice_ka_21356737.wav,111404,ის წარმოადგენს გარკვეულ დიალოგს
common_voice_ka_21356698.wav,180524,თუმცა ჟამურის ხეობაში ასეთი სახელის სოფელი არ გვხვდება
common_voice_ka_21931006.wav,154412,მდებარეობს მის ჩრდილოეთ ნაწილში
common_voice_ka_21365374.wav,230444,ბორობუდური ან ტბის ნაპირზე იყო აღმართული ან პირდაპირ მის შუაგულში
common_voice_ka_21356695.wav,257324,იკვებებიან სარეველების თესლითა და მავნე მწერებით რითაც სარგებლობა მოაქვთ ადამიანისათვის
common_voice_ka_21366090.wav,140588,აღსანიშნავია მშენებლობის ტექნიკაც
common_voice_ka_21356696.wav,167468,პოპრადი სარკინიგზო და საავტომობილო გზების კვანძია
