wav_filename,wav_filesize,transcript
common_voice_id_20483313.wav,155948,saya sedang mencari dompet hitam seperti ini
common_voice_id_19376536.wav,99884,jangan tanya aku
common_voice_id_20211965.wav,111404,apakah anda percaya pada tuhan
common_voice_id_20425643.wav,82988,inilah dunia kecil
common_voice_id_19376535.wav,169004,ini yang dilakukan mary untuk hidup
common_voice_id_22185104.wav,63788,nol
common_voice_id_20953397.wav,92204,selamat
common_voice_id_20483314.wav,154412,apakah anda pernah makan serangga
common_voice_id_20211969.wav,207404,anak anak kecil suka dengan buku tentang dinosaurus dan monster
common_voice_id_19424182.wav,176684,itu tadi menarik ya
common_voice_id_21080203.wav,134444,pelayan restoran ini kelihatannya sibuk
common_voice_id_19611909.wav,159020,saya bukan gay tapi pacar saya gay
common_voice_id_20211967.wav,140588,semuanya sedang menunggu guru di kelas
common_voice_id_19611908.wav,102188,tuhan dan iblis itu mengagumkan
common_voice_id_19376538.wav,165164,minggu depan saat saya pergi ke situ saya akan membeli dan membawa minuman
common_voice_id_19773606.wav,126764,awas ada truk lewat
common_voice_id_19611910.wav,139052,karena sakit kepala malam ini saya tidur awal
common_voice_id_19611907.wav,149804,besok saya akan menelepon pak lee
common_voice_id_20483312.wav,303404,aku pernah ingin menjadi seorang astronom fisika
common_voice_id_19376539.wav,171308,sang menteri menolak memberikan wawancara pada wartawan
common_voice_id_19773611.wav,173612,dia berkata pada dirinya sendiri aku pasti bisa
common_voice_id_19773607.wav,94508,kiamat sudah dekat
common_voice_id_19773609.wav,116012,saya pikir itu ide yang bagus
common_voice_id_19597202.wav,143660,tom telah digigit oleh seekor ular
common_voice_id_19597205.wav,146732,tidak semua buku yang di atas meja miliki saya
common_voice_id_19597204.wav,122924,namun akhirnya apa yang kamu lakukan
common_voice_id_20953161.wav,138284,dia terlihat bahagia
common_voice_id_20953154.wav,147500,pengeras suara itu sedang diperbaiki
common_voice_id_19597203.wav,116012,umur dia hampir empat puluh tahun
common_voice_id_20589586.wav,194348,ya sepertinya ada salah diagnosa
common_voice_id_20953361.wav,220460,di kamar saya ada meja tempat tidur televisi dan lain lain
common_voice_id_20953364.wav,122924,tom hampir saja terbunuh
common_voice_id_20589579.wav,171308,tidak tidak pedas
common_voice_id_20287821.wav,112940,pak basri mencintai istrinya
common_voice_id_20589581.wav,175148,dia buru buru pulang dari inggris
common_voice_id_20287823.wav,99884,tom mampu berenang dengan baik
common_voice_id_20287824.wav,106028,bunga bunga ini sudah mati
common_voice_id_19080909.wav,129068,tidak banyak kendaraan yang melintas
common_voice_id_20589584.wav,123692,senin depan libur
common_voice_id_19080910.wav,129068,tiada kata terlambat untuk belajar
common_voice_id_19080912.wav,121388,dia ingin menjadi seorang penyanyi
common_voice_id_20287820.wav,231212,satu hal bagi lelaki yang sudah menikah adalah jangan pernah melupakan hari perayaan pernikahan
common_voice_id_19080911.wav,113708,pulang pergi hanya sekali jalan
common_voice_id_19450101.wav,225068,besok saya bertemu dengan teman di stasiun dan bersama sama pergi ke konser
common_voice_id_19450099.wav,171308,lebih baik aku mati daripada aku pergi
common_voice_id_19080908.wav,111404,aku sedang berbicara dengan muridku
