wav_filename,wav_filesize,transcript
common_voice_lv_20073514.wav,125228,beidz tu ej vidusskolā
common_voice_lv_20186442.wav,194348,kura daļa nogalina cilvēkus tev nav skaidra
common_voice_lv_20063441.wav,175148,mēs iebrūkam izvietojam spridzekļus izkļūstam pirms sprādziena
common_voice_lv_19409371.wav,111404,piedod piedod vai sāp
common_voice_lv_20147791.wav,98348,tur ir sievietes
common_voice_lv_20061596.wav,145964,atkal bija atvests pašdzītais spirts
common_voice_lv_20147793.wav,103724,skaisti vai ne
common_voice_lv_20073516.wav,99884,kareivis es arī
common_voice_lv_20063439.wav,115244,galvenais dziedāt no sirds
common_voice_lv_19412855.wav,180524,tu taču neko neproti
common_voice_lv_19380829.wav,144428,man vēl kaut kas jāizdara
common_voice_lv_20066971.wav,190508,ja viņa ir tik lieliska kāpēc tu ar viņu nesatiecies
common_voice_lv_20147790.wav,129068,nezināju ka tu te strādā
common_voice_lv_19454045.wav,119084,kas tas
common_voice_lv_19380826.wav,75308,vai ne
common_voice_lv_19454044.wav,184364,tajā viesnīcā arī nekā nav
common_voice_lv_20061591.wav,125228,tev pat nav ķermeņa
common_voice_lv_19411143.wav,135980,viņi cērt nost kokus
common_voice_lv_20367363.wav,138284,superforši
common_voice_lv_19549626.wav,78380,varbūt
common_voice_lv_19411145.wav,140588,bet es tevi ienīstu harij
common_voice_lv_20065914.wav,122924,dod man minūti
common_voice_lv_20066972.wav,145964,vai zināt ka tā nav parasta grīda
common_voice_lv_19435239.wav,88364,kurš nāks ar mani
common_voice_lv_20065913.wav,122924,protams ka esmu
common_voice_lv_19549623.wav,76844,taču tad man pielēca
common_voice_lv_19411144.wav,119852,sakod mēli zobos
common_voice_lv_20367365.wav,94508,te nu es esmu
common_voice_lv_20065915.wav,103724,jā tā gan
common_voice_lv_19435237.wav,103724,viņas tur vairs nebūs
common_voice_lv_19277853.wav,111404,domāju ka viņam viss labi
common_voice_lv_20068253.wav,125228,kā to saprast
common_voice_lv_19549622.wav,80684,vēlreiz
common_voice_lv_20073513.wav,80684,ko tu gribi
common_voice_lv_20068256.wav,178988,tieši šeit tajā mājā šajā vietā
common_voice_lv_20068257.wav,211244,ko gan lai vēl pasaku nepieminot tavu māti
common_voice_lv_19397806.wav,84524,es to izdarīju pats
common_voice_lv_19435235.wav,138284,labi tad atdod
common_voice_lv_19397804.wav,88364,viņš ir īsts
