wav_filename,wav_filesize,transcript
common_voice_uk_21349472.wav,106028,взяти ноги на плечі
common_voice_uk_21639338.wav,103724,іде в три дороги
common_voice_uk_21570565.wav,175148,летючий голландець – непосидюча людина а також людина що постійно подорожує
common_voice_uk_21643288.wav,153644,а втiм вiн не дуже сушив собi голову тим клопотом
common_voice_uk_21592580.wav,145964,яз тобою як риба з водою
common_voice_uk_21570564.wav,107564,кожна людина — це неповторний світ
common_voice_uk_22429540.wav,167468,жити наприклад у швеції дійсно дорого
common_voice_uk_21625038.wav,165164,в деяких місцях освітлення відсутнє
common_voice_uk_21625037.wav,199724,поталанило відчути себе мамою
common_voice_uk_21643287.wav,164396,як ся файно зачєло так ся файно й скінчило
common_voice_uk_21342983.wav,195884,відповідно інтенсивність руху поїздів збільшилась
common_voice_uk_20985805.wav,272684,фізична особа має право вільно збирати зберігати використовувати і поширювати інформацію
common_voice_uk_21552603.wav,226604,далі кладемо інгредієнти шарами — вівсянка сирок горіхи
common_voice_uk_22071343.wav,108332,так так саме з вікіпедій
common_voice_uk_21342984.wav,140588,весь час звучить це питання
common_voice_uk_21592578.wav,207404,замість арештованих наразі у майдану нові лідери
common_voice_uk_21552601.wav,261164,так я вважаю що це рішення сьогодні виглядає для людей природньо
common_voice_uk_21570566.wav,117548,одіссея повні пригод блукання подорожі
common_voice_uk_20985809.wav,218924,найдорожче на землі дурість тому що за неї доводиться дуже дорого розплачуватися
common_voice_uk_21592579.wav,182828,часто говоримо що аромати зберігають у собі спогади
common_voice_uk_22071342.wav,166700,у центрі подій її взаємини з пані – аделею
common_voice_uk_20985807.wav,163628,я поїхав фактично відразу ж після політеху
common_voice_uk_21567556.wav,178988,останній каже «та вийду битися тільки із задниці вилізь»
common_voice_uk_22071341.wav,224300,сонце на очi добре немов виправдуючи свою слабiсть часом казав вiн менi
common_voice_uk_21567553.wav,218924,спочатку мусульмани не становили загрози для держав хрестоносців
common_voice_uk_21567554.wav,132908,я не прошу грошей
common_voice_uk_21638455.wav,155948,ніколи завчасно не програмуй своє мислення на негативний результат
common_voice_uk_21552605.wav,165164,поки що я не бачу на виступ з місця не записався ніхто
common_voice_uk_21567866.wav,119084,це наступне питання яке ми будемо розглядати
common_voice_uk_22188449.wav,230444,він доклав великих зусиль спрямованих на відродження та виживання кримського народу
common_voice_uk_22188448.wav,142124,а той внизу біжить додому
common_voice_uk_22188450.wav,218924,президент україни виконує свої повноваження до вступу на пост новообраного президента україни
common_voice_uk_21638457.wav,88364,ви забираєте мій час
common_voice_uk_21638454.wav,184364,метеорологи зазначають що в києві надзвичайно тепла друга половина грудня
common_voice_uk_21566047.wav,182828,так це передбачено і договором і законодавством взагалі
common_voice_uk_21638452.wav,134444,так ми погоджуємося
common_voice_uk_21567868.wav,84524,їв чистій воді не відмиєшся
common_voice_uk_21567863.wav,126764,це приниження гідності киян
common_voice_uk_21222765.wav,153644,я пила би це життя
common_voice_uk_21567864.wav,180524,скільки передбачалося отримати коштів від реклами і продажу комунального майна за цей рік
common_voice_uk_21566050.wav,119084,показали фото з репетиції конкурсу
common_voice_uk_21566051.wav,113708,щось у мене голова в труси падає
common_voice_uk_21222762.wav,193580,і тому на сьогоднішній день питання врегульовано наступним чином
common_voice_uk_21222763.wav,271148,але десь за пів години зрозумів – україномовної бази населених пунктів україни – немає
common_voice_uk_21566046.wav,69164,що це таке робиться
common_voice_uk_21222764.wav,147500,і в ложці води втопити може
common_voice_uk_22216057.wav,142124,тобто це є певна процедура
common_voice_uk_22216064.wav,182828,уже пiдходячи до хати галинки хлопцi роздiлялись на двi партiї
common_voice_uk_21574145.wav,238124,в нас не може бути дискусії
common_voice_uk_22216066.wav,138284,аламаз стійкий до кислот та нагрівання
common_voice_uk_22216058.wav,190508,ніхто з нас у житті не отримує стільки добра скільки заслуговує
common_voice_uk_21564624.wav,255788,рідкість основний фактор у цінності дорогоцінного каменю
common_voice_uk_21574148.wav,172844,нормандський саміт все ще в центрі уваги всіх змі
common_voice_uk_21564625.wav,226604,навіть щодо назв техніки він часто притримується турецького словотвору
common_voice_uk_21343480.wav,241964,величезна перевага екзаменатора полягає в тому що він сидить по кращий бік столу
common_voice_uk_21564627.wav,132908,тобто це питна вода
common_voice_uk_21574147.wav,152108,і тільки після цього мораторій можна знімати
common_voice_uk_21568262.wav,188204,земельне питання і бідність села породжує політичну напругу
common_voice_uk_21568264.wav,194348,і я особисто вважала що робота закінчена де юре і де факто
common_voice_uk_21343481.wav,138284,хотів би у вас запитати
common_voice_uk_21568266.wav,90668,ні не пряма
common_voice_uk_21571147.wav,152108,лікар на квартирі у хворого
common_voice_uk_21571150.wav,140588,цю тему треба опрацювати
common_voice_uk_21564628.wav,194348,іноді самолюбство зірок доходить до критичної позначки
common_voice_uk_21574149.wav,225068,за годину після цієї фотографії настане час х почнемо прорив з оточення
common_voice_uk_21343482.wav,202028,один з дядькiв насунувся на перекинений вiз i не мiг далi йти
common_voice_uk_21343483.wav,199724,і були на нашiй землi пани помiщики та капiталiсти
common_voice_uk_21568263.wav,225068,кирило розробив креслення за ними на київському заводі виготовили апарати
common_voice_uk_21571148.wav,298028,залишається додати що інститути самоврядування були достатньо розвинені також у давній україні
common_voice_uk_21578029.wav,221228,одне з найбільших князівств періоду феодальної роздробленості русі
common_voice_uk_21578025.wav,232748,як завзялись пiймать то чи в яру чи деiнде а все одно пiймають
common_voice_uk_21578026.wav,134444,ще раз усім нагадую
common_voice_uk_21937328.wav,213548,підстави набуття і припинення громадянства україни визначаються законом
common_voice_uk_21937327.wav,199724,буквиця в тексті – кожна стаття починається з буквиці
common_voice_uk_21571151.wav,106028,хочуть вкрасти
common_voice_uk_21578024.wav,163628,про світлі часи зазвичай думають похмуро
common_voice_uk_21937329.wav,245804,іван сказав привіт а маруся подумки зіграла весілля і народила трьох дітей
common_voice_uk_21913475.wav,213548,історичний центр одеси перебуває в попередньому спискові об'єктів світової спадщини юнеско
common_voice_uk_21913479.wav,144428,передбачаються кошти на проведення проектних робіт
common_voice_uk_21570530.wav,148268,вони попросили пари розповісти про їхні відносини
common_voice_uk_21570532.wav,86060,він потрібен
common_voice_uk_21913478.wav,82988,що я маю на увазі
common_voice_uk_21937330.wav,129836,князь вважався сакральною особою
common_voice_uk_20975609.wav,211244,працював ветеринарним лікарем на птахофабриці яка вирощувала бройлерів
common_voice_uk_20975610.wav,119084,хоч би ти йому сказав
common_voice_uk_21570531.wav,176684,держава забезпечує захист конкуренції у підприємницькій діяльності
common_voice_uk_20975611.wav,175916,тобто ви пропонуєте повернутися до цього питання
common_voice_uk_20975613.wav,215084,ім'я потерпілого від правопорушення може бути обнародуване лише за його згодою
common_voice_uk_20975612.wav,208172,добробут і щастя країни з найбільшим населенням у світі залежить від цього
common_voice_uk_21568350.wav,113708,сховатися в мишачій дірці
common_voice_uk_21570529.wav,185132,щоправда тоді інформація про призначення у київ була на рівні чуток
common_voice_uk_21568347.wav,149804,хлопець зробив татуювання з невдалим фото дівчини
common_voice_uk_21792126.wav,146330,решта світу вчилася проводити сучасні кампанії
common_voice_uk_21792127.wav,93666,це наступний слайд
common_voice_uk_21568349.wav,140588,везе з роси й з води і з усякої калабані
common_voice_uk_21792125.wav,214040,ізраїль один із ключових економічних партнерів україни на близькому сході
common_voice_uk_21568348.wav,190508,сани весело неначе бавлячись забiгали то в один бiк то в другий
common_voice_uk_21568346.wav,171308,без роботи і день роком стає
common_voice_uk_21792124.wav,223234,перший і єдиний документ який не лише написаний але й може бути реалізований
common_voice_uk_21573737.wav,237356,що може бути солодше за те коли любить і прагне до тебе добра душа
common_voice_uk_21573739.wav,148268,гордіїв вузол заплутана справа
common_voice_uk_21635608.wav,130604,така файна як з старого перероблена
common_voice_uk_21573738.wav,183596,моя двоюрідна сестра вчить в університеті соціологію
