wav_filename,wav_filesize,transcript
common_voice_tt_21262151.wav,111404,төркемдә хәзер тугызау гына калдык
common_voice_tt_19846482.wav,245804,шунда чак кына очып барганнар иде бакыр сарай турысына килеп җиттеләр
common_voice_tt_20660713.wav,119084,җиде миллион
common_voice_tt_20101163.wav,99884,дүрт сум акчам калган
common_voice_tt_18959342.wav,110636,дәрес зачёт
common_voice_tt_21345337.wav,122924,авызда ботка пешерү
common_voice_tt_17356295.wav,88364,дию патшасы аны сукырайтты
common_voice_tt_21373759.wav,82988,егерме алтынчы декабрьдә
common_voice_tt_21313885.wav,145964,утыз миллион
common_voice_tt_17350071.wav,184364,вәли моны күргәч куанычы эченә сыймый
common_voice_tt_17350069.wav,253484,патша егет өчен дип казыткан базга үзе барып төшә
common_voice_tt_21289705.wav,199724,җиде кат түгел еш кына бер кат үлчәп кисергә дә иренәбез
common_voice_tt_17350070.wav,272684,теге кеше һаман сукасы артыннан бара әйләнеп тә карамады
common_voice_tt_22370396.wav,53804,әйе
common_voice_tt_17356291.wav,149804,алай гынамы
common_voice_tt_22370392.wav,57644,ике
common_voice_tt_17824943.wav,88364,алар сезнең хикәягезне ишетергә тиеш
common_voice_tt_21289701.wav,103724,унбиш миллион
common_voice_tt_18959345.wav,147500,үзенә баш — эшенә баш эшенә баш — кешегә баш
common_voice_tt_18523355.wav,140588,сессияләр арасында өстәмә белем аларга мөмкинлек бирә
common_voice_tt_18523362.wav,167468,кичен бака кычкырса көн җылы була
common_voice_tt_21320945.wav,148268,нүл дисәк дөресрәк булмасмы
common_voice_tt_19450904.wav,194348,бер мең тугыз йөз алтмышынчы ел
common_voice_tt_19450912.wav,125228,унике миллиард
common_voice_tt_20118538.wav,56108,йөз дә өч
common_voice_tt_17343436.wav,180524,слайд күрсәтелә
common_voice_tt_21320960.wav,122924,ике мең җиденче ел
common_voice_tt_17343437.wav,238124,ул җитди һәм сакчыл мөнәсәбәткә лаек һәрьяклап сакланырга һәм үсәргә тиешле зур хәзинә
common_voice_tt_17349543.wav,111404,күтәрелде томаннар
common_voice_tt_17350429.wav,86828,килеп җиттеләр
common_voice_tt_17349542.wav,194348,беренче дәфтәргә теркәлгән
common_voice_tt_17350160.wav,213548,тарихында бер дә тапсыз көзге без
common_voice_tt_17350431.wav,84524,юан агачта оя бар
common_voice_tt_17349062.wav,184364,борынгы заманда булган бер бай
common_voice_tt_17349064.wav,109868,күңелгә рәхәт булып китте
common_voice_tt_20118514.wav,80684,тугыз миллиард
common_voice_tt_17350159.wav,106028,хәзер лаеклы ялда
common_voice_tt_21290888.wav,75308,сигезенче июль
common_voice_tt_21290789.wav,126764,унбишенче январьда
common_voice_tt_17349063.wav,115244,самара шәһәре
common_voice_tt_21290915.wav,130604,бер йөз унбиш
common_voice_tt_17350965.wav,167468,икенче көн төш чагында гына урманнан чыгып бер авылга киткән
common_voice_tt_21355046.wav,111404,кырык тапкыр үлчәдем инде
common_voice_tt_17350966.wav,84524,бу начар түгел
common_voice_tt_17350967.wav,84524,бигрәк тә безнең илдә
common_voice_tt_21355105.wav,109868,ай һәм йолдызлар
common_voice_tt_21211266.wav,91436,тугызынчы август
common_voice_tt_21367097.wav,90668,унар була инде
common_voice_tt_21211267.wav,79916,алты йөз
common_voice_tt_21211611.wav,86828,агач утырттык
common_voice_tt_17705199.wav,76844,тарихи роман
common_voice_tt_17342686.wav,145196,бәйрәмгә әзерлек бер ай алдан башланды
common_voice_tt_17705200.wav,89900,моңар да сәлам бирәләр
common_voice_tt_17342687.wav,91436,россия көне белән
common_voice_tt_21264716.wav,111404,җиде йөз
common_voice_tt_17705196.wav,125228,ахыры киләсе санда
common_voice_tt_21264918.wav,102188,йөз мең
common_voice_tt_17705198.wav,68396,рәхмәт яусын
common_voice_tt_21264804.wav,136748,әйтер сүзең бармы
common_voice_tt_21264919.wav,155948,җыелышка сигезәү килделәр
common_voice_tt_17342688.wav,112172,моның сәбәпләре күптөрле
common_voice_tt_18918452.wav,130604,җырламас идем сабантуе җырлата
common_voice_tt_18918453.wav,228908,алар иң борынгы ягъни исламга кадәрге мәдәни мирасыбызның асыл өлеше булып санала
common_voice_tt_18918450.wav,125228,азнакай шәһәре
common_voice_tt_17590408.wav,165164,без кертмәдек анда ятларны
common_voice_tt_18918454.wav,84524,йөрәккә кабу
common_voice_tt_17590404.wav,190508,соңгы патроны белән теге әйберне аяктан аударды
common_voice_tt_17590447.wav,313388,бер атадан һәм анадан булуларына карамастан аллаһы тәгалә аларны төрле төрле итте
common_voice_tt_18918451.wav,245804,ахыр чиктә героебыз түзми җырлаучының янына ук бара һәм көйнең исемен сорый
common_voice_tt_17590421.wav,132908,җылы яктан кошлар кайтканда
common_voice_tt_18042005.wav,102188,ак бүрегем сандыкта
common_voice_tt_18042006.wav,140588,бәләбәйдә татар гимназиясе бар
common_voice_tt_17433312.wav,255788,шулай булып чыга да
common_voice_tt_18042004.wav,195884,реконструкция вакыты күпмегә сузыласы әле билгеле түгел
common_voice_tt_17590435.wav,119084,нәрсәдә икән сәбәп
common_voice_tt_18042007.wav,203564,өеңдәге хәбәрне күршедән күршеңдәге хәбәрне күрше авылдан сораш
common_voice_tt_18042003.wav,107564,күке бала чыгармый
common_voice_tt_17433313.wav,215084,болар тузан туздырып дөнья җимереп китәләр хәзер
common_voice_tt_17589575.wav,96044,кияүгә чыктым
common_voice_tt_17433314.wav,132908,күз саламын халкыма
common_voice_tt_17433316.wav,103724,исе дә китми
common_voice_tt_17589574.wav,190508,патша малае шул күлләрне эзләргә чыгып китә
common_voice_tt_17433315.wav,122924,бу сарайда берәү дә калмады
common_voice_tt_17564702.wav,148268,гарасат мәйданында аяклар сызламасын өчен нәрсә эшләргә кирәк
common_voice_tt_17589576.wav,109868,йорт тотмас дип җавап биргән
common_voice_tt_17564701.wav,56108,без аптырап калдык
common_voice_tt_17589573.wav,192812,кочаклашып күрешәләр елашалар шатлыктан
common_voice_tt_17564704.wav,217388,әмма большевистик режим вакытында безнең әдәбиятта ханбикә турында бер генә әсәр дә дөнья күрмәде
common_voice_tt_17564703.wav,109868,кадерле хатын кызлар
common_voice_tt_17564700.wav,58412,керү бушлай
common_voice_tt_17589577.wav,155180,мин казаннан әүвәл язганча бик разый
common_voice_tt_17881096.wav,79148,себереп тә чыгардым
common_voice_tt_17881095.wav,130604,рәзифне урап алган кешеләр күп
common_voice_tt_17400153.wav,155948,патшаның уртанчы малае тормакчы булды
common_voice_tt_17400154.wav,268844,кыз мунчага барса анда кулаша тулы алтын көмеш энҗе мәрҗән кыйммәтле ташлар
common_voice_tt_17881094.wav,145964,суга алмаган зур күтәрер
common_voice_tt_17400155.wav,84524,алар белән нишләргә
common_voice_tt_17881097.wav,88364,телеңне йоттыңмы әллә
common_voice_tt_17400157.wav,176684,шуннан муллалар чакыртып тотыналар туй ясарга
common_voice_tt_17400156.wav,149804,суда балыклар һәм су кошлары гына яшәгәннәр
common_voice_tt_17881098.wav,80684,дәреснең максаты
common_voice_tt_17703335.wav,119084,бу кафедра факультетта иң яше
common_voice_tt_17703332.wav,161324,бөтен тирә якта пәриләр җеннәр еланнар сызгыра ыжылдый
common_voice_tt_18280314.wav,173612,ташны таш белән ваталар тимерне тимер белән игиләр
common_voice_tt_18280315.wav,96812,оятсызга өч күмәч
common_voice_tt_18280317.wav,175916,аның канында зурлык тирә яктан өстенлек һәвәсе кайный
common_voice_tt_17748677.wav,194348,талантның бер өлеше тумыштан тугыз өлеше тырышлыктан
common_voice_tt_18280318.wav,108332,кемнән нәрсә өмет итәсең соң
common_voice_tt_17748679.wav,134444,авыру медсестрага исе китеп карап торды
common_voice_tt_17703334.wav,217388,корылма механикасы фәне буенча русча һәм татарча лекцияләр укый гамәли дәресләр алып бара
common_voice_tt_17748676.wav,215084,алар бер карауда ук аның җанлы кеше икәнен аңлап ала
common_voice_tt_18019276.wav,126764,йолдызлар күктә хисләр күңелдә кабына
common_voice_tt_17748678.wav,148268,ике тинтәк илгә сыймас
common_voice_tt_17748680.wav,157484,акыл — алтын таҗ һәркемнең дә башында булмый
common_voice_tt_18280316.wav,86828,син дә белмисең икән
common_voice_tt_18019279.wav,213548,алай гына түгел комсомол шәһәрендә мәчетнең җирдән түбән каты төзелеп бетте
common_voice_tt_18019287.wav,61484,ярый әле энем бар
common_voice_tt_18019286.wav,125228,сакал агармый акыл керми
common_voice_tt_18019288.wav,155948,гореф гадәтен динен телен саклаган халыкка бетү янамый
common_voice_tt_17616609.wav,145964,бәлкем аның мөмкинлеге булмагандыр
common_voice_tt_17616612.wav,102188,хөрмәтле укытучыларыбыз
common_voice_tt_17616613.wav,79148,ә бу вакытта
common_voice_tt_17666910.wav,130604,бер тимер сарайга ябып куя боларны
common_voice_tt_17666913.wav,92204,караңгы төшеп килә
common_voice_tt_17666912.wav,96044,ул чагында
common_voice_tt_17349680.wav,186668,көн эчәләр төн эчәләр атна буе туй ясыйлар
common_voice_tt_17616611.wav,82988,җырлыйк әле
common_voice_tt_17616610.wav,113708,шәһәргә керергә кич була
common_voice_tt_17349684.wav,126764,юнәлделәр капчыклары эченә салып
common_voice_tt_17666911.wav,92204,ансыз булмый
common_voice_tt_17349683.wav,113708,иртәгәдән башлап вәли кырыр ди
common_voice_tt_18864587.wav,192044,авыз күрке тел телнең күрке сүз
common_voice_tt_17349681.wav,222764,салкынга түз
common_voice_tt_17349679.wav,205868,патшаның өлкән улы әлбәттә моны танымады
common_voice_tt_18864590.wav,165164,авырлыклар шөкер күп күрмәдем
common_voice_tt_18864588.wav,213548,укыган ил узар укымаган ил тузар
common_voice_tt_17349957.wav,221228,халкыбыз мәүлид аен бик борынгыдан ук ай буе хөрмәтләгән
common_voice_tt_18864591.wav,165164,хәзер тикшерү эшләре бара
common_voice_tt_17666909.wav,142124,өметләр акланмады
common_voice_tt_18864589.wav,159788,әй йөрәгем түземле бул
common_voice_tt_17349981.wav,148268,әмма озакка түгел
common_voice_tt_17349982.wav,148268,ул да яшь чагында шигырьләр язган
common_voice_tt_17349959.wav,236588,сезне яз һәм хезмәт бәйрәме белән чын күңелдән тәбрик итәм
common_voice_tt_17349983.wav,157484,егет кешегә җитмеш төрле һөнәр дә аз
