wav_filename,wav_filesize,transcript
common_voice_sl_20181050.wav,99116,enostavno ne vem kaj naj
common_voice_sl_19346859.wav,82988,ne pa nimata
common_voice_sl_20323489.wav,121388,torej je tukaj zate še ena cvetka
common_voice_sl_18570342.wav,122924,prazni sodi so najbolj hrupni
common_voice_sl_19675139.wav,112172,ja zakaj pa ne
common_voice_sl_18257887.wav,175916,v vladarjevi navzočnosti je tudi najduhovitejši šaljivec nem
common_voice_sl_22419720.wav,116012,imam diplomo in dva doktorata
common_voice_sl_19678063.wav,109100,torej sva zmenjena
common_voice_sl_22081241.wav,107564,danes si pa res tečen
common_voice_sl_18176427.wav,144428,ta akt pomeni da je igre konec
common_voice_sl_19378107.wav,94508,vedno me žgečka ko me objame
common_voice_sl_18177874.wav,165164,še tako dolga pot se začne s prvim korakom
common_voice_sl_18177875.wav,145964,v jezeru so našli potapljača
common_voice_sl_18361400.wav,92204,potem se je vstal in odšel
common_voice_sl_18261166.wav,144428,stresite si prah iz čevljev tujec
common_voice_sl_20243716.wav,87596,saj veš kaj to pomeni kajneda
common_voice_sl_18177872.wav,232748,kdor se hoče povzpeti na drevo začne spodaj ne pri vrhu
common_voice_sl_17633347.wav,89900,ja tako sem tudi razmišljal
common_voice_sl_18261170.wav,144428,dokler je rosa reže sama kosa
common_voice_sl_18368021.wav,103724,spal sem na delu
common_voice_sl_18907502.wav,140588,v sodu vina se skriva kup čudes
common_voice_sl_18334546.wav,109868,očitno ni poslušala
common_voice_sl_18907499.wav,198188,norec pelje modri človek potuje
common_voice_sl_18368018.wav,153644,on ni utegnil premišljati o tem
common_voice_sl_17794341.wav,139820,zdrav hiti h grobu bolni od njega beži
common_voice_sl_20184628.wav,115244,ali lahko že enkrat vstopimo
common_voice_sl_17487679.wav,71468,transakcija je že potekla
common_voice_sl_20978028.wav,102956,to pa nima nobenega smisla
common_voice_sl_20978018.wav,118316,dokazujem da je tako bolje
common_voice_sl_17487678.wav,94508,pritisnite na pedal z levo nogo
common_voice_sl_20184657.wav,109100,to ni bila moja mačka
common_voice_sl_20184630.wav,102956,nekaj te moram vprašati
common_voice_sl_18334532.wav,106028,več časa živite več vidite
common_voice_sl_18907503.wav,103724,počakaj minuto
common_voice_sl_18368017.wav,130604,toliko bolje
common_voice_sl_17487677.wav,90668,za vas je branje res nesmisel
common_voice_sl_18176425.wav,152108,glava se hitreje strga kot noge
common_voice_sl_17794339.wav,39980,ali ni tako
common_voice_sl_17794342.wav,66860,kje je moj čevelj
common_voice_sl_20184658.wav,97580,ne nabijaj nam pod nos
common_voice_sl_18109580.wav,98348,kako dolgo boš odsoten
common_voice_sl_18001237.wav,194348,ni bilo smiselno
common_voice_sl_17487680.wav,76844,starec je kar pustil knjigo
common_voice_sl_19378106.wav,92204,sheldon rotim te
common_voice_sl_18109578.wav,151340,njegova internetna povezava je bila prepočasna
common_voice_sl_18109581.wav,98348,žal mi je zaradi tega
common_voice_sl_20977816.wav,117548,koliko bolj neviden pa sem lahko
common_voice_sl_18001238.wav,121388,zakaj to spet počnemo
common_voice_sl_18109577.wav,134444,trava in grmovje sta bila mokra
common_voice_sl_17368793.wav,165164,jeza in sovraštvo ovirajo dobro svetovanje
common_voice_sl_18393268.wav,149036,zakaj mi nisi povedal tega prej
common_voice_sl_17868705.wav,156716,lakomnemu vedno nekaj manjka
common_voice_sl_17368794.wav,137516,dekle je nosila sijajne hlačne nogavice
common_voice_sl_17368796.wav,110636,ene pesmi so peli na vsaki zabavi
common_voice_sl_17368797.wav,155948,ljubezen in sovraštvo sta človeški čustvi
common_voice_sl_17368795.wav,96812,med tatovi ni nobene časti
common_voice_sl_19051054.wav,160556,zora me lahko naučiš jodlati
common_voice_sl_19051055.wav,127532,vsi so dobri
common_voice_sl_17868704.wav,86060,kakšen čudovit dan
common_voice_sl_18393249.wav,180524,oh v redu vidim
common_voice_sl_18393250.wav,112940,kako to misliš
common_voice_sl_18001241.wav,110636,si videl moj usb ključ
common_voice_sl_19051059.wav,166700,praproti rastejo na visokih skalah
common_voice_sl_17868706.wav,99884,čutim ostro bolečino v levi roki
common_voice_sl_19051056.wav,182828,vsako delo brez zabave je dolgočasno
common_voice_sl_18001239.wav,134444,vino ni dobro za želodec
common_voice_sl_18258554.wav,129068,dolga ljubezen redko na hitro umre
common_voice_sl_18258557.wav,131372,ne poskušaj leteti dokler ti ne zrastejo krila
common_voice_sl_19051057.wav,149804,tako je rekel župan in vstal
common_voice_sl_17868703.wav,168236,čisti vrat pomeni čeden ovratnik
