wav_filename,wav_filesize,transcript
common_voice_cv_18231682.wav,145964,кун хыҫҫӑн ҫак шӗвеке сутма чарнӑ
common_voice_cv_20975245.wav,244268,арҫын тӗксӗм хӑмӑр сӑран куртка хура шӑлавар хура пушмак тӑхӑннӑ
common_voice_cv_20975244.wav,182060,ӑна итлесшӗн те пулмарӑм сӑмахӗсене хӑлхана чикмерӗм
common_voice_cv_18029088.wav,291884,унӑн телефонӗ хаш чухне сӳннӗ тепӗр чухне вӑл ӑна тытмасть
common_voice_cv_18044163.wav,172844,иккӗшӗнче те пушар сӑлтавӗ — мунча
common_voice_cv_17656099.wav,145964,прокуратура «сад» хуҫалӑх тӗлӗшпе суда тавӑҫ тӑратнӑ
common_voice_cv_17878112.wav,255788,халӑх фрончӗн хастарӗсене ҫул проекчӗ уйрӑмах тӗлӗнтернӗ
common_voice_cv_18039697.wav,128300,хӑнасем культурӑсем хушшинчи диалог текен мероприятие хутшӑннӑ
common_voice_cv_17343939.wav,195884,ҫырура хамӑр историе ракурс тумасан ҫыру витӗмлӗ пулмасть
common_voice_cv_17431947.wav,294188,вӗсене ҫынна асӑрханмасӑр вилӗм кӳнӗшӗн айӑпланӑ
common_voice_cv_17878111.wav,157484,ҫӗнӗ шупашкарта пурӑнакан илюхинсен каллех йӗкӗреш ҫуралнӑ
common_voice_cv_17656100.wav,199724,эпӗ ют чӗлхесене вӗренме кӑмӑллатӑп «маленький принц» кӗнеке питӗ килӗшет
common_voice_cv_17431648.wav,194348,вӗсене кашни ҫулах ӑсатса кӗтсе илеҫҫӗ
common_voice_cv_17343937.wav,215084,юнашар класра физика учителӗ икӗ ачапа пӗрле кино кӑтартма хатӗрленнӗ
common_voice_cv_17343938.wav,171308,ҫак лару тӑрура пирӗн сӑмах ҫирӗп пулмалла
common_voice_cv_17431884.wav,119084,вӑл снайпер разведчик пулнӑ
common_voice_cv_17431649.wav,284204,унта вӑл раҫҫейӗн допингла хирӗҫ агентствин пресс служби пӗлтернине асӑннӑ
common_voice_cv_18074019.wav,145964,леонид петров вырӑна тухса репортаж ӳкернӗ
