wav_filename,wav_filesize,transcript
common_voice_fy-NL_21508560.wav,142124,ofstjoerder antwurd jaan
common_voice_fy-NL_20986804.wav,164396,ik wol in rûtebeskriuwing fan genk nei amsterdam
common_voice_fy-NL_21413544.wav,166700,men skat dat der nochris twa hûndert arbeidsplakken by komme sille
common_voice_fy-NL_21511566.wav,209708,fan de twa miljard dy't útliend is sit ien miljard ûnder de fryske boeren
common_voice_fy-NL_21413091.wav,207404,ik frege my ôf oft de wekker no wol of net gien wie
common_voice_fy-NL_21413543.wav,100652,ik bin net bekend yn dizze stêd
common_voice_fy-NL_21428386.wav,195884,germ komt oer om mei harren yn harren hotel yn amsterdam te iten
common_voice_fy-NL_21441753.wav,241964,under dy barre en risikofolle tochten hie hja in revolver by har
common_voice_fy-NL_21514801.wav,94508,ynstellings
common_voice_fy-NL_21514934.wav,106028,alle hûnen binne trou
common_voice_fy-NL_21506819.wav,278828,in hurdrinner sjocht it net en in sunichrinner tinkt der net om
common_voice_fy-NL_21461059.wav,90668,alles gong heel hurd
common_voice_fy-NL_21512197.wav,188204,troch in klapbân rekke de man de macht oer it stjoer kwyt
common_voice_fy-NL_21507575.wav,122924,ja ik bin it der folslein mei iens hear
common_voice_fy-NL_21510797.wav,138284,de krûk giet sa lang te wetter oant er de hals brekt
common_voice_fy-NL_21507480.wav,99116,ik folge myn ynstinkt as sjoernalist
common_voice_fy-NL_21411800.wav,126764,ik lei hast bûten board
common_voice_fy-NL_21508835.wav,133676,fryslân is it lân fan de wettersport
common_voice_fy-NL_21510836.wav,148268,de grutte ring is makke fan sulver en goudtried
common_voice_fy-NL_21452106.wav,122924,folgjende ôfspylje
common_voice_fy-NL_21116795.wav,119084,elke plant hat in minimum oan rûmte nedich
common_voice_fy-NL_21428384.wav,140588,nimme jim freonen ek rys mei hin
common_voice_fy-NL_21413092.wav,192044,de wiken hjirnei besykje wy noch in pear stêden en gemeenten
common_voice_fy-NL_21434349.wav,203564,hy waard útmakke foar dom in ûnferstân in ienfâldigen ien
common_voice_fy-NL_21452121.wav,181292,it fjurwurk wie nei alle gedachten bedoeld foar de hannel
common_voice_fy-NL_21452118.wav,139820,tink derom in auto
common_voice_fy-NL_21432754.wav,140588,tsjin de wand hinget in poster fan in sinne opgong
common_voice_fy-NL_21461060.wav,96044,gean nei hús
common_voice_fy-NL_21429691.wav,138284,dat mien ik echt
common_voice_fy-NL_21116794.wav,88364,wat dochsto
common_voice_fy-NL_21451938.wav,134444,yn de rin fan de tiid is dat feroare
common_voice_fy-NL_21486862.wav,153644,hy is maklik werom te kennen oan syn rûch bosk hier
common_voice_fy-NL_21432154.wav,129068,ik mocht eartiids nea allinne út
common_voice_fy-NL_21486859.wav,119084,krije we rein
common_voice_fy-NL_21486858.wav,134444,ik tink dat hij sawat wol miljonêr is
