wav_filename,wav_filesize,transcript
common_voice_ro_20821552.wav,109868,cred că pentru noi este o poziţie onorabilă
common_voice_ro_21033435.wav,96044,o să vă dau doar două motive
common_voice_ro_21033436.wav,142124,conducătorul cel bun e cel care nu se vede
common_voice_ro_21279317.wav,164396,nigeria trebuie să facă patru lucruri
common_voice_ro_20964750.wav,149804,când oare am decis să facem acest lucru
common_voice_ro_21033437.wav,138284,desigur până acum nimic nu este nou
common_voice_ro_21279319.wav,136748,un acord este un lucru bun
common_voice_ro_21279318.wav,190508,fiecare clasă are dulăpioare pentru elevi calculatoare și televizoare
common_voice_ro_20367323.wav,184364,facilitarea vizelor este legată de readmitere
common_voice_ro_20865076.wav,209708,dacă acestea există care ar putea fi ele
common_voice_ro_21033438.wav,149804,am văzut și meciurile stelei în liga campionilor
common_voice_ro_20964752.wav,115244,regret că acest lucru nu a fost posibil
common_voice_ro_20367321.wav,144428,ce mai aşteptăm pentru a l adopta
common_voice_ro_20865079.wav,181292,de asemenea am furnizat stimulente comerciale
common_voice_ro_20718588.wav,142124,subiectul erorii umane este acoperit în întregime
common_voice_ro_20367325.wav,190508,este violenţă structurală şi o problemă socială
common_voice_ro_20964753.wav,115244,nu a avut loc nicio negociere
common_voice_ro_21279315.wav,198188,aceasta este prin urmare o schimbare profundă
common_voice_ro_20718586.wav,134444,o serie de studii au arătat acest lucru
common_voice_ro_20865077.wav,166700,cred că aceasta este o propunere foarte echilibrată
common_voice_ro_20964751.wav,119084,voi reveni imediat la acest aspect
common_voice_ro_20349612.wav,90668,de ce avem nevoie de promovări costisitoare
common_voice_ro_20349611.wav,122924,noi trebuie să luptăm pentru locuri fruntașe în clasament
common_voice_ro_20718590.wav,144428,sistemele de pensii ţin de competenţa statelor membre
common_voice_ro_20718587.wav,134444,riscul unui decalaj mare este destul de real
common_voice_ro_20367324.wav,192044,aş dori să închei cu două observaţii concludente
common_voice_ro_20349613.wav,99884,consider că este o problemă foarte importantă
common_voice_ro_20349610.wav,121388,în acest mediu carmen a lucrat cu foarte multe țări
common_voice_ro_20531276.wav,222764,acest criteriu nu este opozabil celui al competenței
common_voice_ro_21871850.wav,144428,preţurile cerealelor erau scăzute în trecut
common_voice_ro_21871847.wav,148268,frica are mai multă imaginaţie decât curajul
common_voice_ro_21871849.wav,153644,suntem cu toţii desigur împotriva discriminării
common_voice_ro_21871848.wav,145964,industria maritimă nu pare dispusă să acționeze
common_voice_ro_20718589.wav,140588,multe dintre detalii au fost reorganizate
common_voice_ro_21279364.wav,132908,cum se realizează această unitate de opinii
common_voice_ro_21279361.wav,126764,aș putea continua cu o listă lungă
common_voice_ro_21279363.wav,138284,care sunt termenele limită în acel caz
common_voice_ro_20531273.wav,169772,de mult timp nu mai joacă acest rol
common_voice_ro_21871846.wav,121388,cu toate acestea avem patru limite
common_voice_ro_21279316.wav,159020,sugerez să luăm în considerare acest lucru
common_voice_ro_21279360.wav,169004,unele au fost pentru altele împotrivă
common_voice_ro_21279362.wav,148268,aceasta este și opinia guvernului portughez
common_voice_ro_20677211.wav,264236,cum poate fi realizat acest lucru
common_voice_ro_20531271.wav,136748,prin urmare voi vorbi despre criza morală
common_voice_ro_20349609.wav,109868,acesta este doar praf în ochi
common_voice_ro_20677213.wav,184364,nu putem utiliza o politică universal valabilă
common_voice_ro_20367322.wav,155948,dacă nu nu vom fi luaţi în serios
common_voice_ro_20385085.wav,142124,asta aşteaptă cetăţenii obişnuiţi de la noi
common_voice_ro_20379384.wav,121388,este important să subliniem acest lucru
common_voice_ro_20379383.wav,184364,numai încercînd a face foarte bine poţi nimeri uneori binişor
common_voice_ro_20677214.wav,168236,acum nici măcar cerul nu mai este limita
common_voice_ro_20531274.wav,158252,este o problemă reală și serioasă
common_voice_ro_21397423.wav,150572,acest lucru vă va ajuta să fiţi eficientă
common_voice_ro_21397636.wav,139820,poporul iranian nu merită cu nimic mai puţin
common_voice_ro_20379369.wav,144428,ar trebui să preluăm inițiativa în acea privință
common_voice_ro_20379370.wav,186668,oamenii dobândesc cunoştinţe proporţional cu curiozitatea lor
common_voice_ro_21397623.wav,127532,am putea pune capăt atâtor suferinţe
common_voice_ro_20379385.wav,125228,dar cum rămâne cu sectorul transporturilor publice
common_voice_ro_20677215.wav,172076,de aceea susţin cu convingere prezentul raport
common_voice_ro_20677212.wav,191276,câțiva dintre dvs ați menționat problema macroului
common_voice_ro_21397634.wav,136748,atât întrebarea cât şi preocupările sunt legitime
common_voice_ro_21397631.wav,151340,poate vor veni meciuri când o să îi intre și lui
common_voice_ro_20865080.wav,156716,al doilea comentariu se referă la participare
common_voice_ro_20374088.wav,119084,ar trebui să facem mai mult
common_voice_ro_20531272.wav,163628,unul se referă la protecţia împotriva hărţuirii
common_voice_ro_21397673.wav,119084,spaţiul aerian este ori sigur ori nesigur
common_voice_ro_20385084.wav,129068,acesta este punctul meu de pornire
common_voice_ro_20385086.wav,155948,ideea este bună dar trebuie cizelată
common_voice_ro_20374142.wav,142124,criza va fi în continuare aici
common_voice_ro_20379382.wav,148268,aș dori să îi amintesc acest lucru
common_voice_ro_20374089.wav,195884,optzeci și șase de persoane au fost legitimate
common_voice_ro_20679997.wav,126764,sunt de acord cu efectuarea testelor de rezistență
common_voice_ro_20374141.wav,132908,este regretabil dar aceasta este situaţia
common_voice_ro_20374086.wav,190508,a provocat frica în rândul oamenilor
common_voice_ro_20374085.wav,155948,acest compromis ţine cont de temerile lor
common_voice_ro_20385088.wav,132908,doar cei disperaţi merg în străinătate
common_voice_ro_20374087.wav,161324,cei buni sunt victimele celor răi
common_voice_ro_20679993.wav,126764,cu siguranța nu este pentru prima data
common_voice_ro_20385087.wav,122924,este bine că s a ajuns la un acord
common_voice_ro_21397425.wav,118316,probabil vreo unu zero unu doi
common_voice_ro_20374139.wav,194348,judecătorii vor continua protestele până la cinci octombrie
common_voice_ro_20385820.wav,188204,astfel măcar am aborda problema în mod corespunzător
