wav_filename,wav_filesize,transcript
common_voice_mn_18971635.wav,317228,нөөц болон бүтээгдэхүүний тусгаарлалт нь остромын олон төвт засаг захиргааны тогтолцооноос үүссэн гэж болно
common_voice_mn_18599963.wav,182828,сурснаараа аж ахуй эрхэлж хоолоо олж иднэ гэж бодно
common_voice_mn_20813003.wav,103724,би жаргалтай юм шиг танд харагдаж байна уу
common_voice_mn_19513571.wav,194348,хэд хоногоос оруулна даа гээд бүр хөдөлж өгөхгүй байв
common_voice_mn_20420238.wav,142124,алтан ордны улсын эзэн батхаан алт мөнгөнд дурласан хэрэг үү
common_voice_mn_18785480.wav,163628,иймэрхүү хоол идсээр байгаад дэндүү туранхай сул дорой болсон байлаа
common_voice_mn_18577805.wav,251948,менежерүүд үүнтэй адил бизнесийн үйл ажиллагаагаа хянан засаж залруулах шаардлага зүй ёсоор гардаг
common_voice_mn_18580938.wav,234284,та нарын арьсыг өвчвөл ямар вэ гэж амьтны эрх ашгийг хамгаалагчид тулган асууж байлаа
common_voice_mn_19521607.wav,226604,ой ч хүрээгүй нялх хүүхэд манайд байгаа шүү дээ
common_voice_mn_20177239.wav,169004,тэнхимийн багш улааны энэ дэвхрэгийн гишгэх газраа олохгүй онгирч байгааг
common_voice_mn_18577604.wav,180524,ингэхэд би чамд шинэ хослол худалдаж авсан
common_voice_mn_18577654.wav,268844,тэгээд л газрын гүнээс гарсан цэл хүйтэн усаар үс толгойгоо угааж хөгжилдөн шуугилддаг юм
common_voice_mn_20401671.wav,206636,өвдөөд байсан газраа сая иод түрхүүлж өвчин нь жаал дарагдаад явж байна
common_voice_mn_20420229.wav,145964,эхнэрийнхээ гарыг атгаад хамт өнгөрүүлсэн сайхан дурсамжаасаа ярина
common_voice_mn_20401663.wav,270380,тэгээд байнга өлмий дээрээ өндөлзөн хөлөөрөө ийш тийш өшиглөдөг байсан
common_voice_mn_18584585.wav,202028,удвал уянга хоёр том өрөөний ширээний хоёр талд суусан хэвээр
common_voice_mn_18709604.wav,222764,албаар дампууруулаад голомт банктай нэгтгэж тэндээсээ гайгүй хувь хүртсэн ч гэлцдэг
common_voice_mn_19670533.wav,184364,энэ дэвжээний хүчтэнүүдэд бүгдэд нь дээшээ цойлж барилдах боломж бий
common_voice_mn_18705160.wav,265004,энэ зах харин азийн бусад захуудтай адил төрөлжсөн маягийн зохион байгуулалттай
common_voice_mn_18584587.wav,153644,амьд явахад алтан аяганаас ус ууна гэж үнэн юмаа
common_voice_mn_19521052.wav,157484,уйлна ч гэж байхгүй хөөрхөн ааштай
common_voice_mn_18628213.wav,145964,би ч бас тооцоотой хүн дээ
common_voice_mn_19521609.wav,241964,орныхоо дээд талд хүрэн гудас дэвсээд үд болтол үхсэн мэт нам унтжээ
common_voice_mn_18577175.wav,307244,нөхөн сэргээлт хийдэггүй орон нутгийг дэмждэггүй орлогоо нуун дарагдуулдаг аж ахуйн нэгжийг дэмжихгүй ээ
common_voice_mn_18705157.wav,261164,мунхаг би өөрийн зоригоор танд шадарлаж ирлээ
common_voice_mn_19521489.wav,172844,байшинг анхааралтай ажигласан ч саяны хэлсэн бүгдээс илүү юм олж мэдсэнгүй
common_voice_mn_19521053.wav,180524,бид охины чинь оронд нэг сая доллар нэхэж байна
common_voice_mn_18579237.wav,153644,ноён барбара танд би зөвлөгөө өгөх байна
common_voice_mn_18653124.wav,211244,үг олдож үхэр холдохоос өмнө гэрийн зүг гэдэн годон хийгээд гэлдэрье
common_voice_mn_19576779.wav,178220,тэгээд л гэрээс хүн ирэхгүй болохоор уйлдаг байлаа
common_voice_mn_18579238.wav,145964,энэ чинь итали нэр биш болохоор тогтооход хэцүү юм
common_voice_mn_18635145.wav,149804,чулуу гэсэндээ булгалаад бут цохичихгүй бол ингээд сууж л байх юм
common_voice_mn_18580841.wav,147500,ирээдүйд нэг авах сайн чанар бий
common_voice_mn_19576778.wav,263468,нүднийхээ жилийг арчиж нүүрийнхээ тоосыг цэвэрлэнэ ээ гээд угааж арчиж гарав
common_voice_mn_19807242.wav,225068,турк сургуулийн захирал вейсел акчайг гэрийнх нь гаднаас хулгайлах гэсэн оролдлого болжээ
common_voice_mn_19950403.wav,192044,богд хан ууланд амралтын өдөр хэрхэн өрнөж буйг сурвалжлахаар зорилоо
common_voice_mn_19670537.wav,165164,хамгийн их хайрладаг хүнээ алдсандаа охин маш их гашуудан шаналж байлаа
common_voice_mn_18961230.wav,221228,арван гурван санг аливаа бузрыг арилгахад мөн хийморь баруун тийшээ хазайсан үед айлтгуулна
common_voice_mn_18668065.wav,192044,биднийг уг байшинд орж гарахыг оросууд ямар нэгэн аргаар ажигласан байх гэж дүгнэлээ
common_voice_mn_19807243.wav,169004,нойр нь хүрэв үү эсвэл ямар нэг зүйл тунгаан бодохыг хүсэв үү бүү мэд
common_voice_mn_18635143.wav,203564,өмнө дурдсанчлан дээд монголчуудын хувьд даяарчлал гэдэг бол хятад болох гэдэгтэй адил утгатай байдаг
common_voice_mn_18986306.wav,294188,тэд үр дүнгийн төлөө тооцоолсон үнийг авч байсан бөгөөд наанадаж албаны маягаар хариуцлагатай байсан
common_voice_mn_19521491.wav,176684,гэхдээ тэдэнтэй хамтран ажиллах ямар ч боломж гарсангүй
common_voice_mn_19489791.wav,165164,жижиг шүүгээн дээр хайрцагтай тамхи байгааг кирилл сая олж харав
common_voice_mn_18582705.wav,139052,мэри биеэ эзэмдэн барихыг хичээн зогсоно
common_voice_mn_19489793.wav,153644,бид монголчуудыг сайн мэдэж амжаагүй байна
common_voice_mn_19523684.wav,115244,тийм амар түүний гараас салахгүй дээ
common_voice_mn_18986307.wav,165164,хүүхнүүдийг хамгаалахад жонон дургүй гэдгийг тэр мэдэж байлаа
common_voice_mn_18668064.wav,125228,намдаг авгад цай өгөөгүйгээ гэнэт санажээ
common_voice_mn_18577468.wav,227372,бид энэ залуугаас ганц хоёр зүйл тодруулж асуугаад удахгүй буцаагаад хүргээд ирнэ
common_voice_mn_18758746.wav,120620,тийм байж таарлаа шүү гээд хамгаалагчид инээлдэв
common_voice_mn_18628216.wav,140588,уржигдар та манай хажуугаар гарсан шүү дээ
common_voice_mn_19489792.wav,194348,галт тэрэгний яндан дахин хүнгэнэж урт цуваа алгуурхан хөдөлж эхлэв
common_voice_mn_18758744.wav,142124,дөрвөн толгой цаасан дээр буулгасан зураг руу тонгойв
common_voice_mn_18584010.wav,172844,зөвхөн эрдэмтэн хүн л үүний учрыг олж тайлбарлаж чадна
common_voice_mn_19523683.wav,144428,харин нэг арга байж болох юм
common_voice_mn_18581002.wav,282668,хүн ам өссөнөөр хот тохижилт ялангуяа хог хаягдлын асуудал илүү хүндрэлтэй болжээ
common_voice_mn_18577463.wav,160556,мөнгөн тэр азарганы үр юм гэсэн
common_voice_mn_18584011.wav,198188,гансүх тэр орой гадуур гарч хүүхэдтэй тоглосон ч үгүй гэртээ холхисоор байв
common_voice_mn_19418955.wav,121388,дүү охин тэгээд ямар зорилготой ирэв дээ
common_voice_mn_18747201.wav,119084,ингээд би улаан болсон юм аа
common_voice_mn_18986308.wav,159788,сэтгүүлч хана түшээд шалан дээр хагас хэвтэж байлаа
common_voice_mn_18584009.wav,184364,харин хөдөөний ажил сурах болов уу л гэж аминдаа зовох юм
common_voice_mn_18606197.wav,225068,багш нимгэн дэвтрийг дундуур нь огтлон тал тал дэвтэр бидэнд тавьж өгнө
common_voice_mn_18580843.wav,136748,тэгээд нөхрөөсөө тэр ургамлыг авчирч өгөхийг гуйв
common_voice_mn_18581004.wav,178988,арван цагийн үед хүүхдүүд бид хоёрыг сэрээлээ
common_voice_mn_19418954.wav,163628,одоо би танд сүүгээ дандаа үнэгүй өгч байна
common_voice_mn_18577224.wav,187436,мөн тэр хатуу хүмүүжлийн үзэл санаа дэвшүүлсэн
common_voice_mn_19490438.wav,209708,ганцхан тэр чигт бий гэж тааварлаад хоёр их нурууг тусгаарласан өргөн хөндийг туулж явлаа
common_voice_mn_19490436.wav,188204,иймээс бувардай тэр хоёр эндээс хурдан оргон зайлах аргаа сүвэгчилж эхлэв
common_voice_mn_18758747.wav,182828,хөрс шороотой л газар бол амьдарч байх хугацаандаа мод суулгаарай
common_voice_mn_19490434.wav,290348,одоо уламжлалт намын тэргүүн жон мажор их британийн ерөнхий сайдын албыг хашиж байгаа ажээ
common_voice_mn_18747202.wav,103724,хэн түүнийг ингэв гэж шүүмжлэх билээ
common_voice_mn_18577225.wav,251180,энэ үеэр олон улсад хүлээн зөвшөөрөгдсөн шийдлийг боловсруулахын чухлыг онцолж байлаа
common_voice_mn_18577518.wav,182828,монгол хэлнээ төгс хэмээх сайн сайхны бэлгэт үг бий
common_voice_mn_18581003.wav,254252,их төрөлхтөн өлбөрч үхэх шахсан эх барыг хараад өөрийн эрхгүй өрөвдөх сэтгэл төржээ
common_voice_mn_18577598.wav,143660,хөх тэнгэр одоо аварга хонх боллоо
common_voice_mn_19418956.wav,111404,нэг үхэхээс хоёр үхэх юм биш
common_voice_mn_18577597.wav,197420,би өөрийнхөө ирээдүйн тухайд ч барин тавин хэлэх юм алга
common_voice_mn_19670535.wav,159788,тиймээс энэ дасгал бол яг үүний эсрэг утгыг танаас шаардаж байгаа юм
