wav_filename,wav_filesize,transcript
common_voice_ga-IE_18263194.wav,76844,cá bhfuil siad
common_voice_ga-IE_21558428.wav,218924,bhí tara viscardi agus meadhbh o'rourke ag seinnt i ngairdín na mbláth
common_voice_ga-IE_17569864.wav,149804,tréaslaím leis na heagarthóirí agus leis na staraithe uilig
common_voice_ga-IE_17360823.wav,188972,bhí na tonnta ag bualadh i gcoinne na gcarraigeacha
common_voice_ga-IE_19553369.wav,113708,mo thruasa an té a bhfuil sin aige
common_voice_ga-IE_17775576.wav,34604,de bhun
common_voice_ga-IE_20682386.wav,121388,an raibh na cailíní ag obair
common_voice_ga-IE_17360822.wav,145964,ar dheis lámh dé go raibh a anam dílis
common_voice_ga-IE_19507362.wav,92204,go raibh maith agaibh
common_voice_ga-IE_17492932.wav,155948,tá lá is tríocha i mí na nollag
common_voice_ga-IE_17492933.wav,263468,agus thug sé a chúl air go mí cheadtach agus d’imigh sé
common_voice_ga-IE_21505068.wav,84524,ar an gcois
common_voice_ga-IE_21932781.wav,98348,ní raibh ach bhí uachtar agam
common_voice_ga-IE_18263190.wav,134444,d'iompraigh siad an tolg isteach ar an doras
common_voice_ga-IE_21661675.wav,133790,ba ghearr go raibh an naíonán ina thoirchim suain
common_voice_ga-IE_17569846.wav,57644,sé bhur mbeatha uile
common_voice_ga-IE_22268525.wav,106028,tá sé anseo anois
common_voice_ga-IE_17775572.wav,232748,sin é a dhuine uasail
common_voice_ga-IE_19822059.wav,205868,is le mícheál ó tuama é
common_voice_ga-IE_19553368.wav,153644,cad a dhéanfadh mac an chait ach luch a mharú
common_voice_ga-IE_21505147.wav,271148,óráid an uachtaráin micheál d ó huiginn ag cóisir ghaeilge sa ghairdín
common_voice_ga-IE_19553367.wav,241964,mar fhocal scoir is mian liom mo bhuíochas a ghabháil libh arís as bhur bhflaithiúlacht
common_voice_ga-IE_18186308.wav,203564,tá an chuma ar an scéal go raibh míthuiscint ar dhaoine áirithe ina thaobh
common_voice_ga-IE_19817851.wav,198188,is éard is bile ann ná crann mór naofa
common_voice_ga-IE_19048841.wav,207404,bhí sé ar crith
common_voice_ga-IE_17919580.wav,92204,ní hé lá na gaoithe lá na scolb
common_voice_ga-IE_17919581.wav,125228,is mór an chailliúint é don dlí agus d'éirinn i gcoitinne
common_voice_ga-IE_18186307.wav,182828,go raibh céad míle maith agaibh as an bhfíorchaoin fáilte sin a d’fhear sibh romhainn
common_voice_ga-IE_18186309.wav,175148,maidir leis an obair féin dearcán na ndaoine – the people’s acorn
common_voice_ga-IE_19822060.wav,121388,a shaoránaigh dhroichead átha
common_voice_ga-IE_17919578.wav,121388,tá áthas orm a bheith libh ar fad anseo inniu
common_voice_ga-IE_19514114.wav,180524,táim dallta
common_voice_ga-IE_18937308.wav,268844,tá sé ar cheann de na buaicphointí ar fhéilire sóisialta na héireann
common_voice_ga-IE_19048839.wav,186668,cad eile a bhí agat
common_voice_ga-IE_18937312.wav,76844,san fhéar
common_voice_ga-IE_19514110.wav,157484,an gad is giorra don scornach
common_voice_ga-IE_18937557.wav,153644,thosaigh máire ag gabháil chrónán na banaltra de ghlór íseal
common_voice_ga-IE_18937311.wav,132908,buí is fearr
common_voice_ga-IE_18937309.wav,84524,ar an méar
common_voice_ga-IE_18937554.wav,126764,thosaigh uirthi ag cardáil arís
