wav_filename,wav_filesize,transcript
common_voice_sv-SE_20243779.wav,98348,de pissade på min jävla matta
common_voice_sv-SE_19557665.wav,139820,jag ska göra allt jag kan för att hitta adressen
common_voice_sv-SE_19557666.wav,94508,var är den här snubben
common_voice_sv-SE_20972132.wav,148268,bekymra dig inte för henne älskling
common_voice_sv-SE_18896131.wav,152108,jag är som en singelmamma
common_voice_sv-SE_19130614.wav,180524,den här klubben har kassa
common_voice_sv-SE_18896132.wav,151340,du kan känna smärta också
common_voice_sv-SE_19033794.wav,113708,vi har en teckning av det här
common_voice_sv-SE_19804580.wav,119852,jag finansierade honom
common_voice_sv-SE_18896134.wav,139820,det sa du också till mig
common_voice_sv-SE_19130615.wav,178988,han går inte längre på skolan men vi har jobbat på olika experiment
common_voice_sv-SE_19573173.wav,117548,gav ni oss ecstasy
common_voice_sv-SE_19573170.wav,117548,hej gamle vän
common_voice_sv-SE_19557664.wav,96812,och vi måste klara allt
common_voice_sv-SE_19130618.wav,77612,ta ner den nu
common_voice_sv-SE_20841012.wav,116012,jag ordnade nästan en sån
common_voice_sv-SE_20841015.wav,115244,nej du pratar för mycket när du röker
common_voice_sv-SE_18942115.wav,118316,för att du kan göra leksaker
common_voice_sv-SE_19804581.wav,114476,det här är planläggning
common_voice_sv-SE_19573172.wav,140588,harry älskar du mig
common_voice_sv-SE_20181850.wav,263468,vill du se videon igen
common_voice_sv-SE_20181851.wav,129068,när man är så duktig som du så har man ett ansvar
common_voice_sv-SE_20972129.wav,145964,er mamma säger att det är frukost
common_voice_sv-SE_20181849.wav,90668,jag gjorde det förr
common_voice_sv-SE_20181852.wav,86828,du måste sluta
common_voice_sv-SE_18942118.wav,95276,men den här är annorlunda
common_voice_sv-SE_20160059.wav,142124,vi förutspår fyra miljoner första året
common_voice_sv-SE_20160057.wav,135980,om ni vill ha lek med killar är det inga problem
common_voice_sv-SE_19700311.wav,96044,du behöver min hjälp
common_voice_sv-SE_19878006.wav,120620,det måste vara jobbigt att bestämma vilken bil de ska ta
