wav_filename,wav_filesize,transcript
common_voice_el_21326857.wav,103724,τρομαγμένοι και σαστισμένοι έφευγαν
common_voice_el_22174898.wav,107564,ίσως να είχε έρθει
common_voice_el_21327268.wav,168236,συνάμα ξεπρόβαλαν από μέσα από τα δέντρα δεξιά αρματωμένοι καβαλαρέοι
common_voice_el_21326847.wav,127532,που δούλευε τώρα και αυτός να φτιάσει όπλα
common_voice_el_21365000.wav,82220,που είναι λαός σου
common_voice_el_21624413.wav,119580,αν και ο καφές ήταν γενικά τόσο κακός που
common_voice_el_20941339.wav,122924,και κανένας νέος δεν ξέρει πια να διαβάσει
common_voice_el_21365215.wav,181292,φώναξε το βασιλόπουλο δείχνοντας το γέρο πατέρα του
common_voice_el_20941337.wav,113708,έτσι τα άλφα έχουν πολλές επιλογές
common_voice_el_21092749.wav,90668,και γύρισε να φύγει
common_voice_el_20995269.wav,121388,όπου ήταν οι φυλακές
common_voice_el_20995266.wav,112940,στάσου εκεί τώρα
common_voice_el_22046041.wav,118316,τον πρώτο που θα τολμήσει να ξαναπεί τέτοιο λόγο
common_voice_el_21334683.wav,142892,ήλθε μήνυμα από το θείο βασιλιά
common_voice_el_20825112.wav,76844,εσύ είσαι επιτέλους
common_voice_el_22047360.wav,98348,που γύρευε να κλέψει τις πέτρες από το γιο μου
common_voice_el_20995265.wav,151340,και στολισμένο με κορδέλες και κυπριά
common_voice_el_21365045.wav,132908,κι εκεί βρήκαν τον υπασπιστή πολύκαρπο
common_voice_el_22047055.wav,66092,την έννοια του πατέρα του
common_voice_el_20927286.wav,106028,εναντίον του βασιλιά
common_voice_el_20740959.wav,92204,και πού μπορώ να τον βρω
common_voice_el_21366370.wav,234284,τα συσκευασμένα βιολογικά λαχανικά δεν περιέχουν συντηρητικά και ορμόνες
common_voice_el_21465823.wav,122156,το βασιλόπουλο αναγνώρισε τον αφιλόξενο άνθρωπο
common_voice_el_20927287.wav,126764,με το κεφάλι ακουμπισμένο στο χέρι του
common_voice_el_22174841.wav,94508,μα τι θαρρείς
common_voice_el_20927284.wav,170540,και γυρεύει να τους πείσει πως ο δρόμος είναι ανοιχτός
common_voice_el_21092747.wav,96812,ε καλά μένει το ποτάμι
common_voice_el_20733167.wav,92204,έπεσε στα γόνατα κι έμεινε άφωνος
common_voice_el_20969752.wav,149804,αγριόχορτα
common_voice_el_20825110.wav,76844,δεν είναι ωραίο
common_voice_el_20969748.wav,238124,γιατί ο γιος του βασιλιά δεν πρέπει ν' αφήνει τον τόπο του
common_voice_el_20825111.wav,103724,γιατί και ‘μεις ίδιοι είμαστε
common_voice_el_20733165.wav,129068,το φόρτωσε στον ώμο του και θριαμβευτικά το κατέβασε στην τραπεζαρία
common_voice_el_20733164.wav,79148,αναστήθηκε ο συνετός
common_voice_el_20927289.wav,133676,ώστε αυτός ήταν συνένοχος του πανουργάκου
common_voice_el_21465978.wav,103724,με κουκλίστικο κεφάλι στην άκρη
common_voice_el_20642856.wav,288044,τη δουλειά που έχει χρέος να κάνει κάθε πατριώτης
common_voice_el_20510834.wav,134444,γρήγορα φώναξε πήδα μέσα
common_voice_el_20510830.wav,184364,και με το χέρι έδειξε τ' απάνω του ποταμού
common_voice_el_20642853.wav,195884,η πατρίδα σε καταδικάζει είπε
common_voice_el_20642851.wav,222764,επανέλαβε η πικρόχολη
common_voice_el_20435025.wav,90668,ευκαιρία να ηρεμήσει
common_voice_el_20435027.wav,84524,έμαθες καμιάν είδηση
common_voice_el_21465964.wav,86060,και συ πληγώθηκες
common_voice_el_20435023.wav,90668,και προχωρεί προς το ποτάμι
common_voice_el_20435024.wav,145964,χωρίς να προσέχει στο κακό που γίνουνταν γύρω της
common_voice_el_21020474.wav,159788,το βασιλόπουλο που μοιάζει λεονταράκι και αετουδάκι
common_voice_el_20510833.wav,140588,είναι λίγη ώρα που έφθασαν τρομαγμένοι χωρικοί
common_voice_el_20510831.wav,140588,έχεις φιλοτιμία και αξιοπρέπεια
common_voice_el_20879416.wav,170540,θυμούνταν τις κλεψιές και τις ατιμίες
common_voice_el_20969751.wav,82988,κανένας
common_voice_el_20520124.wav,121388,σαν έφθασε κάτω στο μεταλλείο
common_voice_el_20520122.wav,96044,και ήταν στις κακές του
common_voice_el_20510832.wav,194348,τυλίχθηκε με μεγαλείο στο σχισμένο του μανδύα κι εξακολούθησε
common_voice_el_20879413.wav,195884,μόνο που τα έραψε μια νεραϊδούλα
common_voice_el_20879414.wav,155948,και για το στόλο μου πληρώνω
common_voice_el_20879412.wav,212012,κάθισε κοντά στον υπασπιστή
common_voice_el_20879415.wav,270380,για το σκοπό ή για το κέρδος ρώτησε το βασιλόπουλο
common_voice_el_20840235.wav,296492,και τα δέντρα και τα χαμόδεντρα τόσο είχαν ξεχάσει την ανθρώπινη μορφή
common_voice_el_20520121.wav,130604,με στόμα ανοιχτό και μάτια γουρλωμένα
common_voice_el_20620508.wav,120620,στέναξε ο κακομοιρίδης
common_voice_el_20620506.wav,124460,ο αρχικαγκελάριος έβγαλε το καλαθάκι
common_voice_el_20969749.wav,102188,στρατηγέ
common_voice_el_20435026.wav,142892,ύστερα δίπλωσε τα χέρια του από κάτω από το κεφάλι του και αποκοιμήθηκε
common_voice_el_20840234.wav,211244,γύρω στο λαιμό του κουδούνιζε μια τενεκεδένια αλυσίδα
common_voice_el_20520123.wav,126764,πήγαν παρακάτω το ίδιο
common_voice_el_21465783.wav,95276,ρώτησε έξαφνα
common_voice_el_20908395.wav,117548,να τους ρίξουμε αμέσως πέρα από το ποτάμι
common_voice_el_20520120.wav,195884,οπόταν θελήσεις έλα στο σπίτι σου να βεβαιωθείς
common_voice_el_20938902.wav,111404,έλα παιδί μου είπε
common_voice_el_20620503.wav,78380,αλλά μετά
common_voice_el_20795235.wav,83756,όπου ελπίζω
common_voice_el_21020590.wav,152108,ωστόσο δεν έχουμε τύχη είπε μελαγχολικά η ειρηνούλα
common_voice_el_20795236.wav,127532,το βασιλόπουλο τον παραμέρισε
common_voice_el_20620502.wav,151340,που είχε βρει στη μπαλάσκα του κουκουβάγια
common_voice_el_20791653.wav,192044,με τα μέσα που έχουμε στη διάθεσή μας δύσκολα μπορούμε να αντέξουμε
common_voice_el_20938897.wav,157484,ή θα βγάλεις αμέσως τον κακομοιρίδη από τη φυλακή
common_voice_el_20946566.wav,106028,αν σου στείλω φορέματα θα λιώσουν
