wav_filename,wav_filesize,transcript
common_voice_as_21808342.wav,198188,পুৰণিয়ে নতুনক কয় যে পুৰণিক এৰিলে
common_voice_as_21650231.wav,234284,কন্দা দেখি মাকৰ কোলাত হেৰি উঠিলগৈ।
common_voice_as_22085170.wav,278828,আৰু সতীৰ মৃতদেহ কান্ধত তুলি লৈ বিশ্ব ভ্ৰমি ফুৰিবলৈ ধৰিলে।
common_voice_as_22187008.wav,130604,কল অনা মানুহটোৱে বিচূৰ্ত্তি খায়।
common_voice_as_22187006.wav,261164,এই বাস্তৱমূলক কাহিনী ৰঙ্গমঞ্চত অভিনয়ৰ যোগেদি দৰ্শকৰ আগত দেখুৱাবৰ কাণে
common_voice_as_22191570.wav,138284,সি ক'লে বোলে তাৰ তাতোকৈ ডাঙৰ দৰকাৰী কাম আছে।
common_voice_as_22412905.wav,132908,তেতিয়া ৰাতি দুপৰ হৈছিল।
common_voice_as_22412923.wav,153644,তেওঁ নীলকণ্ঠৰ কিংবদন্তি বিশ্বাস নকৰে।
common_voice_as_21808341.wav,230444,যদিও এই উদ্যোগৰ ইতিহাস পুৰণি।
common_voice_as_22412904.wav,268844,মোৰ আজলী মিৰি জীয়ৰীয়ে বুজিব পাৰিলে তাইৰ কপাল শুদা।
common_voice_as_22191559.wav,163628,কুঁৱৰীয়ে ঘোঁৰাত উঠি ঘোঁৰা চেকুৰাই আহোঁতে বাটৰ এঠাইত দেখিলে।
common_voice_as_22412926.wav,199724,আগতে বন্দবস্ত হৈছিল আপোনালোকৰ ফালৰ মদন মণ্ডলৰ ভায়েকৰ লগত।
common_voice_as_22412908.wav,172844,বেগত ভৰাই থৈ দিছোঁ।
common_voice_as_22412924.wav,142124,কাম পোৱা এতিয়া প্ৰায় দুবছৰ হৈছে।
common_voice_as_22187004.wav,153644,ঘৰৰ গৃহিণীৰ ওপৰতে গোটেই পৰিয়ালৰ সুখ দুখ নিৰ্ভৰ কৰে।
common_voice_as_20870775.wav,232748,বাইকৰ শ্ব'ৰুমৰ লগতে যে আছে দৰৱ নামৰ ঔষধৰ দোকানখন সেইখনৰ কথা কৈছোঁ।
common_voice_as_20870771.wav,172844,জাহাজত তেওঁ তেজপুৰলৈ যাব কিন্তু জাহাজ এতিয়াও আহি পোৱা নাই।
common_voice_as_22412925.wav,207404,তেনেহ'লে মই তেতিয়াই আহি কথাটোৰ আঁতি গুৰি লৈ যাব পাৰিলোঁহেঁতেন।
common_voice_as_22191562.wav,130604,নমৰা হ'লে তাইক ক'ত ঘৰ লোৱাব পাৰোঁ
common_voice_as_21650228.wav,255020,এতিযা পুলিচৰ হাতৰ পৰা নিয়া যায় কেনেকৈ
common_voice_as_20870773.wav,138284,আৰু তেওঁৰ আগৰ পৰা নাইকিয়া হ'লে পাহৰিছিল।
common_voice_as_22085171.wav,138284,পুলিচে বা আকৌ কি বিচাৰে।
common_voice_as_20878097.wav,184364,এতিয়াই মই তোমাক ছ'ছেজ আৰু ভাল ভাল পিঠা আনি দিওঁ।
common_voice_as_22412922.wav,145964,ষ্টেপ্লাৰেদি পিন আপ কৰা পেজকেইখন।
common_voice_as_22187005.wav,111404,বুঢ়ীৰ ভাত ঘুমতি আহিল।
common_voice_as_22191572.wav,232748,কিন্তু সেই নৰিয়াতে সি ইমান দুৰ্ব্বল হৈছিল যে আজিলৈকে আগৰ শ্ৰী ঘুৰি অহা নাই।
common_voice_as_20878099.wav,169004,মই ভায়েকহঁতক নিচিনো যদিও মণ্ডলক চিনি পাওঁ।
common_voice_as_20878108.wav,234284,যথাৰীতি কাম আৰম্ভ কৰিলে কন্যা অনা হ'ল বিধিমতে সম্প্ৰদান হৈ গ'ল।
common_voice_as_20878098.wav,311084,অন্যহাতে দাক্ষিণাত্যত ব্ৰিটিছৰ সাফল্যই বোম্বাইক সকলো প্ৰকাৰ দেশীয় শক্তিৰ আক্ৰমণৰ হাতৰ পৰা মুক্তি দিয়ে।
common_voice_as_22412906.wav,207404,অগত্যা কেঞাই সকলোখিনি নিজেই ৰাখি থ'লে।
common_voice_as_22085169.wav,203564,“মোৰ ৰাজ্যত আৰু এটা বৰ দুষ্ট বাঘ আছে”
common_voice_as_20870774.wav,107564,কানায়ে ৰজাৰ আগত আঁঠু লৈ ক'লে।
common_voice_as_20878096.wav,215084,মাছটোৰ কথা শুনি আনবোৰ মাছ বগলীৰ লগত যাবলৈ সাজু হ'ল।
common_voice_as_20870772.wav,155948,উকিলৰ প্ৰশ্ন শুনি খেতিয়ক জনে উত্তৰ দিলে
common_voice_as_20878109.wav,228908,সেই দীঘলীয়া যাত্ৰাত তাইৰ অকণো ভয় সংশয় মনলৈ নাহিলে।
common_voice_as_20878107.wav,171308,লগতে কচক বচাবলৈ গ'লে নিজৰ আসন্ন মৃত্যু।
common_voice_as_20878095.wav,122924,টিকেট পোৱা নাই পূৰা হাউচফুল।
common_voice_as_22015895.wav,148268,তথাপি যেনে তেনে তাতে উঠিল।
common_voice_as_22412907.wav,175148,মাষ্টৰ জৰ্জ এতিয়া আৰু নোৱাৰোঁ।
common_voice_as_22015901.wav,211244,কিন্তু কোনো বাতৰি নোপোৱাকৈ বিয়া ঘৰলৈ অহা তেওঁ উচিত বুলি নাভাবিলে।
common_voice_as_22015998.wav,276524,সেই নেগুৰখৰা বাঘটোক চোৰটোৱে গলগলীয়া মাতেৰে মাত লগালে খৰা চাবি চাবি চাবি।
common_voice_as_22016209.wav,117548,ভাৰত তেতিয়াও স্বাধীন হোৱা নাছিল।
common_voice_as_22016210.wav,263468,এই সঞ্জীৱনী বিদ্যা তুমি কেতিয়াও ব্যাৱহাৰ কৰিব নোৱাৰিবা আৰু কৰিলেও সফল হ'ব নোৱাৰিবা।
common_voice_as_22015999.wav,140588,তই তেন্তে মৰি বৰ ডাঙৰ কামকে কৰিলি।
common_voice_as_22015893.wav,171308,ভাটী বয়সতহে তেওঁলোকৰ এজনী ছোৱালী জন্মে।
common_voice_as_22016342.wav,157484,এই ছেটিং সলনি কৰাটো আপোনাৰ ছিষ্টেমৰ বাবে ক্ষতিকাৰক।
common_voice_as_22016340.wav,265004,বিয়াৰ বন্দবস্ত নোহোৱাত মদনে এইবাৰ কলিয়াবৰৰ ফালে চেষ্টা কৰিবলৈ মন মেলিলে।
common_voice_as_22015994.wav,119084,কিবা খোৱা বস্তু বিচাৰিব।
common_voice_as_22015898.wav,161324,সেই দেখি ময়ো সুতহে নালাগে মুলো নিদিওঁ।
common_voice_as_22016205.wav,109868,গান কেইটামান ডাউনল'ড কৰি দেচোন।
common_voice_as_22187010.wav,207404,এজনৰ হাত ভাঙিছিল এজন পেৰেলাইচিচ হৈছিল।
common_voice_as_22016206.wav,271148,স্বাধীনতা অৰ্জনৰ পাছৰ পৰাই বোম্বাই প্ৰেচিডেন্সিৰ অঞ্চলসমূহ বোম্বাই ৰাজ্য নামেৰে ভাৰতৰ অন্তৰ্গত হয়।
common_voice_as_22016207.wav,249644,তেওঁৰ ল'ৰা তিনটা ডাঙৰটোৰ নাম মদন মাজিউটোৰ নাম ৰত্ন আৰু সৰুটোৰ নাম পীতাম্বৰ।
common_voice_as_22015996.wav,211244,ঐতিহাসিক স্মৃতিচিহ্নৰ কাৰণেও বিখ্যাত।
common_voice_as_22016343.wav,172844,তাৰ চালৰ খেৰবোৰ উৱঁলি গৈছে দেখি উৰুখি বৰষুণত পানী পৰে।
common_voice_as_22030186.wav,207404,চাৰে চাৰি বজাত চিতাপুৰৰ পৰা ওলালেহে আমাৰ সময় মিলিব।
common_voice_as_22016341.wav,172844,বাপেকে কোনফালে মানুহটো পলাই গ'ল পুতেকক সুধিলে
common_voice_as_20878105.wav,236588,ইফালে দেৱযানীয়ে পিতৃ শুক্ৰাচাৰ্য্য আৰু প্ৰণয় প্ৰাৰ্থী কচক সমানেই ভাল পাইছিল।
common_voice_as_20878106.wav,190508,ওচৰতে হোৱাত তেওঁ এইবোৰ কামলৈ আজৰি উলিয়াবলৈ সুযোগ পাইছিল।
common_voice_as_22030349.wav,199724,মই দেউতা এনে কাম কেতিয়াও কৰা নাই আৰু এতিয়াও নকৰোঁ।
common_voice_as_22030183.wav,186668,তেও নো বাৰু ঈশ্বৰে ইমান শাস্তি দিব লাগেনে
common_voice_as_22030517.wav,125228,আৰু তেওঁৰ মনোবাঞ্চা পূৰণ হয়।
common_voice_as_22030528.wav,217388,ৰজাই দেখি তেজাই বিনাই ক'লে শুনা শুনা নৃপতি ৰজা
common_voice_as_22030361.wav,241964,তেওঁৰ সন্দেহ নাথাকিল তেতিয়া তেওঁ বৰাকেই কিবা এটা উপায় দিবলৈ খাটনি ধৰিলে।
common_voice_as_22030174.wav,202028,য'তেই এনে অংশ পৰিল তাতেই একোখন তীৰ্থস্থান গঢ়ি উঠিল।
common_voice_as_22030342.wav,184364,ছাত্র জীৱনৰ প্রধান উদ্দেশ্য হ'ল অধ্যয়ন।
common_voice_as_22016339.wav,203564,এন্ধাৰ নিশা নাও এখন লৈ ঘাটত উপস্থিত হ'ল।
common_voice_as_22030651.wav,261164,তেখেতৰ মতে পৰ্তুগীজ নথিপত্ৰত এই অঞ্চলত এখন উপসাগৰৰ উল্লেখ আছিল।
common_voice_as_22030178.wav,122924,দেৱীয়ে দেখিলে কথা বিষম।
common_voice_as_22030649.wav,211244,সমনীয়া ল'ৰাবিলাকে লগ লাগি হাঁহি খিকিন্দালি পাতিছে।
common_voice_as_22030696.wav,172844,মুঠতে পদুম এতিয়া হেজাৰ গুণে পদুমী হ'ল।
