wav_filename,wav_filesize,transcript
common_voice_zh-HK_22402106.wav,92204,八百
common_voice_zh-HK_22394750.wav,122924,寫嘢嗰陣
common_voice_zh-HK_22307640.wav,190508,有個老婆婆喺元朗紫荊東路等緊小巴
common_voice_zh-HK_22399860.wav,106028,若發現街道水浸
common_voice_zh-HK_22262988.wav,261164,有個老人去左坪洲永安橫街食齋
common_voice_zh-HK_22431587.wav,162860,個人檔案中的資料
common_voice_zh-HK_22309776.wav,249644,八達通自動增值及其他本地簽賬都有百分之一回贈
common_voice_zh-HK_22415026.wav,113708,我外婆住喺何文田皓畋
common_voice_zh-HK_22268464.wav,267308,嗰次喺跑馬地協和里見到有雞蛋仔格仔餅賣
common_voice_zh-HK_22395023.wav,142124,千里達及多巴哥
common_voice_zh-HK_22420945.wav,169772,我外公住喺長沙灣碧海藍天
common_voice_zh-HK_22247039.wav,134444,麻婆豆腐
common_voice_zh-HK_22307722.wav,154412,大蝦天婦羅
common_voice_zh-HK_22393069.wav,236608,大坑嘉雲臺附近有無體育館？
common_voice_zh-HK_22407597.wav,159788,今次我會整理一下現有問題
common_voice_zh-HK_22433081.wav,171308,土瓜灣定安大廈附近有無體育館？
common_voice_zh-HK_22274005.wav,258092,舊域多利軍營蒙高瑪利樓
common_voice_zh-HK_22222176.wav,86980,安哥拉
common_voice_zh-HK_22261557.wav,257324,選定了心儀嘅機構先查詢個人實際年利率，咁會比較明智
common_voice_zh-HK_22246666.wav,125996,鼓勵大眾齊齊溜冰
common_voice_zh-HK_22426974.wav,148268,聖基茨和尼維斯
common_voice_zh-HK_22405148.wav,193580,負收益率債券意味著投資者和央行
common_voice_zh-HK_22396244.wav,236588,我發現幾乎所有香港政府高官同保皇黨都有外國護照
common_voice_zh-HK_22394353.wav,80684,我要食蜜梨
common_voice_zh-HK_22395122.wav,92204,四百四十萬
common_voice_zh-HK_22261563.wav,67628,聚星樓
common_voice_zh-HK_22416527.wav,149804,我上司住喺土瓜灣農圃道十八號
common_voice_zh-HK_22318496.wav,192812,請問我想去屯門瑜翠街要搭乜嘢車先去到
common_voice_zh-HK_22354405.wav,250412,爺爺好鍾意去油麻地白加士街食油炸鬼炒麵艇仔粥
common_voice_zh-HK_22395161.wav,149036,大角嘴富多來新邨附近有無中學？
common_voice_zh-HK_22261819.wav,258092,有個亞伯喺沙田窰圍街唔見左個銀包
common_voice_zh-HK_22423356.wav,142124,我姨媽住喺堅尼地城嘉輝花園
common_voice_zh-HK_22270100.wav,173612,有個亞伯喺元朗米蘭徑唔見左個銀包
common_voice_zh-HK_22291163.wav,269612,點解唔見左大圍大埔公路沙田嶺段對開嗰個巴士站
common_voice_zh-HK_22328625.wav,121388,魚香茄子飯
common_voice_zh-HK_22435986.wav,86828,槐樹街
common_voice_zh-HK_22263108.wav,142124,豉油皇雞翼
common_voice_zh-HK_22261811.wav,243500,我依家喺上水衛和街，附近有停車場泊車嗎
common_voice_zh-HK_22264510.wav,169772,聖克里斯多福及尼維斯
common_voice_zh-HK_22271415.wav,235052,老友唔記得去荃灣灰窰角街參加緩步跑練習
common_voice_zh-HK_22308158.wav,261164,八號風球好大風，觀塘瑞寧街依家橫風橫雨
common_voice_zh-HK_22398351.wav,154412,有啲咩最新消息記得話我知道啊
common_voice_zh-HK_22392845.wav,159788,我舅父住喺又一村又一居
common_voice_zh-HK_22112024.wav,176684,好耐無去土瓜灣北帝街探舅父
common_voice_zh-HK_22261160.wav,192812,落緊雨仲要趕住去小瀝源大老山公路打乒乓波
common_voice_zh-HK_22394958.wav,142124,講到底你都係唔信我姐
common_voice_zh-HK_22261159.wav,127532,紫荊東路
common_voice_zh-HK_22397515.wav,142124,只要沒人打擾的話
common_voice_zh-HK_22430111.wav,175148,一億三千五百二十三萬二千零四十
common_voice_zh-HK_22226931.wav,112172,枝竹豆腐飯
common_voice_zh-HK_22330940.wav,199724,我住喺藍田站附近
common_voice_zh-HK_22355350.wav,268844,如果佢喺銅鑼灣金文泰道搵唔到便利店買汽水
common_voice_zh-HK_22236242.wav,241964,正在做廉價勞工，收入少過做洗碗或保安員
common_voice_zh-HK_22401041.wav,161324,粵文繼續蓬勃發展
common_voice_zh-HK_22222704.wav,109868,夏力道
common_voice_zh-HK_22400468.wav,146732,我個仔住喺長沙灣泓景臺
common_voice_zh-HK_22248715.wav,92204,茂蘿街
common_voice_zh-HK_22261360.wav,88364,新加坡
common_voice_zh-HK_22395342.wav,195884,旺角曉珀·御附近有無停車場？
