wav_filename,wav_filesize,transcript
common_voice_cnh_17903504.wav,199724,vanlawng hi hriamnam ṭha bik a si
common_voice_cnh_17938577.wav,97580,mah khi cauk khi ka duh
common_voice_cnh_17943402.wav,83756,kan khua kha nangmah nih na hngalh
common_voice_cnh_17931746.wav,192044,an fapa cu cathiam ngai a si
common_voice_cnh_17930300.wav,125996,nanmah nih tuah ko u
common_voice_cnh_17933875.wav,252716,tunai hrawng ah thil biapi tuk in aa thleng mi thil na ngei maw
common_voice_cnh_17926892.wav,122156,lentecalh hi damnak caah a ṭha
common_voice_cnh_17946061.wav,149036,ar he lente kan i calh ah kan i nuam
common_voice_cnh_17926271.wav,129068,ngal a kah i vok in sawm a tuk
common_voice_cnh_17923786.wav,110636,a kal rih lo
common_voice_cnh_17923463.wav,125996,facang tun a phormi leng khi kanmah ta a si
common_voice_cnh_17925562.wav,165164,hika ah hin ra tuah
common_voice_cnh_18000698.wav,55340,cauk na ngei maw
common_voice_cnh_17923345.wav,198956,mitchinh kamseh in a rian dih dingah a ṭuan
common_voice_cnh_17925247.wav,231212,lai holh ah vacung paduh ti lawng a um
common_voice_cnh_17925662.wav,109868,na thawl ti a khah in ra te
common_voice_cnh_17931346.wav,209708,kan ram a caar lonak dingah thingkung tampiin kan cin a hau
common_voice_cnh_17931748.wav,118316,khi rose pangpar khi hei sik tuah
common_voice_cnh_17927572.wav,224300,na kong kan in ceih lio ah na ra i na nun a sau lai
common_voice_cnh_17924672.wav,208940,lam phawk in kal ahcun a nai deuh
common_voice_cnh_17927448.wav,301100,thil aa hruk
common_voice_cnh_17936393.wav,156716,a tar hnu cun a lung a molh ngai cang
common_voice_cnh_17937652.wav,181292,thaizing rian na ttuan lai ma
common_voice_cnh_17936394.wav,146732,chan saunak hi pathian laksawng a si
common_voice_cnh_17923455.wav,117548,bawlung a hrilh maw
common_voice_cnh_17923466.wav,116780,na caṭial zeidah na phanh cang
common_voice_cnh_17925988.wav,30764,minkhumhnak ah na min ka hmu lo
common_voice_cnh_17931199.wav,79916,facang mawi nih a ka sarh
common_voice_cnh_17925661.wav,91436,hriamhma a pu
common_voice_cnh_17943865.wav,109868,ṭhi rualkhat ah fang sawmruk a um
common_voice_cnh_17926859.wav,151340,na hawile he nan i rem lai
common_voice_cnh_17924389.wav,159788,vok le vok an i kawn ahcun thlaikheu an nan dih
common_voice_cnh_17961664.wav,156716,nan ihphah a nem tuk ahcun keng a fak ve dawkaw
common_voice_cnh_17961654.wav,181292,ka pu a hna a cheh ah khan kum sawm sarih a si cang
common_voice_cnh_17943863.wav,84524,a mawnh kho lo
common_voice_cnh_17932237.wav,96812,chizawh a ngeu
common_voice_cnh_17924663.wav,98348,kan rianṭuan cu a nuam ngai
common_voice_cnh_17931813.wav,157484,ka pu cu sa kah a thiam ngaimi a si an ti
common_voice_cnh_17922196.wav,99884,nambar thongkhat
common_voice_cnh_17924673.wav,219692,ral chung thil hrawhmi rulhnak kha hmuh ṭhan a si lai
common_voice_cnh_17934864.wav,84524,ngaihchiatnak tampi an tong
common_voice_cnh_17926856.wav,112172,lente kan i calh
common_voice_cnh_17922195.wav,192044,amah miphun lila a rialmi cu mi ṭha lo an si
common_voice_cnh_17931107.wav,156716,ka pa nih lentecalh a ka senh lo
common_voice_cnh_17903563.wav,105260,phul nan hrawt cang maw
common_voice_cnh_17931348.wav,99116,ka pi cu kum sawm riat a si
common_voice_cnh_17925771.wav,139820,a lung aa hnem
common_voice_cnh_17938023.wav,172076,sibawi nih ka ha a ka phawi
common_voice_cnh_17927816.wav,150572,kan i phenh nak thingpi kha a pur
common_voice_cnh_17932235.wav,96812,zeidah na tuah lai
common_voice_cnh_17924013.wav,66092,nan inntung a peeng
common_voice_cnh_17903564.wav,183596,rul sivai hi sivai thah nak ah an hman ve
common_voice_cnh_17931702.wav,155948,a nih cu sik a calh ngai
common_voice_cnh_17934872.wav,85292,kuanthei ka khai
common_voice_cnh_17924857.wav,142124,nauhla in a nau a oih
common_voice_cnh_17899687.wav,89900,a hawikom kha aa rawih hna
common_voice_cnh_17934326.wav,71468,capo saih lawng a rian ko
common_voice_cnh_17957660.wav,146732,meiphu kau sih
common_voice_cnh_17925785.wav,96812,mi huai a si
common_voice_cnh_17957657.wav,288812,a khel aa domh
common_voice_cnh_17924012.wav,63788,na dam maw
common_voice_cnh_17924391.wav,105260,hna an cheh tuk caah ca ka zoh kho lo
common_voice_cnh_17899689.wav,80684,a chuah ni a lawmh
common_voice_cnh_17924858.wav,228908,na mei kha khut ter lo deuh i zuam tuah
common_voice_cnh_17928009.wav,120620,laimi cu rangcung ralkap an rak ngei bal lo
common_voice_cnh_17923340.wav,117548,ka ba tuk i kaa chok kho sasai lo
common_voice_cnh_17938024.wav,189740,khua a ceu supsap in lam kal kan i thawh
common_voice_cnh_17925020.wav,92204,saveh te a peh ka hmuh
