wav_filename,wav_filesize,transcript
common_voice_rm-vallader_22038861.wav,121388,sgüra chi dovra üna punt nova
common_voice_rm-vallader_21753521.wav,155948,quella planta nu d’eira amo mai statta visa in engiadina
common_voice_rm-vallader_21753515.wav,170540,dumandats sun in mincha cas ils singuls paurs ma eir las organisaziuns
common_voice_rm-vallader_21745306.wav,274226,angelica biert da sent ha prelet poesias da luisa famos da ramosch
common_voice_rm-vallader_20569099.wav,189740,il s choda mailinterra per exaimpel survain üna fuorma da piramida
common_voice_rm-vallader_21754809.wav,257324,la saira avant sia partenza vain nan il vaschin a til clomar –telefon
common_voice_rm-vallader_21753518.wav,130604,e che far cun quellas hectaras guadagnadas
common_voice_rm-vallader_21711871.wav,96044,quai es destin
common_voice_rm-vallader_21753516.wav,166700,mo il tren nu po dvantar plü attractiv co l’auto
common_voice_rm-vallader_21413341.wav,125996,vers saira suna da retuorn
common_voice_rm-vallader_21711870.wav,149804,mo quella nu po gnir mantgnüda a mincha predsch
common_voice_rm-vallader_22038725.wav,211244,süsom as metta darcheu crappa plü gronda sco spezcha da cuverta
common_voice_rm-vallader_20569100.wav,174380,cha quist resultat til detta bain üna motivaziun speciala
common_voice_rm-vallader_20547546.wav,198956,illa chapella da la famiglia erni suna ella l’orgelin da man
common_voice_rm-vallader_20547544.wav,210476,ma be guardar inavo po avair eir dischavantags
common_voice_rm-vallader_21754811.wav,154412,ill’istorgia dal pass dal flüela es que però ün act important
common_voice_rm-vallader_20547448.wav,204332,la varietà da las spezchas refletta l’intensità da l’agricultura
common_voice_rm-vallader_21753513.wav,163628,«es quai üna roba talmaing da l’impussibel
common_voice_rm-vallader_20586763.wav,248108,el va via pro la taglioula e cumainza a sfender laina
common_voice_rm-vallader_20586808.wav,79148,«chatscha»
common_voice_rm-vallader_20586809.wav,138284,quai nun es tantüna ingüna cuntessa
common_voice_rm-vallader_20569101.wav,159788,cha bainschi detta sistems internaziunals illa musica
common_voice_rm-vallader_20586807.wav,272684,infra tschinch dis demonstrescha la rumantschia seis potenzial cultural e quai es sia schanza
common_voice_rm-vallader_20547548.wav,227372,sco prüma nomna el la situaziun dal trafic davant la butia «ün caos»
common_voice_rm-vallader_21856605.wav,241964,be d’incuort sun gnüts preschantats ils plans culs müdamaints previs
common_voice_rm-vallader_21856603.wav,172844,perche vairamaing
common_voice_rm-vallader_21856607.wav,236588,l’ultim temp s’haja stuvü trar differentas masüras da spargn
common_voice_rm-vallader_21856606.wav,195884,l’istorgia va oura bain –sco adüna illas parablas
common_voice_rm-vallader_21745576.wav,137134,forsa cha quai d’eira eir meglder
common_voice_rm-vallader_21745358.wav,234938,l’ingrazchamaint a quels chi sortan es gnü fat sün plazza da mastralia
common_voice_rm-vallader_21856805.wav,282668,da la quantità dals spectatuors però es scheiwiller fich satisfat
common_voice_rm-vallader_21745586.wav,223234,eir quai es gnü inscuntrà da maniera cooperativa e cun incletta
common_voice_rm-vallader_21753517.wav,134444,rumantsch manca però na plü lönch
common_voice_rm-vallader_21711873.wav,126764,la proposta vegn bainschi discuttada
