wav_filename,wav_filesize,transcript
common_voice_ta_21714254.wav,76844,எட்டு
common_voice_ta_22416385.wav,309548,ஐந்து
common_voice_ta_21428682.wav,142124,தாயும் பிள்ளையும் சரேலென் றெழுந்தே
common_voice_ta_21290588.wav,130604,வேண்டிய பண்டங்கள் ஈண்டிடச் செய்தோம்
common_voice_ta_22064618.wav,73772,நான்கு
common_voice_ta_21338731.wav,149804,தூக்கி வந்து தொகையாய் எண்ணினான்
common_voice_ta_21303687.wav,107564,எனக்கு டீ தான் பிடிக்கும்
common_voice_ta_21711106.wav,106028,ஆம்
common_voice_ta_21394833.wav,195884,நீங்கள் நேற்று கீரைப் பொறியல் சாப்பிட்டீர்களா
common_voice_ta_21326090.wav,263468,கலையேவளர் தொழில்மேவிடு
common_voice_ta_21343140.wav,129068,தோளசைத்தங்கு நடம் புரிவாள் அவன்
common_voice_ta_21290587.wav,130604,அத்திம்பேர் அம்மாமி எனுந்தமிழ்தான் மீதம்
common_voice_ta_20068207.wav,180524,தயைமிக உடையாள் அன்னை என்னைச்
common_voice_ta_21303646.wav,152108,கங்கை நதிப்புறத்துக் கோதுமைப் பண்டம்
common_voice_ta_21399325.wav,188204,தினைத்துணை நன்றி செய்யினும் பனைத்துணையாக் கொள்வர் பயன்தெரி வார்
common_voice_ta_20068201.wav,186668,கன்னல் பிழிந்து கலந்த கனிச்சாறே
common_voice_ta_21277343.wav,192044,எனைத்திட்பம் எய்தியக் கண்ணும் வினைத்திட்பம் வேண்டாரை வேண்டாது உலகு
common_voice_ta_21277339.wav,249644,இன்சொலால் ஈரம் அளைஇப் படிறிலவாம் செம்பொருள் கண்டார்வாய்ச் சொல்
common_voice_ta_22416375.wav,215084,ஹே
common_voice_ta_21338733.wav,233516,இனத்தவரின் குழந்தைகளோ ஏஎன்று கெஞ்ச
common_voice_ta_22474516.wav,106028,மூன்று
common_voice_ta_20554439.wav,265004,சேவகன் வருதல்கண்டு மனம்பதைப்பார்
common_voice_ta_21367610.wav,169004,இடிக்குரற் சிங்கநேர் இறையே எனினும்
common_voice_ta_21310628.wav,134444,உத்தியாய்க் கேட்டோர் உரைத்தோர்எல் லாருமே
